抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-22,影視金曲榜,1,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,華語,hgY4ftt3gvk,"49,330"
2026-08-22,影視金曲榜,2,过海,王赫野/黄龄,过海,2026-07-16,華語,IgjnQV8WJH8,"8,331"
2026-08-22,影視金曲榜,3,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,華語,JqR0_IFpdcg,"140,448"
2026-08-22,影視金曲榜,4,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,華語,xBOmrRTzi9M,"13,743"
2026-08-22,影視金曲榜,5,摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,C5aQMjIwjAQ,"3,652"
2026-08-22,影視金曲榜,6,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,華語,uEdEBhcf4Gs,"43,487"
2026-08-22,影視金曲榜,7,唯一的例外,阿YueYue,唯一的例外（电影《不想失去你》片尾曲）,2026-08-13,華語,QISWmlKxJiE,"59,963"
2026-08-22,影視金曲榜,8,听无声处,周深,九门 影视原声带,2026-08-10,華語,4Csp1xRwxA8,"93,970"
2026-08-22,影視金曲榜,9,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,0RAqPS4JQyQ,"4,025"
2026-08-22,影視金曲榜,10,来我的岛,刘宇宁,来我的岛,2026-08-03,華語,udTSazfAfEo,"61,449"
2026-08-22,影視金曲榜,11,一诺,刘宇宁,花开锦绣 影视原声带,2026-08-20,華語,JGGL56GMMsM,"117,854"
2026-08-22,影視金曲榜,12,红尘慌慌,周深,百花杀 原声音乐专辑,2026-07-28,華語,h3596Dg4HT8,"280,344"
2026-08-22,影視金曲榜,13,浮生若梦,周深,云秀行 影视原声带,2026-06-23,華語,IJ8kHZZD8O0,"191,968"
2026-08-22,影視金曲榜,14,怜心,黄霄雲,雀骨 影视原声带,2026-07-15,華語,YlnxaMhFSR0,"119,251"
2026-08-22,影視金曲榜,15,少年有种,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,jWSWPa4G8ts,"8,629"
2026-08-22,影視金曲榜,16,炙光,张碧晨/侯明昊,雀骨 影视原声带,2026-07-15,華語,83RQld52drA,"221,729"
2026-08-22,影視金曲榜,17,去你的岛,金玟岐,去你的岛,2026-08-09,華語,6xgkCXq7os8,"1,459"
2026-08-22,影視金曲榜,18,别怕再见,房东的猫,我们的少年时代2 影视原声带,2026-08-16,華語,nGRG5TrwvII,"1,337"
2026-08-22,影視金曲榜,19,我在意的,单依纯,爱情有烟火 影视原声带,2026-07-03,華語,GKHSYBHak4U,"47,601"
2026-08-22,影視金曲榜,20,耀眼的我们,周深,天才，女友 影视原声带,2026-08-04,華語,prjFbOzBVWU,"39,497"
2026-08-22,影視金曲榜,21,"I Knew It, I Knew You",Taylor Swift,"I Knew It, I Knew You",2026-06-05,西洋,hDU4GB1PTxc,"23,376,376"
2026-08-22,影視金曲榜,22,缠,那英,这一秒过火 影视原声带,2026-07-18,華語,_AitteIOuMc,"102,148"
2026-08-22,影視金曲榜,23,When I’m Home,James Blake/Travis Scott/Ludwig Göransson,The Odyssey (Original Motion Picture Soundtrack),2026-07-17,西洋,zTdDQ7v_Lb8,"1,253,123"
2026-08-22,影視金曲榜,24,野草（致老狗）,曾舜晞,野草（致老狗）,2026-08-05,華語,Zc8PeZe5Ecc,"2,766"
2026-08-22,影視金曲榜,25,满纸,阿鲲,春山境 电视剧原声专辑,2026-06-14,華語,dqqehb_gEz0,"160,718"
2026-08-22,影視金曲榜,26,人间,刘宇宁,南部档案 影视原声带,2026-06-11,華語,awyc5u7s_hg,"136,351"
2026-08-22,影視金曲榜,27,千香,周深,千香 影视剧原声音乐专辑,2026-07-15,華語,o9ulZsWpFwE,"200,730"
2026-08-22,影視金曲榜,28,All For You,Eric周兴哲,All For You,2026-07-16,華語,osyH9yWWygA,"12,793,649"
2026-08-22,影視金曲榜,29,知我,刘雨昕,雀骨 影视原声带,2026-07-15,華語,awKxszb6PL4,"95,487"
2026-08-22,影視金曲榜,30,黑童话,黄龄,人鱼 影视原声专辑,2026-08-04,華語,a24jmkT9vnE,"9,108"
2026-08-22,影視金曲榜,31,Work,Ava Max/PAW Patrol,Work (from PAW Patrol: The Dino Movie),2026-07-31,西洋,cJRw7rYOOzA,"630,222"
2026-08-22,影視金曲榜,32,放晴,胡夏,人鱼 影视原声专辑,2026-08-04,華語,810vYNE8okU,534
2026-08-22,影視金曲榜,33,兵自风中来,欧豪,兵自风中来 影视原声大碟,2026-07-24,華語,8_mMG39oXs0,"9,048"
2026-08-22,影視金曲榜,34,Blind Spot,토모/원식 (WONSIK),검사실의 제안 OST Part.2,2026-06-26,韓語,ETiDRVhexco,"94,693"
2026-08-22,影視金曲榜,35,同归,曾舜晞,九门 影视原声带,2026-08-10,華語,aQeZ2kpI7J8,"9,993"
2026-08-22,影視金曲榜,36,无归,李佳薇,花开锦绣 影视原声带,2026-08-20,華語,CgJx9C-9xGs,"5,086"
2026-08-22,影視金曲榜,37,倒悬之河,徐均朔/阿YueYue,百花杀 原声音乐专辑,2026-07-28,華語,xNVtmoES0WQ,"58,307"
2026-08-22,影視金曲榜,38,赤子,周深,问心2 原声OST大碟,2026-06-20,華語,wOpAuisJFVg,"80,180"
