抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-22,新歌榜,1,等,小阿七,等,2026-08-19,華語,Vat4iaFv1os,"2,307"
2026-08-22,新歌榜,2,不退！,马嘉祺,不退！,2026-08-21,華語,0DcbbJEuLr4,"13,870"
2026-08-22,新歌榜,3,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,華語,xBOmrRTzi9M,"13,743"
2026-08-22,新歌榜,4,如果还会遇见,何遇Hayu/Crybird,如果还会遇见,2026-07-31,華語,-,-
2026-08-22,新歌榜,5,路过晴朗,汪苏泷,路过晴朗,2026-08-21,華語,2TUe-RESXeE,"2,971"
2026-08-22,新歌榜,6,追光,周宣绮,追光,2026-08-11,華語,XQcjAxGJH5Q,6
2026-08-22,新歌榜,7,RUN IT,梓渝,梓渝,2026-08-05,華語,ovZ4T3Hv7RQ,"48,336"
2026-08-22,新歌榜,8,想你了,TF_ING邓佳鑫,想你了,2026-08-19,華語,-,-
2026-08-22,新歌榜,9,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,UsbRoaH6y-Q,"6,992,618"
2026-08-22,新歌榜,10,SPARK TO FIRE 星火成焰,TOP登陆少年组合,SPARK TO FIRE 星火成焰,2026-08-21,華語,Z6v3Qbn2luk,933
2026-08-22,新歌榜,11,BiiiG,BIGBANG,BiiiG,2026-08-19,韓語,L8ZnXgbyUuc,"8,341,159"
2026-08-22,新歌榜,12,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,華語,QPcvwly2pVY,"19,140"
2026-08-22,新歌榜,13,落,刘宇,落 (公子版),2026-08-19,華語,suLx2it-Cl0,"488,096"
2026-08-22,新歌榜,14,山风山风等等我,佳佳,山风山风等等我,2026-08-12,華語,iT588U-GsI0,3
2026-08-22,新歌榜,15,晚风告白,黄星/邱鼎杰,晚风知我意,2026-08-19,華語,UN9JDxv2rmU,"2,741"
