抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期
2026-08-03,新歌榜,70,我在等一个人,郑鱼,我在等一个人,2026-07-13
2026-08-03,新歌榜,71,Pretty Girl,RESCENE (리센느),Pretty Girl - Special Single,2026-07-08
2026-08-03,新歌榜,72,不甘,弦子,不甘,2026-07-19
2026-08-03,新歌榜,73,Bad Boy,万妮达Vinida Weng,Bad Boy,2026-07-11
2026-08-03,新歌榜,74,见山,水木年华,见山,2026-07-16
2026-08-03,新歌榜,75,疑疑疑,王俊凯,WJK,2026-07-08
2026-08-03,新歌榜,76,爱上你我很快乐,洋澜一,爱上你我很快乐,2026-07-16
2026-08-03,新歌榜,77,值得(我们的故事爱就爱到值得),王佳音,值得(我们的故事爱就爱到值得),2026-07-17
2026-08-03,新歌榜,78,never get over me,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,79,全世界陪我出发,TF家族/TF家族-官俊臣/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-王烁然/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-杨涵博/TF家族-张奕然/TF家族-聂玮辰/TF家族-陈思罕/TF家族-魏子宸/TF家族-李煜东/TF家族-陈浚铭,全世界陪我出发,2026-07-06
2026-08-03,新歌榜,80,不如(Edit),何欢浪,不如,2026-07-07
2026-08-03,新歌榜,81,看山,方大树/灯叔,看山,2026-07-02
2026-08-03,新歌榜,82,这个年纪,白允y,这个年纪（女生版）,2026-07-20
2026-08-03,新歌榜,83,缠,那英,这一秒过火 影视原声带,2026-07-18
2026-08-03,新歌榜,84,第57次取消发送,1个球,第57次取消发送,2026-07-15
2026-08-03,新歌榜,85,岛屿,棱镜乐队,石头想有糖的温度,2020-08-25
2026-08-03,新歌榜,86,You Are,李昊,You Are,2026-07-30
2026-08-03,新歌榜,87,like i do,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,88,bad thing (bunny hop),Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,89,Round We Go (慢慢向前),七元,Round We Go (慢慢向前),2026-07-02
2026-08-03,新歌榜,90,十万片,郭郡BiSang_NX,十万片,2026-07-21
2026-08-03,新歌榜,91,Sunburst,RIIZE,Sunburst,2026-07-26
2026-08-03,新歌榜,92,休止符,张艺兴,斗战胜佛,2026-07-03
2026-08-03,新歌榜,93,姑娘在远方,就是南方凯,姑娘在远方,2026-07-16
2026-08-03,新歌榜,94,记得,羊羊,记得,2026-07-28
2026-08-03,新歌榜,95,一个人而已,正在进行石女士,一个人而已,2026-07-08
2026-08-03,新歌榜,96,LEGEND,沈小婷 (XIAOTING),LEGEND,2026-07-30
2026-08-03,新歌榜,97,You,Appleby,You,2026-07-08
2026-08-03,新歌榜,98,也许在下雨天（眼泪才不被看见）,向思思,也许在下雨天,2026-07-02
2026-08-03,新歌榜,99,JUST FOR THE NIGHT,HENRY刘宪华,JUST FOR THE NIGHT,2026-07-24
2026-08-03,新歌榜,100,春,黄龄,春,2026-07-30
