抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-03,抖音熱歌榜,1,晴天,周杰伦,叶惠美,2003-07-31,0039MnYb0qxYhV,華語,DYptgVvkVLQ,"95,994,011"
2026-09-03,抖音熱歌榜,2,恋人,李荣浩,黑马,2024-10-18,001auUcH4WQs2V,華語,5RlEWndW0bE,"5,465,385"
2026-09-03,抖音熱歌榜,3,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,0010BrWk2SucQr,華語,itjyryJ-8IU,"27,200,060"
2026-09-03,抖音熱歌榜,4,富士山下,陈奕迅,What's Going On...?,2006-11-23,003aAPj81VWrbL,華語,JDpRnPef5qQ,"30,441,421"
2026-09-03,抖音熱歌榜,5,我怀念的,孙燕姿,逆光,2007-03-22,000BO3xy4fd8BJ,華語,G7uSHzyVAwg,"42,135,860"
2026-09-03,抖音熱歌榜,6,阴天,莫文蔚,You Can,1999-04-20,0031PqYN0sj8K3,華語,tYWufUugeUc,"16,774,714"
2026-09-03,抖音熱歌榜,7,Always Online,林俊杰,JJ陆,2008-10-18,001N8e5Q4Gjxda,華語,-gqfAzw6FQo,"8,347,681"
2026-09-03,抖音熱歌榜,8,雨爱,杨丞琳,雨爱,2010-01-01,000rh0dE2TyUic,華語,oec9R5ypf-o,"40,014,602"
2026-09-03,抖音熱歌榜,9,红尘客栈,周杰伦,十二新作,2012-12-28,003xv4w313tZHV,華語,L6joGUdc6y4,"45,270,370"
2026-09-03,抖音熱歌榜,10,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,004Uln1G2Aunqw,華語,TvSLCxXyrBA,"54,503,657"
2026-09-03,抖音熱歌榜,11,搁浅,周杰伦,七里香,2004-08-03,001Bbywq2gicae,華語,YJfHuATJYsQ,"82,647,413"
2026-09-03,抖音熱歌榜,12,唯一,G.E.M.邓紫棋,T.I.M.E.,2023-11-26,001NgljR0RUhy1,華語,xXr4Z7HAZCE,"33,527,581"
2026-09-03,抖音熱歌榜,13,开始懂了,孙燕姿,我要的幸福,2000-12-09,003PSWcB4EDl6P,華語,h5eRbbOnPRc,"11,213,559"
2026-09-03,抖音熱歌榜,14,夜曲,周杰伦,十一月的萧邦,2005-11-01,001zMQr71F1Qo8,華語,6Q0Pd53mojY,"105,160,492"
2026-09-03,抖音熱歌榜,15,葡萄成熟时,陈奕迅,U 87,2005-06-07,0029Zemv0kR1ur,華語,NCsVnmmNA3E,"11,185,262"
2026-09-03,抖音熱歌榜,16,我好想你,苏打绿,秋：故事（苏打绿版）,2024-11-08,004Hy0mj2EEvtO,華語,P_pyfLArjQg,"79,028,923"
2026-09-03,抖音熱歌榜,17,下完这场雨,后弦,下完这场雨,2017-01-13,002FsceO4WxKyF,華語,lttm50z2-2s,"3,261,275"
2026-09-03,抖音熱歌榜,18,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,003IGhQO0JdnuC,華語,ATblV50Odx8,"66,709,726"
2026-09-03,抖音熱歌榜,19,多远都要在一起,G.E.M.邓紫棋,新的心跳,2015-11-06,003S1hgM2asCye,華語,D9ksLn6hZ7Q,"70,893,347"
2026-09-03,抖音熱歌榜,20,演员,薛之谦,绅士,2015-06-05,001Qu4I30eVFYb,華語,jQu4cJ00UEo,"23,183,385"
2026-09-03,抖音熱歌榜,21,枫,周杰伦,十一月的萧邦,2005-11-01,003KtYhg4frNXC,華語,qzwsQTY-99o,"83,949,136"
2026-09-03,抖音熱歌榜,22,偏爱,张芸京,破天荒,2009-06-03,003Ho2cO2RXwUc,華語,QDwLjCGdmYM,"18,066,754"
2026-09-03,抖音熱歌榜,23,ANGEL,尹美莱/Tiger JK/Bizzy,Angel,2014-12-08,004PjZLu3CjaYS,韓語,sXP4uMm0teA,"19,750,888"
2026-09-03,抖音熱歌榜,24,素颜,许嵩/何曼婷,素颜,2010-08-18,004Gq0xE1YC8xp,華語,SwBEmdhqb6M,"4,177,024"
2026-09-03,抖音熱歌榜,25,我好像在哪见过你,薛之谦,初学者,2016-07-18,004VBMk71TdUuR,華語,4krYbNuNdPo,"7,552,017"
2026-09-03,抖音熱歌榜,26,特别的人,方大同,危险世界,2014-04-11,003cSLOO35W3yP,華語,IscPlLsh6iU,"31,920,893"
2026-09-03,抖音熱歌榜,27,出现又离开,梁博,我是唱作人 第2期,2019-04-19,004DiVWg09UKQx,華語,n0Y7J-TzgZE,"8,727,468"
2026-09-03,抖音熱歌榜,28,樱花草,Sweety,花言乔语 (精装版),2006-06-23,000Tx0ZM2xaBhM,華語,vYcl7cw8gWo,"12,125,699"
2026-09-03,抖音熱歌榜,29,坏女孩,徐良/小凌,不良少年,2011-12-26,0001oIjs0YFIf7,華語,xKfBknbOsz0,"4,419,042"
2026-09-03,抖音熱歌榜,30,那时雨,徐良,那时雨,2013-03-14,0013aGOv4ZNeXI,華語,7BJ_onc5itA,"204,703"
