抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-15,影視金曲榜,48,Tiger in my love,奥利,Tiger in my love,2026-06-26,vhIfGl5Hr0U,"160,936",西洋
2026-08-15,影視金曲榜,49,知我,刘雨昕,雀骨 影视原声带,2026-07-15,awKxszb6PL4,"85,635",華語
2026-08-15,影視金曲榜,50,见幸福,郁可唯,见幸福,2026-06-11,-Xps4sA6joA,"159,515",華語
2026-08-15,影視金曲榜,51,花影,希林娜依高,百花杀 原声音乐专辑,2026-07-28,4bvtmJf3kgM,"36,781",華語
2026-08-15,影視金曲榜,52,仙古星河,泠河,仙古星河,2026-08-08,tCDDeS4Oamw,"37,150",華語
2026-08-15,影視金曲榜,53,山河荒,阿云嘎,九门 影视原声带,2026-08-10,QR3gtJhpgp0,"3,473",華語
2026-08-15,影視金曲榜,54,心世界,周深,心世界,2026-06-06,EW-UO70eVL8,"239,155",未知
2026-08-15,影視金曲榜,55,틀린그림찾기,Wonstein,최애의 사원 OST Part 1,2026-08-04,8i4-lw32qcw,"2,199,387",韓語
2026-08-15,影視金曲榜,56,未烬之火,沙宝亮,这一秒过火 影视原声带,2026-07-18,-A41w3MHS-4,"29,518",華語
2026-08-15,影視金曲榜,57,再珍重,黄景瑜,重器 电视原声带,2026-08-11,JKMwGrEBxjo,661,華語
2026-08-15,影視金曲榜,58,弥散,逢安,弥散,2026-08-08,xdsIqAitsUM,"4,313",華語
2026-08-15,影視金曲榜,59,想你了,刘瑞琦,想你了 电影原声专辑,2026-07-24,XFGYYNz7gbw,997,華語
2026-08-15,影視金曲榜,60,추억이란 이름 (Sailing Back To You),Jeebanoff,그대에게 드림 OST Part.2 (Dream to You OST Part.2),2026-07-14,XWm35wuGqvY,"35,208",韓語
2026-08-15,影視金曲榜,61,蚱蜢跃入星空,王源,蚱蜢跃入星空,2026-06-19,41MkOkGmSQY,"1,781",華語
2026-08-15,影視金曲榜,62,因果,段奥娟,雀骨 影视原声带,2026-07-15,rQYrp9dzCOA,"40,626",華語
2026-08-15,影視金曲榜,63,漫过无尽岁月,张新成,南部档案 影视原声带,2026-06-11,mSyU8k_hRDY,"52,169",未知
2026-08-15,影視金曲榜,64,你只是你,谭维维,你只是你,2026-06-29,wiA0u-YQG7Q,587,華語
2026-08-15,影視金曲榜,65,孤光,张新成,南部档案 影视原声带,2026-06-11,aN4OnHZchmQ,"62,128",華語
2026-08-15,影視金曲榜,66,贴心,梁咏琪,这一秒过火 影视原声带,2026-07-18,dSX7D6XBGKY,"15,437",華語
2026-08-15,影視金曲榜,67,吻合,袁娅维TIA RAY/张远,吻合,2026-06-16,6ZI8JD54-dY,"98,343",華語
2026-08-15,影視金曲榜,68,正义的容颜,宗俊涛,重器 电视原声带,2026-08-11,7ZhzdmUb3PQ,21,華語
2026-08-15,影視金曲榜,69,渡,周深,渡,2026-06-09,T_6vMCU50t0,"2,299,729",華語
2026-08-15,影視金曲榜,70,风与花,何与,百花杀 原声音乐专辑,2026-07-28,_Sjd3NVh1og,"16,467",華語
2026-08-15,影視金曲榜,71,偷黄昏的人,莫非定律乐团,天才，女友 影视原声带,2026-08-04,ORY0PmRHxD4,"1,896",華語
2026-08-15,影視金曲榜,72,Behind The Shine,RIIZE,21세기 대군부인 OST Special,2026-05-16,3sKKVJ_jfAs,"3,196,803",韓語
2026-08-15,影視金曲榜,73,何故,刘宇宁,云秀行 影视原声带,2026-06-23,n5yL35f1IKI,"75,586",華語
2026-08-15,影視金曲榜,74,破晓以后,胡彦斌,破晓以后,2026-07-27,U_2HmXsOqgs,"13,754",華語
2026-08-15,影視金曲榜,75,人生自定义,那英,小芳 电视剧影视原声带,2026-07-13,IeZjH-TRqbY,"4,291",華語
2026-08-15,影視金曲榜,76,耀眼,刘宇宁,耀眼 影视原声带,2026-06-02,pmiR74HbSjI,"237,052",華語
2026-08-15,影視金曲榜,77,照心,段奥娟,南部档案 影视原声带,2026-06-11,-bzOKKOzEFs,"23,974",華語
2026-08-15,影視金曲榜,78,When I’m Home,James Blake/Travis Scott/Ludwig Göransson,The Odyssey (Original Motion Picture Soundtrack),2026-07-17,zTdDQ7v_Lb8,"1,091,300",西洋
2026-08-15,影視金曲榜,79,Stay With Me,DK,오싹한 연애 OST Part 2,2026-07-26,5cglnHp1mmo,"1,589,483",韓語
2026-08-15,影視金曲榜,80,人间聚散,房东的猫,问心2 原声OST大碟,2026-06-20,GEEXrDHsveU,"43,197",華語
2026-08-15,影視金曲榜,81,粲然与你,张景昀/赵奂然,南戏 影视原声带,2026-08-11,eekYm7kNm0w,109,華語
2026-08-15,影視金曲榜,82,Happy Rain,10CM,이런 엿같은 사랑 (Soundtrack from the Netflix Series),2026-08-07,Bri-jlRm2uo,"54,507",韓語
2026-08-15,影視金曲榜,83,Paper Flower,李遐怡,유부녀 킬러 OST Part 1,2026-08-01,tGyEwvglfxk,"70,465",韓語
2026-08-15,影視金曲榜,84,别忘了,岑宁儿,想你了 电影原声专辑,2026-07-24,ZpmbCnbVaOY,"3,070",華語
2026-08-15,影視金曲榜,85,吹向花开,希林娜依高,灿如繁星 影视原声带,2026-07-06,gcSdKIvM0bA,"9,405",未知
2026-08-15,影視金曲榜,86,Be My Light,段奥娟,天才，女友 影视原声带,2026-08-04,Et-oDExde-E,"8,315",華語
2026-08-15,影視金曲榜,87,如果宇宙有答案,黄子弘凡,如果宇宙有答案,2026-07-25,4kXZl6yf4-I,693,華語
2026-08-15,影視金曲榜,88,奉陪,陈伟霆,九门 影视原声带,2026-08-10,ljJt5MUWYyo,"6,779",華語
2026-08-15,影視金曲榜,89,上岸,任然,千香 影视剧原声音乐专辑,2026-07-15,uon3hUO0eI8,"12,119",華語
2026-08-15,影視金曲榜,90,方寸之间,白鹿/丞磊,方寸之间,2026-06-03,mykryGzMQ70,"162,181",華語
2026-08-15,影視金曲榜,91,Already Free,ALEPH,21세기 대군부인 OST Special,2026-05-16,_tr0Q042nVo,"919,924",西洋
2026-08-15,影視金曲榜,92,寸断,张远,千香 影视剧原声音乐专辑,2026-07-15,NGsMs7MGjUs,"18,174",華語
2026-08-15,影視金曲榜,93,夜鷹 - Yodaka,米津玄師,夜鷹 - Yodaka,2026-07-13,83dumZPbq-o,"8,699",日語
2026-08-15,影視金曲榜,94,一百颗星星,关晓彤/李昀锐,耀眼 影视原声带,2026-06-02,GbHiF2op4rQ,"178,999",華語
2026-08-15,影視金曲榜,95,No Mercy,DPR IAN,"재벌X형사2 OST Part.1(Flex x Cop 2, Pt. 1 (Original Soundtrack))",2026-08-07,6kVMjQSnIzs,"101,175",西洋
2026-08-15,影視金曲榜,96,Marionette,제나 (ZENA),검사실의 제안 OST Part.1,2026-06-19,MBVvRUJGyxU,"62,849",韓語
2026-08-15,影視金曲榜,97,再叙,王晰,再叙,2026-07-23,aPjXEc6ziHc,"1,190",華語
2026-08-15,影視金曲榜,98,一路荣光,黄霄雲,云秀行 影视原声带,2026-06-23,Oa7bcygFWUY,"69,341",華語
2026-08-15,影視金曲榜,99,练习,打扰一下EXCUSE ME,灿如繁星 影视原声带,2026-07-06,7-gMQPuq690,"24,000",華語
2026-08-15,影視金曲榜,100,成全,井胧,雀骨 影视原声带,2026-07-15,h6rcI296mSI,"20,733",華語
