抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-18,綜藝新歌榜,34,Talk like me (像我这样说),弹壳,说唱巅峰对决2026 第4期,2026-07-18,0046opI92fWzil,華語,l-V4WOvSAfk,"604,827"
2026-09-18,綜藝新歌榜,35,是非题,王赫野,音你而来3 第1期,2026-04-10,0047eiJI0p7hUW,華語,sc9LdPzku6Y,"1,710,063"
2026-09-18,綜藝新歌榜,36,锁,张靓颖/曾舜晞,天赐的声音第七季 第2期,2026-06-19,001X6UNl32DogT,華語,jTPeg10b3KI,"297,582"
2026-09-18,綜藝新歌榜,37,开始懂了,陈小春,国乐无双 第10期,2026-08-01,001dinly47ehoL,華語,p20EtodL7Ug,"382,409"
2026-09-18,綜藝新歌榜,38,花田错,万妮达Vinida Weng/吴碧霞,歌手2026 第12期,2026-08-08,0029yKnY3k4k2M,華語,Hnij47XWTeo,"77,484"
2026-09-18,綜藝新歌榜,39,我恨我爱你,张碧晨/余佳运,天赐的声音第七季 第12期,2026-09-04,0007HP3n3eHanX,華語,Fr9kkQ6db0A,"146,182"
2026-09-18,綜藝新歌榜,40,HowToDance (摇就完了),Yamy郭颖,说唱巅峰对决2026 第11期,2026-09-05,00227tUk1zCddp,華語,r-pEQ83ZBa0,"100,377"
2026-09-18,綜藝新歌榜,41,浮游生物,Yamy郭颖,说唱巅峰对决2026 第12期,2026-09-13,003G4Exh26ltnF,華語,090qDLdcS3k,"60,087"
2026-09-18,綜藝新歌榜,42,给我一个理由忘记,丁当/侯明昊,天赐的声音第七季 第10期,2026-08-14,002wC5ve1WFMgE,華語,GAdH8VaNkk4,"728,177"
2026-09-18,綜藝新歌榜,43,If The Sun Burns Out Tonight (feat. Oli Sykes & Courtney LaPlante) (炽日将烬),无畏契约/Grabbitz/Oli Sykes/Courtney Laplante,If The Sun Burns Out Tonight (feat. Oli Sykes & Courtney LaPlante) (炽日将烬),2026-09-16,001DyGLQ4FgVnr,西洋,-,-
2026-09-18,綜藝新歌榜,44,巴拉莱卡 (The Rod),张靓颖/陈楚生,天赐的声音第七季 第1期,2026-06-12,002dB4xY3S3gCr,華語,U-ZSLPlaGhA,"321,542"
2026-09-18,綜藝新歌榜,45,九万字,弦子/张予曦/刘人语,天赐的声音第七季 第12期,2026-09-04,000oDbBI4Z8ppo,華語,-nQX3o9k5fQ,"15,560"
2026-09-18,綜藝新歌榜,46,失忆,李佳薇/庄心妍,天赐的声音第七季 第12期,2026-09-04,001RqypQ0f40S8,華語,__JgR79AqR8,"92,414"
2026-09-18,綜藝新歌榜,47,我要找到你,刘惜君,国乐无双 第5期,2026-06-20,000Q8ONc00GqGy,華語,DtXgoZG_Q8E,"115,877"
2026-09-18,綜藝新歌榜,48,梦哑,杨丞琳/黄子弘凡,天赐的声音第七季 第10期,2026-08-14,000R0HUX2d50PR,華語,dVg0j-feBo4,"62,382"
2026-09-18,綜藝新歌榜,49,答案,王铮亮/黄霄雲,天赐的声音第七季 第9期,2026-08-07,0031Yk7G2YxCiD,華語,htjPa9QhaY8,"204,485"
2026-09-18,綜藝新歌榜,50,一格格,曾舜晞/Mike 曾比特,天赐的声音第七季 第12期,2026-09-04,002hfbQW1b8u5T,華語,_TPKqbv2_Hk,"65,510"
2026-09-18,綜藝新歌榜,51,野草,金志文,国乐无双 第10期,2026-08-01,004HXL730UwVsK,華語,Fa2ZJ7u4Zrk,"45,700"
2026-09-18,綜藝新歌榜,52,从前以后PT.1,盛宇D-SHINE,说唱巅峰对决2026 第11期,2026-09-05,0045WtPl1HkAJx,華語,PfbxXf-K7MY,"199,878"
2026-09-18,綜藝新歌榜,53,春泥,金志文,国乐无双 第11期,2026-08-08,0016Fjjw28hEi9,華語,w1yfCaZzOCc,"88,223"
2026-09-18,綜藝新歌榜,54,没关系,周深,国乐无双 第12期,2026-08-15,0046kWHj1M7s6z,華語,yD33NP5Zj_Y,"106,760"
2026-09-18,綜藝新歌榜,55,半壶纱,郁可唯/金晨,天赐的声音第七季 第6期,2026-07-17,000BGLG531zwVG,華語,vYS19ebfuAE,"267,605"
2026-09-18,綜藝新歌榜,56,Forever (永不凋零),弹壳/BrAnTB白景屹,说唱巅峰对决2026 第3期,2026-07-11,004QZvVo0KmxqK,華語,a0DZn9ST0JY,"300,520"
2026-09-18,綜藝新歌榜,57,指纹,杨坤/高睿,天赐的声音第七季 第10期,2026-08-14,0002SXCp1a2IZa,華語,2CihEcH9SfI,"29,969"
2026-09-18,綜藝新歌榜,58,走马,阿云嘎/米卡/颜安,披荆斩棘2026  一公,2026-08-22,004EaDCK3GKb2c,華語,B5trO9i01r4,"5,642"
2026-09-18,綜藝新歌榜,59,依兰爱情故事,岳云鹏/金志文/管乐,天赐的声音第七季 第3期,2026-06-26,001cT7wO2PpQLk,華語,mDVbPLkssXI,"132,752"
2026-09-18,綜藝新歌榜,60,红的 + NO HOOK FREESTYLE Pt.3 (永不重复第三部),Rapeter,说唱巅峰对决2026 第11期,2026-09-05,003nK38m3fOKyq,華語,hylzJhbgCRY,"5,514"
2026-09-18,綜藝新歌榜,61,一样的月光,曾沛慈,乘风2026 第7期,2026-05-23,002ISdsl4FvNGZ,華語,J28oOfvNVD8,"10,400,893"
2026-09-18,綜藝新歌榜,62,是你没选我啊,欢子/黄霄雲,天赐的声音第七季 第3期,2026-06-26,0038Szmn3OLBya,華語,2vpDf4zVuCI,"398,338"
2026-09-18,綜藝新歌榜,63,一点一滴,张信哲/黄子弘凡,天赐的声音第七季 第8期,2026-07-31,004IPRMi4ZbT03,華語,4DGi4BD5ccc,"77,349"
2026-09-18,綜藝新歌榜,64,孤单北半球,王赫野/张星特,音你而来3 第3期,2026-04-24,000sSNon3XNdgO,華語,ZkZGMN623zQ,"193,979"
2026-09-18,綜藝新歌榜,65,了了,翁杰_Winjay/加木,说唱巅峰对决2026 第6期,2026-08-01,002LXzFN1aEStC,華語,vxqsvgq2ySQ,"334,298"
2026-09-18,綜藝新歌榜,66,trust me,姚晓棠/Top Barry,天赐的声音第七季 第8期,2026-07-31,002oEKRP0CeVWX,華語,aE9h04yMqBw,"287,131"
2026-09-18,綜藝新歌榜,67,Trouble Maker (麻烦你了),那奇沃夫/Yamy郭颖,说唱巅峰对决2026 第3期,2026-07-11,004Mk8Cb2aHfou,華語,BcR8bAFlFb4,"506,717"
2026-09-18,綜藝新歌榜,68,My job (老本行),ICE杨长青/那奇沃夫/张峻豪SHUN,说唱巅峰对决2026 第9期,2026-08-22,003tZXnB1DjVB5,華語,adoArsLQNuw,"568,803"
2026-09-18,綜藝新歌榜,69,第一次爱的人,姚晓棠/袁一琦,音你而来3 第8期,2026-05-29,000fjCN52i5d8z,華語,EQBkiZKP-DA,"54,068"
2026-09-18,綜藝新歌榜,70,1993,辉子/KKECHO,说唱巅峰对决2026 第10期,2026-08-29,002EfZId1BNK9j,華語,NRaRnYwkE9E,"178,645"
2026-09-18,綜藝新歌榜,71,同花顺,宋亚轩,国乐无双 第5期,2026-06-20,000mR3og4D8x6Y,華語,WruTIPGb84U,"183,110"
2026-09-18,綜藝新歌榜,72,二十五,陈一豪Clear,说唱巅峰对决2026 第10期,2026-08-29,0023D5940kbdP1,華語,pgUWPIgH_QA,"104,660"
2026-09-18,綜藝新歌榜,73,红线,杨丞琳/刘宇,天赐的声音第七季 第11期,2026-08-21,001CW8IK08rZJl,華語,qdfb2yIPI0Y,"58,233"
2026-09-18,綜藝新歌榜,74,开到荼蘼,王铮亮/金晨,天赐的声音第七季 第12期,2026-09-04,003W49TQ3qJc2Y,華語,DRYuT573TT8,"8,222"
2026-09-18,綜藝新歌榜,75,bad guy,黄霄雲/周震南,天赐的声音第七季 第11期,2026-08-21,000I1jop1Zq2FA,西洋,NLGRPVvMwm4,"148,235"
2026-09-18,綜藝新歌榜,76,再见,万妮达Vinida Weng,歌手2026 第12期,2026-08-08,0025NcWi43X83i,華語,q-IowIzrMLY,"110,730"
2026-09-18,綜藝新歌榜,77,Royalty (Prod By !llmind),尹美莱/Tiger JK,스트릿 월드 파이터 : 디렉터스 워 (SDF) Original Vol. 2 (타이틀 시퀀스 필름 미션),2026-09-08,000fBIaX4Qqv1C,韓語,-,-
2026-09-18,綜藝新歌榜,78,讨厌,杨丞琳/欧阳娜娜,天赐的声音第七季 第5期,2026-07-10,001fFMNt0pzygI,華語,gw5ED3eAv5k,"195,136"
2026-09-18,綜藝新歌榜,79,遗失的心跳,周笔畅/喻言,天赐的声音第七季 第9期,2026-08-07,000922nb1WwJ3u,華語,ZZudhk8lcC4,"34,985"
2026-09-18,綜藝新歌榜,80,呼吸决定,姚晓棠/张星特,天赐的声音第七季 第10期,2026-08-14,003f8Gqc32Unpb,華語,lHPWRpJPBQ8,"92,385"
2026-09-18,綜藝新歌榜,81,喜欢你,周深,国乐无双 第12期,2026-08-15,000vTHcD2eHxlA,華語,hTYqbBnRyqs,"155,210"
2026-09-18,綜藝新歌榜,82,小rapper,Rapeter/Mai,说唱巅峰对决2026 第7期,2026-08-08,003YPkIL3UcUls,華語,MeBSgJTbfis,"24,737"
2026-09-18,綜藝新歌榜,83,庙堂之外,胡彦斌,歌手2026 第8期,2026-07-11,0040wHz60tLFV1,華語,g8Ga9SBDi7M,"28,702"
2026-09-18,綜藝新歌榜,84,尕连手,赵骏,魔力歌先生 第9期,2026-05-08,004HTRWc3j0UII,華語,BgY8FqEM5mQ,"22,727"
2026-09-18,綜藝新歌榜,85,失眠,杨丞琳/en (王翊恩),天赐的声音第七季 第4期,2026-07-03,002BqNe936SYpF,華語,yM3jz8xVEqo,"279,232"
2026-09-18,綜藝新歌榜,86,如果的事,范玮琪,乘风2026 第1期,2026-04-04,003by8jM0HSALP,華語,viE0EhFFMz8,"2,326,457"
2026-09-18,綜藝新歌榜,87,第三人称,杨丞琳/王栎鑫,天赐的声音第七季 第8期,2026-07-31,002Sxzxa4gZrhr,華語,RJaoLKOzn0o,"83,470"
2026-09-18,綜藝新歌榜,88,寂寞寂寞不好,Ghost (王琳凯)/张新成,音你而来 - 特别解锁,2026-04-17,003Sncd93LWIJq,華語,2N5Toskbpvo,"23,098"
2026-09-18,綜藝新歌榜,89,手掌,盛宇D-SHINE/加木,说唱巅峰对决2026 第3期,2026-07-11,000ADHCB3wvbwN,華語,4W3xtg7jLVo,"93,632"
2026-09-18,綜藝新歌榜,90,同花顺,阿云嘎/满江/张睿,披荆斩棘2026 二公,2026-09-05,001qVNIX4O7vwA,華語,aNt2K8LWrtM,241
2026-09-18,綜藝新歌榜,91,Dats Me (通通是我),Top Barry,说唱巅峰对决2026 第5期,2026-07-25,00130DHH3wQ8lj,華語,m6jb1G1arYE,"124,456"
2026-09-18,綜藝新歌榜,92,是你没选我啊,张新成/吉娜·爱丽丝,音你而来3 第9期,2026-06-05,000d6b6q3t6bOK,華語,Fv8K_Opd-_o,"24,096"
2026-09-18,綜藝新歌榜,93,月光与吻痕,杨宗纬/欢子/喻言,天赐的声音第七季 第7期,2026-07-24,0016zo2207YG3u,華語,N5COHYSS51o,"91,368"
2026-09-18,綜藝新歌榜,94,一个人想着一个人,姚晓棠/王栎鑫,天赐的声音第七季 第2期,2026-06-19,000slmdt1Vm0AH,華語,7OSCbE5cs3M,"1,101,250"
2026-09-18,綜藝新歌榜,95,爱与诚,欢子/弦子,天赐的声音第七季 第12期,2026-09-04,0044tM8w1e9YJ4,華語,C52kjEAStIg,"10,563"
2026-09-18,綜藝新歌榜,96,被驯服的象,窦靖童/欧阳娜娜,歌手2026 第12期,2026-08-08,0044a7vb0uXF6U,華語,m1DRtCeQHAc,"87,933"
2026-09-18,綜藝新歌榜,97,二十二,宋亚轩,国乐无双 第10期,2026-08-01,003NAHxA1vkVrl,華語,ZTR3tg6GirY,"55,469"
2026-09-18,綜藝新歌榜,98,若月亮没来,赵磊/小阿七/黄旭,天赐的声音第七季 第12期,2026-09-04,002MRROm1cF6dI,華語,aWZDZjTda08,"10,721"
2026-09-18,綜藝新歌榜,99,言不由衷,曾沛慈/张月,乘风2026 第4期,2026-04-25,004YliTX1ZIOjD,華語,me4As6zyJk4,"1,332,426"
2026-09-18,綜藝新歌榜,100,到时说爱我,容祖儿/余佳运,音你而来3 第4期,2026-05-01,003TyH1X3FwnAG,華語,t11G-OlwUws,"29,248"
