抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-28,抖音熱歌榜,1,葡萄成熟时,陈奕迅,U 87,2005-06-07,華語,NCsVnmmNA3E,"11,114,644"
2026-08-28,抖音熱歌榜,2,晴天,周杰伦,叶惠美,2003-07-31,華語,DYptgVvkVLQ,"95,809,800"
2026-08-28,抖音熱歌榜,3,最好的我,龚芝怡/房祖名,55:38:07,2010-05-14,華語,0zmmHNGHRds,"4,480,726"
2026-08-28,抖音熱歌榜,4,恋人,李荣浩,黑马,2024-10-18,華語,5RlEWndW0bE,"5,380,805"
2026-08-28,抖音熱歌榜,5,我好想你,苏打绿,秋：故事（苏打绿版）,2024-11-08,華語,P_pyfLArjQg,"78,924,438"
2026-08-28,抖音熱歌榜,6,富士山下,陈奕迅,What's Going On...?,2006-11-23,華語,JDpRnPef5qQ,"30,363,582"
2026-08-28,抖音熱歌榜,7,红尘客栈,周杰伦,十二新作,2012-12-28,華語,L6joGUdc6y4,"45,200,288"
2026-08-28,抖音熱歌榜,8,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,華語,TvSLCxXyrBA,"54,416,457"
2026-08-28,抖音熱歌榜,9,明天过后,张杰,听！我们的歌,2020-07-23,華語,ZA0uGRffojo,"1,400,268"
2026-08-28,抖音熱歌榜,10,Always Online,林俊杰,JJ陆,2008-10-18,華語,-gqfAzw6FQo,"8,264,863"
2026-08-28,抖音熱歌榜,11,我怀念的,孙燕姿,逆光,2007-03-22,華語,G7uSHzyVAwg,"42,123,619"
2026-08-28,抖音熱歌榜,12,阴天,莫文蔚,You Can,1999-04-20,華語,tYWufUugeUc,"16,725,465"
2026-08-28,抖音熱歌榜,13,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,華語,itjyryJ-8IU,"27,051,122"
2026-08-28,抖音熱歌榜,14,搁浅,周杰伦,七里香,2004-08-03,華語,YJfHuATJYsQ,"82,479,664"
