抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-04,新歌榜,1,天生刺猬,张月,天生刺猬,2026-08-31,00024goq00gZd9,華語,HaL5Y1j2bbo,"5,597"
2026-09-04,新歌榜,2,蓝矮星,田嘉瑞,蓝矮星,2026-09-02,004SiLZP3SalkA,華語,hFfmLW3kCRw,"4,695"
2026-09-04,新歌榜,3,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,001TBn1W4Wg2QM,華語,7Buj2xUlZo0,"77,304"
2026-09-04,新歌榜,4,昨天，今天,莫文蔚,昨天，今天,2026-08-25,003G4D6x1e8J8k,華語,Z92SE7ZSTRg,"20,003"
2026-09-04,新歌榜,5,思念漫过海岸线,欢子,思念漫过海岸线,2026-08-28,00279mQx0Z0DSX,華語,SMmvLT8pnnA,"1,052"
2026-09-04,新歌榜,6,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,003sbk7o3sytRU,西洋,46h0LvDHgIs,"16,006,633"
2026-09-04,新歌榜,7,删了一百遍,A-Lin,删了一百遍,2026-09-01,000Q8gRW2WkkDS,華語,HzpDg83IElA,"100,058"
2026-09-04,新歌榜,8,我们不散,周深,我们不散,2026-09-03,00203KEv0gDIFp,華語,3GrnbLGfCkI,"5,935"
2026-09-04,新歌榜,9,路过晴朗,汪苏泷,早春晴朗 影视原声带,2026-09-01,001Mu0Lw3X3LnQ,華語,2TUe-RESXeE,"133,894"
2026-09-04,新歌榜,10,没有你是漫长雨季,梓渝,梓渝,2026-08-05,000eMXbM0hmJmi,華語,upblmi2XwGs,"12,047"
2026-09-04,新歌榜,11,此刻,袁娅维TIA RAY,早春晴朗 影视原声带,2026-09-01,002N9Y7U1dHP4I,華語,pPWj5zpyeG8,"35,817"
2026-09-04,新歌榜,12,薛定谔的雨,希林娜依高,薛定谔的雨,2026-08-31,0048yj6B3Pcr3F,華語,cTONGicNHXU,76
2026-09-04,新歌榜,13,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,000NfrvW429sMm,西洋,UsbRoaH6y-Q,"8,716,292"
2026-09-04,新歌榜,14,莫忙,乡野低频,莫忙,2026-08-13,001MAXbn0b3fH2,華語,xgQMemPpnmI,"24,497"
2026-09-04,新歌榜,15,My Jealousy,于梓贝,My Jealousy(粤语版),2026-08-21,000v4MNN1b4UTt,華語,ylcqX1Eaz5E,"8,809"
2026-09-04,新歌榜,16,好的,黄子弘凡,好的,2026-08-29,000qw3B41TxC8E,華語,ki8RVe9R8DI,"1,659"
2026-09-04,新歌榜,17,情网,半吨兄弟,情网（烟嗓版）,2026-08-25,0034VCpK3DewWn,華語,7BtnY-VDMD0,"2,916"
2026-09-04,新歌榜,18,我不难过,en (王翊恩),我不难过,2026-09-03,0038DoVG1Lg3kE,華語,WuS9D82hSV4,"11,066"
2026-09-04,新歌榜,19,连带保证人,姚晓棠,破晓,2026-09-03,003i7gfg4NUSQm,華語,k1rtFz1oRCA,"18,051"
2026-09-04,新歌榜,20,有多少爱可以重来,橘子妹,有多少爱可以重来,2026-09-01,001GGb8H1XNEZu,華語,-,-
2026-09-04,新歌榜,21,说文解字,灯叔/方大树,说文解字,2026-08-29,000bCM2f3nhooK,華語,45OKCZb0Zlk,"12,144"
2026-09-04,新歌榜,22,VIBE,展轩,VIBE,2026-08-31,0007X40v3BaZpQ,華語,SHGoXIGYihg,"1,482"
2026-09-04,新歌榜,23,tunnel vision,Gareth.T,tunnel vision,2026-09-03,004cRlZK2BNbTo,西洋,tLqQyeuXaPE,"82,047"
2026-09-04,新歌榜,24,安和桥,橘子妹,安和桥,2026-09-01,003xlBCs4UbmpY,華語,-,-
2026-09-04,新歌榜,25,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,0040Tlxh4YNKr3,華語,QPcvwly2pVY,"39,570"
2026-09-04,新歌榜,26,MONEYMONEYMONEY,CORTIS,GREENGREEN_playextended,2026-08-23,003ufBbJ3ifsBX,西洋,OhdvNHmJDsw,"4,955,021"
2026-09-04,新歌榜,27,异形,李昊,异形,2026-09-01,0017nkHC4erPHD,華語,RYGJYgUi9Bo,225
2026-09-04,新歌榜,28,死了都要爱,高高在这呢,死了都要爱,2026-08-18,001GthpV4GPvJv,華語,SkX3MCru6hM,4
2026-09-04,新歌榜,29,GRLS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,000yC8KR2ukwGc,西洋,pHciG9_2xXM,"8,367,853"
2026-09-04,新歌榜,30,唯有追赶风的方向 (Only By Chasing the Wind),知更鸟/HOYO-MiX/Chevy,崩坏星穹铁道-唯有追赶风的方向 Only By Chasing the Wind,2026-08-26,000M3Yxt2tIuHZ,西洋,mFaxZdS6nYo,"22,870"
2026-09-04,新歌榜,31,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,000Cq9mC1yZWHq,韓語,hGqYdubpcCM,"26,429,652"
2026-09-04,新歌榜,32,海角七号,赵乃吉,海角七号,2026-08-28,001nei893kCRZy,華語,hJ3aMhhd05M,"13,207"
2026-09-04,新歌榜,33,如果累了就回故乡,酷酷里/面妹孔佳奇,如果累了就回故乡,2026-08-13,003wtWfF1pXG8n,華語,TlIciP4_aMA,518
2026-09-04,新歌榜,34,耗尽浪漫,BZ1/吴岱林,耗尽浪漫,2026-08-24,0024HRBh36rfUH,華語,-VVBysKO1DE,249
2026-09-04,新歌榜,35,只为爱与自由,大张伟,只为爱与自由,2026-08-22,002aZadp0nLfYz,華語,VyfOmU7QUH8,127
2026-09-04,新歌榜,36,顺其自然,国产阿发,顺其自然,2026-08-19,0023nBVk308eK6,華語,2fGDe6QVypA,"83,531"
2026-09-04,新歌榜,37,贰拾肆,梓渝,梓渝,2026-08-05,003Agdhd2tM867,華語,zeGLBhDbwt0,"82,097"
2026-09-04,新歌榜,38,就当你是个过客,弦外之音,就当你是个过客（微醺版）,2026-08-05,004eoKmV0lB4DZ,華語,cKTSbmVPBjQ,"15,593"
2026-09-04,新歌榜,39,山风不语,正在进行石女士,山风不语,2026-08-18,0047ZbKn4Ps7K3,華語,rLIFDSRzO5M,5
2026-09-04,新歌榜,40,此间是少年,梓渝,梓渝,2026-08-05,003YH7VB1zA0hP,華語,0_ld2Btgweo,"4,140"
2026-09-04,新歌榜,41,Hope to Remain,严浩翔,Scary Movie Ⅱ: Same Face,2026-08-24,001dWQ2d3Auvk8,西洋,R1FhekboG9I,"8,141"
2026-09-04,新歌榜,42,呆头鸟,礼越,呆头鸟,2026-08-15,000cwv0w3FHevL,華語,I5u4kx4EoqM,"9,437"
2026-09-04,新歌榜,43,混帐,周柏豪,混帐,2026-08-28,002ruulk1h2V9u,華語,NozeuYNO7F4,"163,272"
2026-09-04,新歌榜,44,你不该权衡利弊,李婷雪,你不该权衡利弊,2026-08-17,002wKJsi2UEDAr,華語,7IlEG5xPHrQ,"67,268"
2026-09-04,新歌榜,45,甲乙丙丁,李佳薇,甲乙丙丁 (粤语版),2026-09-03,000KrmLU1imE68,華語,YhiQDARUJ7Y,"6,597,388"
2026-09-04,新歌榜,46,时间漫步,梓渝,梓渝,2026-08-05,002GPTYm2w6qQD,華語,8iqJ7dGVW50,"7,770"
2026-09-04,新歌榜,47,如果你也刚好抬头望,王巨星,如果你也刚好抬头望,2026-08-18,001Z82vu04RcRB,華語,Cqce0ZmxDJA,"1,665"
2026-09-04,新歌榜,48,互删 (我走以后),江辰,互删 (我走以后),2026-08-29,000c6NsT1go9hy,華語,dq-FAOsQKGg,"8,234"
2026-09-04,新歌榜,49,绝口不提 (我为难自己),草原兄弟,绝口不提 (我为难自己),2026-09-01,004aI8Uk2wDEKX,華語,NYeo8KRfUfc,13
2026-09-04,新歌榜,50,回到小村落,吕口口,回到小村落（女声版）,2026-08-21,001yIoav0Xs5au,華語,Pvk0Iq7soAg,275
2026-09-04,新歌榜,51,她一定很爱你,X-Yarkin,她一定很爱你,2026-08-20,002Q4Eeo0k0XP0,華語,-,-
2026-09-04,新歌榜,52,RUN IT,梓渝,梓渝,2026-08-05,000niJmJ2LkmFm,華語,ovZ4T3Hv7RQ,"93,914"
2026-09-04,新歌榜,53,ORA,受伤的梅,ORA,2026-08-17,002a555C11lSQK,其它,yz6QSts5PKY,5
2026-09-04,新歌榜,54,命运好幽默让爱的人都沉默,周深深,命运好幽默让爱的人都沉默,2026-08-15,000eovoz2xsTs0,華語,-,-
2026-09-04,新歌榜,55,天亮就出发,金志文,天亮就出发,2026-08-31,000mpgmV1KRgmJ,華語,LBXSI2G8oLA,"1,483"
2026-09-04,新歌榜,56,Training Season (London Sessions),Dua Lipa,Training Season's Over,2026-08-28,000lUIrW1bt3oJ,西洋,3DcoC8p9az8,"103,776,695"
2026-09-04,新歌榜,57,PACK IT UP,CORTIS,GREENGREEN_playextended,2026-08-23,004AUYvn4SK3Xy,西洋,Eg4-vCHc7eQ,"1,458,784"
2026-09-04,新歌榜,58,Setsuna Hanabi,TOMORROW X TOGETHER,Setsuna Hanabi,2026-08-16,002l98H80FFtQB,日語,Z5pGz8fkaDQ,"1,886,459"
2026-09-04,新歌榜,59,打开2.0,黄霄雲,打开2.0,2026-08-30,000C0kFM3h0NlB,華語,KiEXI8y4RmA,"22,160"
2026-09-04,新歌榜,60,踏马寻花向自由,轻烟大叔,踏马寻花向自由,2026-08-04,002ubWtL1QHAfM,華語,-,-
2026-09-04,新歌榜,61,旧记忆,黄子韬/刘宇宁,旧记忆,2026-08-20,0042O4bO4WwIrI,華語,VvDUInqyDuQ,"75,373"
2026-09-04,新歌榜,62,游向陆地的鱼,梓渝,梓渝,2026-08-05,0019tNGN1TJbLT,華語,R-FdIwzlC_s,"67,335"
2026-09-04,新歌榜,63,爱意藏风里,弄简,晚风知我意,2026-08-19,00060o1c4Hj94A,華語,AwGrTL8eeiQ,568
2026-09-04,新歌榜,64,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,000kx6840pAmzB,華語,-iv04Ej2qac,128
2026-09-04,新歌榜,65,请勿打扰,喻言,请勿打扰,2026-08-22,001bOW223uVm7E,華語,B7DKa-nJxxo,"1,407"
2026-09-04,新歌榜,66,Crossfire,张艺兴,Crossfire,2026-08-14,000cLzsO0XRiMC,西洋,3ZbdF6mRmHY,"1,799"
2026-09-04,新歌榜,67,我会好好的,烟嗓船长,我会好好的(深情男版),2026-08-15,004bGWUL2wMTa1,華語,OiYlOWl8vk0,37
2026-09-04,新歌榜,68,女孩27 (她一转眼就27),EMZJayce,女孩27 (她一转眼就27),2026-08-22,000i0CHB22GcL9,華語,XPYKV1yM6n4,"1,496"
2026-09-04,新歌榜,69,别说我的眼泪你无所谓,周深深,别说我的眼泪你无所谓,2026-08-19,002LtCxW0aW20M,華語,-,-
2026-09-04,新歌榜,70,我们总是喜欢在夏天讨论永远,时代少年团,加冠,2026-08-25,004Er2SY42d2Wm,華語,AH2ibOsKgzs,"105,233"
2026-09-04,新歌榜,71,出卖,轻烟大叔,出卖,2026-08-26,004Ofutg3vcTaQ,華語,-,-
2026-09-04,新歌榜,72,一千个伤心的理由,张妙格,一千个伤心的理由（氛围版）,2026-08-31,002Xgxon1ONHhx,華語,5JwfGdwRRsI,61
2026-09-04,新歌榜,73,SLEEP,The Kid LAROI,SLEEP,2026-08-28,000hJpED4IFyLq,西洋,AYdciDsNv4E,"978,999"
2026-09-04,新歌榜,74,渝人码头,梓渝,梓渝,2026-08-05,004ZBLqV41pHpF,華語,QH7D9S0XhZs,"4,921"
2026-09-04,新歌榜,75,致亲爱的自己,梓渝,梓渝,2026-08-05,004N5kMG0FFsS1,華語,-sgLTL_8Wwg,"5,981"
2026-09-04,新歌榜,76,不是我不小心,半吨兄弟,不是我不小心,2026-08-23,001OxR3y0eJk1q,華語,PmU7ydq30ZE,14
2026-09-04,新歌榜,77,闯,梓渝,梓渝,2026-08-05,003MG34d3EAE0t,華語,GXRYrdnm9_I,"4,880"
2026-09-04,新歌榜,78,Little Songs(无人知晓的小歌),七元,Little Songs(无人知晓的小歌),2026-08-07,0007fKtP3eKWXB,華語,zxwR7ZG4bH4,77
2026-09-04,新歌榜,79,莎啦啦,孙颖莎/JKZQ,莎啦啦,2026-08-26,001Qlo3531bbx7,華語,sEevMN7HhOc,"8,708"
2026-09-04,新歌榜,80,TOP的第一首抒情歌,TOP登陆少年组合,TOP的第一首抒情歌,2026-08-29,000UuafX36gkJH,華語,wb-B681nqNM,"5,625"
2026-09-04,新歌榜,81,山风山风等等我,吕口口,山风山风等等我,2026-08-06,002kN2Yv44OGmU,華語,NCKRAlzlH7M,45
2026-09-04,新歌榜,82,傻女,王栎鑫,傻女,2026-08-26,003uDk184XJIeI,華語,8eZl7NVFxlo,537
2026-09-04,新歌榜,83,擦干眼泪爱你,杨友友/烟嗓船长,擦干眼泪爱你 (合唱版),2026-08-10,001lDmhj3wH0Ws,華語,NiOVOr1m46Q,145
2026-09-04,新歌榜,84,为你我受冷风吹,羊羊,为你我受冷风吹,2026-08-05,002NEXY42B8Gyl,華語,-,-
2026-09-04,新歌榜,85,我要幽默,李宇春,我要幽默,2026-08-28,003JKgmD17Lrld,華語,tJm_TeOY8LA,312
2026-09-04,新歌榜,86,借一阵自由晚风,郑鱼,借一阵自由晚风,2026-08-08,003XcSOl36jnMy,華語,-,-
2026-09-04,新歌榜,87,静音恋人 (两颗缠绕的心),邹沛沛,静音恋人,2026-08-12,000jMNPv4L0R70,華語,-Hl1gke4U48,"2,189"
2026-09-04,新歌榜,88,最遗憾的朋友,承桓,最遗憾的朋友,2026-08-18,003oU32M2sQgVN,華語,hkeIg4BBsfk,"103,801"
2026-09-04,新歌榜,89,不要问风往哪吹,杨友友/烟嗓船长,不要问风往哪吹(合唱版),2026-08-29,000DMkWW2VrztW,華語,z4n5ADyhijY,93
2026-09-04,新歌榜,90,不回头的人,梓渝,梓渝,2026-08-05,001Z3JmU227Cx6,華語,hG6H-Gi4lNU,"4,191"
2026-09-04,新歌榜,91,杀破狼,萧泽,杀破狼,2026-08-13,001FBLmx0OsmYq,華語,Dgq9BadXDhw,"99,681"
2026-09-04,新歌榜,92,爸爸妈妈,乡野低频,爸爸妈妈,2026-08-07,004SiH883jz8Au,華語,J59-924vcoU,"10,643"
2026-09-04,新歌榜,93,等风来等花开,曲肖冰/凤璃,等风来等花开,2026-08-05,0012jTIC2CeQaz,華語,G2OWUPYKfE0,432
2026-09-04,新歌榜,94,Don't Talk Ense,Vnriet/DarK Haye/Nvraenr,After This Life (Slap House),2026-08-13,0005qqzV0bdU8A,西洋,-,-
2026-09-04,新歌榜,95,螺旋 - RASEN - Acoustic Ver. -,9Lana,螺旋 - RASEN - Acoustic Ver. -,2026-08-23,001962kM0ZI9gM,日語,aD9R2R8Fix4,"156,750"
2026-09-04,新歌榜,96,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,000GL9102hzc2Q,華語,xBOmrRTzi9M,"37,998"
2026-09-04,新歌榜,97,BiiiG,BIGBANG,BiiiG,2026-08-19,000nXKv108CoUC,韓語,L8ZnXgbyUuc,"14,370,516"
2026-09-04,新歌榜,98,你的眼睛背叛你的心,卢润泽,卢润泽翻唱合集,2026-07-25,001kIo5i03VINc,華語,-,-
2026-09-04,新歌榜,99,我不该动情,吕口口,我不该动情,2026-08-12,003KGKE2450urp,華語,B4hRfZy2ZVg,58
2026-09-04,新歌榜,100,爱久见人心,赵乃吉,爱久见人心,2026-08-02,003DbyRP4aBpRj,華語,1TJ4DXlfcTc,"29,621"
