抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-04,抖音熱歌榜,1,心之火,张鑫,心之火,2024-07-18,_SDj6gcGE5g,"2,345,653"
2026-08-04,抖音熱歌榜,2,晴天,周杰伦,叶惠美,2003-07-31,DYptgVvkVLQ,"95,448,295"
2026-08-04,抖音熱歌榜,3,恋人,李荣浩,黑马,2024-10-18,5RlEWndW0bE,"5,202,007"
2026-08-04,抖音熱歌榜,4,总有一天你会出现在我身边,棱镜乐队,一次有预谋的初次相遇,2018-10-06,vaC8STyhPc4,"147,453"
2026-08-04,抖音熱歌榜,5,ANGEL,尹美莱/Tiger JK/Bizzy,Angel,2014-12-08,sXP4uMm0teA,"18,944,611"
2026-08-04,抖音熱歌榜,6,Always Online,林俊杰,JJ陆,2008-10-18,-gqfAzw6FQo,"8,105,700"
2026-08-04,抖音熱歌榜,7,红尘客栈,周杰伦,十二新作,2012-12-28,L6joGUdc6y4,"45,063,580"
2026-08-04,抖音熱歌榜,8,阴天,莫文蔚,You Can,1999-04-20,tYWufUugeUc,"16,648,852"
2026-08-04,抖音熱歌榜,9,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,TvSLCxXyrBA,"54,253,778"
2026-08-04,抖音熱歌榜,10,我怀念的,孙燕姿,逆光,2007-03-22,G7uSHzyVAwg,"42,102,319"
2026-08-04,抖音熱歌榜,11,无人之岛,任然,没有发生的爱情,2017-08-31,0RsL8Ga73QQ,"40,893,077"
2026-08-04,抖音熱歌榜,12,盛夏的果实,莫文蔚,NO.1新曲精选全记录20首,2000-06-01,N2d9vPacdmw,"5,934,746"
2026-08-04,抖音熱歌榜,13,唯一,G.E.M. 邓紫棋,T.I.M.E.,2023-11-26,xXr4Z7HAZCE,"32,763,113"
2026-08-04,抖音熱歌榜,14,雨爱,杨丞琳,雨爱,2010-01-01,oec9R5ypf-o,"39,747,276"
2026-08-04,抖音熱歌榜,15,搁浅,周杰伦,七里香,2004-08-03,YJfHuATJYsQ,"82,155,224"
2026-08-04,抖音熱歌榜,16,夜曲,周杰伦,十一月的萧邦,2005-11-01,6Q0Pd53mojY,"104,324,818"
2026-08-04,抖音熱歌榜,17,演员,薛之谦,绅士,2015-06-05,jQu4cJ00UEo,"23,137,794"
2026-08-04,抖音熱歌榜,18,偏爱,张芸京,破天荒,2009-06-03,QDwLjCGdmYM,"17,999,208"
2026-08-04,抖音熱歌榜,19,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,ATblV50Odx8,"66,534,665"
2026-08-04,抖音熱歌榜,20,小半,陈粒,小梦大半,2016-07-26,Xw8zuUKauxs,"13,029,942"
2026-08-04,抖音熱歌榜,21,发如雪,周杰伦,十一月的萧邦,2005-11-01,gnz7It0-F4g,"4,373,549"
2026-08-04,抖音熱歌榜,22,多远都要在一起,G.E.M. 邓紫棋,新的心跳,2015-11-06,D9ksLn6hZ7Q,"70,475,981"
2026-08-04,抖音熱歌榜,23,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,itjyryJ-8IU,"26,720,717"
2026-08-04,抖音熱歌榜,24,富士山下,陈奕迅,What's Going On...?,2006-11-23,JDpRnPef5qQ,"30,207,095"
2026-08-04,抖音熱歌榜,25,开始懂了,孙燕姿,我要的幸福,2000-12-09,h5eRbbOnPRc,"11,050,050"
2026-08-04,抖音熱歌榜,26,空心,光泽,光泽,2017-01-05,PXnhdl_URro,"19,361,029"
2026-08-04,抖音熱歌榜,27,思念是一种病,张震岳/蔡健雅,OK,2007-07-06,9ei1PUmDz98,"40,496,015"
2026-08-04,抖音熱歌榜,28,刻在我心底的名字,卢广仲,刻在我心底的名字,2020-08-25,m78lJuzftcc,"81,237,497"
2026-08-04,抖音熱歌榜,29,素颜,许嵩/何曼婷,素颜,2010-08-18,SwBEmdhqb6M,"4,140,330"
2026-08-04,抖音熱歌榜,30,最佳损友,陈奕迅,Life Continues,2006-02-18,0fcKEN4_QoM,"7,570,289"
2026-08-04,抖音熱歌榜,31,童话,光良,童话,2005-01-21,IBTmypxD2mU,"58,362,399"
2026-08-04,抖音熱歌榜,32,特别的人,方大同,危险世界,2014-04-11,IscPlLsh6iU,"31,403,999"
2026-08-04,抖音熱歌榜,33,江南,林俊杰,第二天堂,2004-06-04,G97_rOdHcnY,"43,239,945"
2026-08-04,抖音熱歌榜,34,Beauty And A Beat,Justin Bieber/Nicki Minaj,Believe (Deluxe Edition),2012-01-01,Ys7-6_t7OEQ,"1,341,665,203"
2026-08-04,抖音熱歌榜,35,出现又离开,梁博,我是唱作人 第2期,2019-04-19,n0Y7J-TzgZE,"8,649,003"
2026-08-04,抖音熱歌榜,36,我们俩,郭顶,微微,2009-08-18,2kc1FDmzLkI,"17,805,494"
2026-08-04,抖音熱歌榜,37,后会无期,徐良/汪苏泷,不良少年,2011-12-26,iKrMvFYaFzg,"6,548,016"
2026-08-04,抖音熱歌榜,38,你要的全拿走,胡彦斌,覅忒好,2018-01-26,9HDHnU-Vl0g,"59,985,034"
2026-08-04,抖音熱歌榜,39,慢冷,李荣浩,2022中国好声音 第1期,2022-08-05,m9o7Vt2e3Ps,"6,347,886"
2026-08-04,抖音熱歌榜,40,其实,薛之谦,意外,2013-11-11,YT3HI5hyMi4,"7,149,685"
2026-08-04,抖音熱歌榜,41,Baby,Justin Bieber/Ludacris,Baby,2010-01-18,kffacxfA7G4,"3,720,503,518"
2026-08-04,抖音熱歌榜,42,坏女孩,徐良/小凌,不良少年,2011-12-26,xKfBknbOsz0,"4,414,828"
2026-08-04,抖音熱歌榜,43,下完这场雨,后弦,下完这场雨,2017-01-13,lttm50z2-2s,"3,233,459"
2026-08-04,抖音熱歌榜,44,离开我的依赖,王艳薇,离开我的依赖,2020-02-17,RFNRzN3jDmk,"31,626,352"
2026-08-04,抖音熱歌榜,45,遇见,孙燕姿,The Moment,2003-08-22,zgmnU8BxE2c,"21,912,959"
2026-08-04,抖音熱歌榜,46,泡泡,牛佳钰,泡泡,2020-05-01,mmyZsv_vRJw,"20,165"
2026-08-04,抖音熱歌榜,47,心墙,郭静,在树上唱歌,2009-05-22,VhCRokYVF1I,"31,842,436"
2026-08-04,抖音熱歌榜,48,不分手的恋爱,汪苏泷,汪苏泷原创合集,2010-11-15,oTG_6WKh_4c,"7,015,216"
2026-08-04,抖音熱歌榜,49,关键词,林俊杰,和自己对话 From M.E. To Myself,2015-12-25,YFr6p7vB9hc,"62,154,149"
2026-08-04,抖音熱歌榜,50,恶作剧,王蓝茵,恶作剧之吻 电视剧原声带,2005-10-14,VaSjWclJKGE,"22,465,822"
2026-08-04,抖音熱歌榜,51,那时雨,徐良,那时雨,2013-03-14,7BJ_onc5itA,"193,392"
2026-08-04,抖音熱歌榜,52,如愿,王菲,如愿,2021-09-25,6fV2dRqJHvw,"25,048,533"
2026-08-04,抖音熱歌榜,53,瞬,郑润泽,瞬,2023-07-17,QKTo71Hgfpw,"9,969,499"
2026-08-04,抖音熱歌榜,54,此生不换,青鸟飞鱼,仙剑奇侠传三 电视剧原声带,2009-06-18,yz80TCsFDaA,"1,703,468"
2026-08-04,抖音熱歌榜,55,黄昏,周传雄,Transfer,2000-12-25,6ca_YHZvzls,"75,152,484"
2026-08-04,抖音熱歌榜,56,十年,陈奕迅,黑白灰,2003-04-15,tjr3SrCg3pc,"13,366,768"
2026-08-04,抖音熱歌榜,57,可不可以,张紫豪,可不可以,2018-05-03,hgIDXTmmgDg,"149,275,511"
2026-08-04,抖音熱歌榜,58,海阔天空,BEYOND,乐与怒,1993-05-14,qu_FSptjRic,"178,459,088"
2026-08-04,抖音熱歌榜,59,奢香夫人,凤凰传奇,最炫民族风,2009-06-02,i6W3qRIH1kc,"2,647,102"
2026-08-04,抖音熱歌榜,60,我们的歌,王力宏,改变自己,2007-07-13,FpPDwP0NWnw,"7,454,468"
2026-08-04,抖音熱歌榜,61,夏夜最后的烟火,颜人中,夏夜最后的烟火,2024-01-01,SVdZy0uZBUg,"13,008,798"
2026-08-04,抖音熱歌榜,62,如果爱忘了,汪苏泷/单依纯,声生不息·家年华 第12期,2024-02-17,40iCGaUhTbE,"29,502,606"
2026-08-04,抖音熱歌榜,63,背对背拥抱,林俊杰,100天,2009-12-18,7xgucJEqNDo,"22,737,929"
2026-08-04,抖音熱歌榜,64,泡沫,G.E.M. 邓紫棋,Xposed,2012-07-05,mGeiABBB5f8,"18,931,876"
2026-08-04,抖音熱歌榜,65,樱花草,Sweety,花言乔语 (精装版),2006-06-23,vYcl7cw8gWo,"11,992,540"
2026-08-04,抖音熱歌榜,66,有何不可,许嵩,自定义,2009-01-10,_2f-7oQIS8M,"6,219,363"
2026-08-04,抖音熱歌榜,67,倒数,G.E.M. 邓紫棋,另一个童话,2018-08-16,ma7r2HGqwXs,"152,987,700"
2026-08-04,抖音熱歌榜,68,妥协,蔡依林,花蝴蝶,2009-03-27,M00rcJ9gMEc,"16,347,339"
2026-08-04,抖音熱歌榜,69,天外来物,薛之谦,天外来物,2020-12-31,fvkKk5ozyeI,"7,859,830"
2026-08-04,抖音熱歌榜,70,Letting Go,蔡健雅,说到爱,2011-11-18,SMXWjumui5s,"20,885,785"
2026-08-04,抖音熱歌榜,71,不将就,李荣浩,有理想,2016-01-22,a9ot-Fa9KHk,"32,647,326"
2026-08-04,抖音熱歌榜,72,美人鱼,林俊杰,第二天堂,2004-06-04,3Nu7C4zU0Vs,"11,858,105"
2026-08-04,抖音熱歌榜,73,第57次取消发送,菲菲公主（陆绮菲）,第57次取消发送,2025-02-10,gHk8MIx6nfY,"17,364,968"
2026-08-04,抖音熱歌榜,74,我记得,赵雷,署前街少年,2022-08-29,VBUmDbpY7zM,"7,295,334"
2026-08-04,抖音熱歌榜,75,一样的月光,徐佳莹,LaLa首张创作专辑,2009-05-29,J28oOfvNVD8,"9,756,294"
2026-08-04,抖音熱歌榜,76,半壶纱,刘珂矣,半壶纱,2016-01-05,krB_XMDeBJo,"4,800,651"
2026-08-04,抖音熱歌榜,77,幻听,许嵩,梦游计,2012-07-11,IdI4JOqlvVU,"3,787,074"
2026-08-04,抖音熱歌榜,78,会呼吸的痛,梁静茹,崇拜,2007-11-09,TY3nj5ANRrk,"11,884,192"
2026-08-04,抖音熱歌榜,79,不遗憾,李荣浩,你的婚礼 电影原声带,2021-05-08,u5ZsoP8FZUQ,"25,214,146"
2026-08-04,抖音熱歌榜,80,认真的雪,薛之谦,薛之谦,2006-06-09,Un8kwjcpKZA,"17,303,588"
2026-08-04,抖音熱歌榜,81,牵丝戏,银临/Aki阿杰,牵丝戏,2015-01-01,C6YobfNjeqc,"13,384,358"
2026-08-04,抖音熱歌榜,82,IF YOU,BIGBANG,MADE SERIES 《D》,2015-07-01,h9hdorPqukU,"84,749,379"
2026-08-04,抖音熱歌榜,83,夏天的风,温岚,温式效应,2004-07-06,Uh3cbLgVXP0,"9,821,665"
2026-08-04,抖音熱歌榜,84,句号,G.E.M. 邓紫棋,摩天动物园,2019-12-27,7XlqcS6B7WA,"66,430,933"
2026-08-04,抖音熱歌榜,85,模特,李荣浩,模特,2013-09-16,dLG4as6BNYo,"5,825,201"
2026-08-04,抖音熱歌榜,86,来不及爱你,h3R3刘清云,来不及爱你,2023-07-30,CtppsmagVVs,"865,867"
2026-08-04,抖音熱歌榜,87,鲜花,回春丹乐队,鲜花,2023-09-30,p8jMPe_9Qek,"4,490,386"
2026-08-04,抖音熱歌榜,88,忘情牛肉面,马健涛,忘情牛肉面,2019-11-09,H2Taq2lxGg8,"2,118,308"
2026-08-04,抖音熱歌榜,89,虚拟,陈粒,小梦大半,2016-07-26,qxjYJVz64LQ,"6,400,094"
2026-08-04,抖音熱歌榜,90,爱情讯息,郭静,下一个天亮,2008-05-09,t7Q-MkGfdHg,"1,566,913"
2026-08-04,抖音熱歌榜,91,勇气,梁静茹,勇气,2000-08-02,0IJGFoG3fII,"16,892,646"
