抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-24,影視金曲榜,1,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,001TBn1W4Wg2QM,華語,7Buj2xUlZo0,"250,442"
2026-09-24,影視金曲榜,2,大梦归,周深,大梦归,2026-09-11,000EPEhY2os1I0,華語,Xb8AQoiofOY,"104,487"
2026-09-24,影視金曲榜,3,此刻,袁娅维TIA RAY,早春晴朗 影视原声带,2026-09-01,002N9Y7U1dHP4I,華語,pPWj5zpyeG8,"388,165"
2026-09-24,影視金曲榜,4,路过晴朗,汪苏泷,早春晴朗 影视原声带,2026-09-01,001Mu0Lw3X3LnQ,華語,2TUe-RESXeE,"323,956"
2026-09-24,影視金曲榜,5,一瓯春,周深,一瓯春 电视剧原声带,2026-09-17,004PnFjE3xo6o1,華語,6fO3NvgKhFw,"57,007"
2026-09-24,影視金曲榜,6,一曲微茫,郁可唯,一曲微茫,2026-09-13,002z3MJG1ogGjx,華語,wpgpEDSCYp4,"83,462"
2026-09-24,影視金曲榜,7,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,000R5lKk0KJBgG,華語,JqR0_IFpdcg,"309,334"
2026-09-24,影視金曲榜,8,过海,王赫野/黄龄,过海,2026-07-16,003DEzAQ3HSB9l,華語,IgjnQV8WJH8,"99,005"
2026-09-24,影視金曲榜,9,同归人,鹭卓,一瓯春 电视剧原声带,2026-09-17,004dKajb486zGA,華語,Pbd6IMkwhco,"5,191"
2026-09-24,影視金曲榜,10,You Should Know,李长庚,早春晴朗 影视原声带,2026-09-01,004b2lxr21ETld,其它,LbV_j9AgQag,"917,038"
2026-09-24,影視金曲榜,11,我们不散,周深,生逢其时 影视原声大碟,2026-09-15,00203KEv0gDIFp,華語,3GrnbLGfCkI,"11,899"
2026-09-24,影視金曲榜,12,终会再见,刘宇宁,交锋 影视剧原声带,2026-09-20,004dvvxf0IdJ74,華語,8kMOH9TJRWo,"67,450"
2026-09-24,影視金曲榜,13,如故,黄龄,如故,2026-09-15,002nWjTY1fxKWu,華語,3M9AQNGDARs,"11,410"
2026-09-24,影視金曲榜,14,同道,李佳薇,同道,2026-09-16,0002L0TO2M50HM,華語,vGW3TVZIUtI,"49,064"
2026-09-24,影視金曲榜,15,我来书写我的名,王铮亮,我来书写我的名,2026-09-17,000I7s312u5O9k,華語,McBRKOj38a4,"20,246"
2026-09-24,影視金曲榜,16,深深的我们,刘惜君,深深的我们,2026-09-14,000otLj02Oo3VX,華語,fKMRTcZOBnI,"25,623"
2026-09-24,影視金曲榜,17,我願意,亿轩_Kingston/彭梓烨_Leo,煙灰Ash 影视原声带,2026-09-22,003GAuZN3pyhCR,華語,QRLZaniSLfU,81
2026-09-24,影視金曲榜,18,恋恋不忘,刘宇,恋恋不忘,2026-09-23,0009bt6G3LvTNk,華語,WVxy6ezV4X4,"10,735"
2026-09-24,影視金曲榜,19,Taboo Love,小田音乐社,罪爱 网剧原声大碟,2026-08-19,00013ZQY3QoJcA,西洋,KYUtHtTuDHA,624
2026-09-24,影視金曲榜,20,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,003zLeSq0V2ECp,華語,uEdEBhcf4Gs,"82,160"
2026-09-24,影視金曲榜,21,我在意的,单依纯,爱情有烟火 影视原声带,2026-07-03,003H0CGe1vL66I,華語,GKHSYBHak4U,"54,805"
2026-09-24,影視金曲榜,22,来我的岛,刘宇宁,来我的岛,2026-08-03,002hAbQf14wVkt,華語,udTSazfAfEo,"99,997"
2026-09-24,影視金曲榜,23,等,小阿七,一瓯春 电视剧原声带,2026-09-17,002fqK9y3uzt5o,華語,KdJA8GDLKHU,"14,555"
2026-09-24,影視金曲榜,24,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,001tFFAR2dWXiI,華語,hgY4ftt3gvk,"70,567"
2026-09-24,影視金曲榜,25,花开满篱院,谭松韵,花开满篱院,2026-09-12,0047Lo9712HRXc,華語,kwmMX3cufL8,"16,458"
2026-09-24,影視金曲榜,26,愿若萤火,曹杨,愿若萤火,2026-09-20,001jAPuy47b8Fk,華語,_o_c4tu02ps,"14,443"
2026-09-24,影視金曲榜,27,落空,未必,早春晴朗 影视原声带,2026-09-01,003SXd5l1Iy2I5,其它,oweVUxiY2nM,"198,316"
2026-09-24,影視金曲榜,28,说分手的人也会难过,曾沛慈,说分手的人也会难过,2026-09-11,002Uk0gv1jzL0Z,華語,uKop94Ta_cg,"84,692"
2026-09-24,影視金曲榜,29,阿亓,檀健次,空枪 电影原声带,2026-09-04,0038HI6z00ZnHS,華語,AnSZOVHHgjc,"2,646"
2026-09-24,影視金曲榜,30,静待清光,许明明,静待清光,2026-09-21,001vwznf0JsDVQ,華語,eBtbIgXmvqU,"17,497"
2026-09-24,影視金曲榜,31,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,000GL9102hzc2Q,華語,xBOmrRTzi9M,"64,387"
2026-09-24,影視金曲榜,32,摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,004LfF9N0Kfg6y,華語,C5aQMjIwjAQ,"20,153"
2026-09-24,影視金曲榜,33,Because It's You,小田音乐社,罪爱 网剧原声大碟,2026-08-19,003Qys6R0ZSvKi,西洋,xB_EzeY2zJo,"3,795"
2026-09-24,影視金曲榜,34,红尘慌慌,周深,百花杀 原声音乐专辑,2026-07-28,003ARFyH2himMe,華語,h3596Dg4HT8,"386,867"
2026-09-24,影視金曲榜,35,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,004UzgJt0YR8kB,華語,0RAqPS4JQyQ,"25,428"
2026-09-24,影視金曲榜,36,Lady Snow,陈婧霏,早春晴朗 影视原声带,2026-09-01,001m38pn3ax6cR,西洋,HadLHjh4Ihw,"209,981"
2026-09-24,影視金曲榜,37,终有一天,胡夏,交锋 影视剧原声带,2026-09-20,003kibKu4OMjv3,華語,FIFl0cMVG3I,"4,095"
2026-09-24,影視金曲榜,38,入画,张紫宁,入画,2026-09-19,001GILHI3dNdQn,華語,rgKgyQj5fIY,"12,704"
2026-09-24,影視金曲榜,39,一诺,刘宇宁,花开锦绣 影视原声带,2026-08-20,003AogSY2WGKrW,華語,JGGL56GMMsM,"228,941"
2026-09-24,影視金曲榜,40,好的,黄子弘凡,好的,2026-08-29,000qw3B41TxC8E,華語,ki8RVe9R8DI,"3,288"
2026-09-24,影視金曲榜,41,耀眼的我们,周深,天才，女友 影视原声带,2026-08-04,002JZCyb4ORwy7,華語,prjFbOzBVWU,"60,717"
2026-09-24,影視金曲榜,42,拯救我,檀健次,蝉 影视原声带,2026-08-22,000Pwpoo0ofOYT,華語,08uejFCB-i4,"23,883"
2026-09-24,影視金曲榜,43,别怕再见,房东的猫,我们的少年时代2 影视原声带,2026-08-16,000lEhur4S7u6c,華語,nGRG5TrwvII,"10,083"
2026-09-24,影視金曲榜,44,倒悬之河,徐均朔/阿YueYue,百花杀 原声音乐专辑,2026-07-28,000UCBPP3n4lyd,華語,xNVtmoES0WQ,"80,977"
2026-09-24,影視金曲榜,45,唯一的例外,阿YueYue,唯一的例外（电影《不想失去你》片尾曲）,2026-08-13,000IOaoy1vsjNx,華語,QISWmlKxJiE,"88,687"
2026-09-24,影視金曲榜,46,花开满篱院,刘学义,花开满篱院,2026-09-22,003e8Tax3XZNb7,華語,4pPKlVL14W4,"64,742"
2026-09-24,影視金曲榜,47,去你的岛,金玟岐,去你的岛,2026-08-09,002VaLNk4QcPPE,華語,6xgkCXq7os8,"3,955"
2026-09-24,影視金曲榜,48,歪门的哲理,未必,早春晴朗 影视原声带,2026-09-01,0019W7pv2gQLiZ,華語,vL45Klq0XiU,"118,754"
2026-09-24,影視金曲榜,49,其实你不懂我的心,钟楚曦,借命而生 电视剧原声带,2026-09-21,002NsyoC1pcuxW,華語,HoO9Jc6VdhU,"40,902"
2026-09-24,影視金曲榜,50,听无声处,周深,九门 影视原声带,2026-08-10,002SAARr0ebrGS,華語,4Csp1xRwxA8,"133,962"
2026-09-24,影視金曲榜,51,炙光,张碧晨/侯明昊,雀骨 影视原声带,2026-07-15,000cuQPZ0n0D1B,華語,83RQld52drA,"390,519"
2026-09-24,影視金曲榜,52,You Are My Light,杨雨青,早春晴朗 影视原声带,2026-09-01,002awvws1qxRWC,西洋,sRg6MdDJBaY,"243,419"
2026-09-24,影視金曲榜,53,这一刻,段奥娟,早春晴朗 影视原声带,2026-09-01,000cqMHq2yoSA2,華語,3YQDSAUSVZY,"78,035"
2026-09-24,影視金曲榜,54,怜心,黄霄雲,雀骨 影视原声带,2026-07-15,002nb6R72hJmXD,華語,YlnxaMhFSR0,"198,868"
2026-09-24,影視金曲榜,55,Work,Ava Max/PAW Patrol,Work (from PAW Patrol: The Dino Movie),2026-07-31,00029PgU1XpqFu,西洋,cJRw7rYOOzA,"1,431,550"
2026-09-24,影視金曲榜,56,少年有种,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,000qY0Y13f4aeF,華語,jWSWPa4G8ts,"24,720"
2026-09-24,影視金曲榜,57,我将于人世外,衣诺,早春晴朗 影视原声带,2026-09-01,000NeFeh1UapRq,華語,nbity3vzb-Q,"51,075"
2026-09-24,影視金曲榜,58,猎,利泽昇_Sing,煙灰Ash 影视原声带,2026-09-22,000gMpin1TUcrg,華語,-,-
2026-09-24,影視金曲榜,59,不退！,马嘉祺,不退！,2026-08-21,003uUj1t3dA4Da,華語,0DcbbJEuLr4,"21,332"
2026-09-24,影視金曲榜,60,千香,周深,千香 影视剧原声音乐专辑,2026-07-15,004Uik3G0sMdUW,華語,o9ulZsWpFwE,"232,828"
2026-09-24,影視金曲榜,61,Tiger in my love,奥利,Tiger in my love,2026-06-26,002x1oFS12S5RS,西洋,vhIfGl5Hr0U,"266,687"
2026-09-24,影視金曲榜,62,知我,刘雨昕,雀骨 影视原声带,2026-07-15,0044ggkk0zpdKI,華語,awKxszb6PL4,"138,567"
2026-09-24,影視金曲榜,63,缠,那英,这一秒过火 影视原声带,2026-07-18,003XAZLD3KzQ2j,華語,_AitteIOuMc,"155,497"
2026-09-24,影視金曲榜,64,游游,房东的猫,天才，女友 影视原声带,2026-08-04,004MEJpm3JXQtT,華語,viama9Sdh78,"53,937"
2026-09-24,影視金曲榜,65,Blind Spot,토모/원식 (WONSIK),검사실의 제안 OST Part.2,2026-06-26,003BfJOA3IRydP,韓語,ETiDRVhexco,"138,808"
2026-09-24,影視金曲榜,66,孤光,张磊,交锋 影视剧原声带,2026-09-20,000ZLkoh0HaCNs,華語,p6ySxeyolt0,"1,561"
2026-09-24,影視金曲榜,67,放晴,胡夏,人鱼 影视原声专辑,2026-08-04,000iBf6o2DZftZ,華語,810vYNE8okU,"1,259"
2026-09-24,影視金曲榜,68,四季,张含韵,生逢其时 影视原声大碟,2026-09-15,000GUahF2F06iP,華語,cs0Y0o5wJuc,870
2026-09-24,影視金曲榜,69,长夜余火,段奥娟,长夜余火,2026-09-09,0028dhhy3NJX8u,華語,ZRgImMhbPoI,"2,344"
2026-09-24,影視金曲榜,70,袖里长风,张远,百花杀 原声音乐专辑,2026-07-28,001c6wAv2VxyRB,華語,Up45ZAjL8_A,"67,992"
2026-09-24,影視金曲榜,71,晴天娃娃,吴青峰,晴天娃娃,2026-08-28,003gLbhW0OJJTA,華語,Y-nc2fmn9ls,"823,145"
2026-09-24,影視金曲榜,72,就停在,段奥娟,交锋 影视剧原声带,2026-09-20,002ZyAcN2dFENX,華語,ziegBI2_Qj4,"1,225"
2026-09-24,影視金曲榜,73,想你了,刘瑞琦,想你了 电影原声专辑,2026-07-24,004IqHlK4Facgl,華語,XFGYYNz7gbw,"1,078"
2026-09-24,影視金曲榜,74,空枪,朱一龙,空枪 电影原声带,2026-09-04,003i1dHm2Ezm3J,華語,oSI7WNE7VHc,"57,922"
2026-09-24,影視金曲榜,75,落下的光,袁娅维TIA RAY,落下的光,2026-08-04,0006A85V3nAUPR,華語,tqgSk5PMXwA,"3,005"
2026-09-24,影視金曲榜,76,无归,李佳薇,花开锦绣 影视原声带,2026-08-20,002gGxra1TDnym,華語,CgJx9C-9xGs,"9,068"
2026-09-24,影視金曲榜,77,因果,段奥娟,雀骨 影视原声带,2026-07-15,0008AHDN3dpHHS,華語,rQYrp9dzCOA,"143,133"
2026-09-24,影視金曲榜,78,一诺成川,侯明昊,雀骨 影视原声带,2026-07-15,002qwkQn1dbywq,華語,L_BElNLdnEE,"187,868"
