抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-23,新歌榜,1,NO Gravity,鹭卓,NO Gravity,2026-08-22,西洋,wHDn-iZ18Fw,38
2026-08-23,新歌榜,2,SPARK TO FIRE 星火成焰,TOP登陆少年组合,SPARK TO FIRE 星火成焰,2026-08-21,華語,Z6v3Qbn2luk,"1,318"
2026-08-23,新歌榜,3,路过晴朗,汪苏泷,路过晴朗,2026-08-21,華語,2TUe-RESXeE,"4,641"
2026-08-23,新歌榜,4,如果还会遇见,何遇Hayu/Crybird,如果还会遇见,2026-07-31,華語,-,-
2026-08-23,新歌榜,5,等,小阿七,等,2026-08-19,華語,Vat4iaFv1os,"4,344"
2026-08-23,新歌榜,6,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,UsbRoaH6y-Q,"7,148,361"
2026-08-23,新歌榜,7,RUN IT,梓渝,梓渝,2026-08-05,華語,ovZ4T3Hv7RQ,"53,765"
2026-08-23,新歌榜,8,不退！,马嘉祺,不退！,2026-08-21,華語,0DcbbJEuLr4,"14,072"
2026-08-23,新歌榜,9,无情的情书,半吨兄弟,无情的情书,2026-08-15,華語,Y8avy-ucFyw,-
2026-08-23,新歌榜,10,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,華語,xBOmrRTzi9M,"15,014"
2026-08-23,新歌榜,11,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,華語,QPcvwly2pVY,"21,834"
2026-08-23,新歌榜,12,山风山风等等我,佳佳,山风山风等等我,2026-08-12,華語,iT588U-GsI0,7
2026-08-23,新歌榜,13,落,刘宇,落 (公子版),2026-08-19,華語,suLx2it-Cl0,"488,541"
2026-08-23,新歌榜,14,只是太爱你（原谅我真的喝醉了）,橘子妹,只是太爱你,2026-08-18,華語,oo3HIuIaLrw,"36,226"
2026-08-23,新歌榜,15,BiiiG,BIGBANG,BiiiG,2026-08-19,韓語,L8ZnXgbyUuc,"9,337,100"
2026-08-23,新歌榜,16,旧记忆,黄子韬/刘宇宁,旧记忆,2026-08-20,華語,VvDUInqyDuQ,"13,861"
2026-08-23,新歌榜,17,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,華語,-iv04Ej2qac,60
2026-08-23,新歌榜,18,晚风告白,黄星/邱鼎杰,晚风知我意,2026-08-19,華語,UN9JDxv2rmU,"2,938"
2026-08-23,新歌榜,19,擦干眼泪爱你,杨友友/烟嗓船长,擦干眼泪爱你 (合唱版),2026-08-10,華語,NiOVOr1m46Q,127
2026-08-23,新歌榜,20,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,華語,uEdEBhcf4Gs,"44,698"
2026-08-23,新歌榜,21,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,韓語,hGqYdubpcCM,"24,764,471"
2026-08-23,新歌榜,22,想你了,TF_ING邓佳鑫,想你了,2026-08-19,華語,-,-
2026-08-23,新歌榜,23,LAVA,单依纯,LAVA,2026-08-22,西洋,PZzQdV0j_F4,"1,913"
2026-08-23,新歌榜,24,贰拾肆,梓渝,梓渝,2026-08-05,華語,zeGLBhDbwt0,"59,315"
2026-08-23,新歌榜,25,KISS N TELL,aespa,KISS N TELL,2026-07-23,韓語,inxzQt78lOk,"10,409,945"
2026-08-23,新歌榜,26,我不该动情,吕口口,我不该动情,2026-08-12,華語,B4hRfZy2ZVg,23
2026-08-23,新歌榜,27,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31,西洋,k7SDstVAD78,"1,807,781"
2026-08-23,新歌榜,28,故香,张艺兴,故香,2026-08-22,華語,EDpcOGXmZ_A,"2,279"
2026-08-23,新歌榜,29,Crossfire,张艺兴,Crossfire,2026-08-14,西洋,3ZbdF6mRmHY,"1,338"
2026-08-23,新歌榜,30,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,西洋,h7ITAdTxdxM,"3,862,079"
2026-08-23,新歌榜,31,如果累了就回故乡,酷酷里/面妹孔佳奇,如果累了就回故乡,2026-08-13,華語,TlIciP4_aMA,107
2026-08-23,新歌榜,32,杀破狼,萧泽,杀破狼,2026-08-13,華語,Dgq9BadXDhw,"23,637"
2026-08-23,新歌榜,33,Animal,KATSEYE,Animal,2026-07-27,西洋,m7k9UMcHbr0,"63,965,744"
2026-08-23,新歌榜,34,我们总是喜欢在夏天讨论永远,时代少年团,我们总是喜欢在夏天讨论永远,2026-08-10,華語,AH2ibOsKgzs,"89,239"
2026-08-23,新歌榜,35,左转灯 (1000 Times+1),派伟俊/mac ova seas,BAD IDEA,2026-07-31,華語,kUZZIBciO6A,"11,817,552"
2026-08-23,新歌榜,36,盛夏,王抱朴,盛夏,2026-08-14,華語,-,-
2026-08-23,新歌榜,37,水为媒,礼越,水为媒,2026-07-24,華語,6fiETnMALLk,"6,989"
2026-08-23,新歌榜,38,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,華語,hgY4ftt3gvk,"50,856"
2026-08-23,新歌榜,39,爱久见人心,赵乃吉,爱久见人心,2026-08-02,華語,1TJ4DXlfcTc,"17,254"
2026-08-23,新歌榜,40,这城市那么空这回忆那么凶,安北辰,这城市那么空这回忆那么凶,2026-08-03,華語,-,-
2026-08-23,新歌榜,41,Setsuna Hanabi,TOMORROW X TOGETHER,Setsuna Hanabi,2026-08-16,日語,Z5pGz8fkaDQ,"939,967"
2026-08-23,新歌榜,42,人一個,陈小春,人一個,2026-08-16,華語,uWFsAAVCnuA,"28,468"
2026-08-23,新歌榜,43,Slowed,Grimmmz/404Hz/叫姐/Pao7oO,我要把所有关于我们的记忆删个遍(破碎氛围版),2026-08-03,西洋,-,-
2026-08-23,新歌榜,44,我会好好的,烟嗓船长,我会好好的(深情男版),2026-08-15,華語,-,-
2026-08-23,新歌榜,45,WET,J.Y. Park,WET,2026-07-23,西洋,dMf6YlGsv0U,"2,351,315"
2026-08-23,新歌榜,46,静音恋人 (两颗缠绕的心),邹沛沛,静音恋人,2026-08-12,華語,-Hl1gke4U48,"1,566"
2026-08-23,新歌榜,47,山风山风等等我,吕口口,山风山风等等我,2026-08-06,華語,NCKRAlzlH7M,29
2026-08-23,新歌榜,48,谎言,卓沅,谎言,2026-08-19,華語,gCCLu84CwMw,828
2026-08-23,新歌榜,49,追光,周宣绮,追光,2026-08-11,華語,XQcjAxGJH5Q,6
2026-08-23,新歌榜,50,神山GUOFENG,FOX胡天渝,Oriental Esthetics神降,2026-08-03,華語,tzU-MvVXpoA,130
2026-08-23,新歌榜,51,莫忙,乡野低频,莫忙,2026-08-13,華語,-,-
2026-08-23,新歌榜,52,这最后一次的分离（发了疯的想你）,橘子妹,梦里梦外都是你,2026-08-12,華語,-,-
2026-08-23,新歌榜,53,当爱在靠近,张茜（张惜淇）,当爱在靠近,2026-08-15,華語,-,-
2026-08-23,新歌榜,54,唯我论者的独白,马嘉祺,唯我论者的独白,2026-07-27,華語,1x0vBteO4jc,"42,880"
2026-08-23,新歌榜,55,游向陆地的鱼,梓渝,梓渝,2026-08-05,華語,R-FdIwzlC_s,"54,276"
2026-08-23,新歌榜,56,神女令,Accco小爱,神女令,2026-08-20,華語,ACAQgjcUB9M,"1,685"
2026-08-23,新歌榜,57,尘外客,鸣潮先约电台/蔡明希-不才/宫阁,尘外客,2026-08-20,華語,D_HZr14hKXY,49
2026-08-23,新歌榜,58,也许你就在对岸,张杰,也许你就在对岸,2026-07-30,華語,YPy4E04LErU,"11,643"
2026-08-23,新歌榜,59,ICONIC HEART,Hearts2Hearts,ICONIC HEART,2026-08-09,西洋,chl0R8C4NJ8,"5,250,475"
2026-08-23,新歌榜,60,大约在冬季,赵乃吉,大约在冬季,2026-08-20,華語,OcE3Vqu90HM,428
2026-08-23,新歌榜,61,Shining,NAVE/赵粤,Shining,2026-08-20,華語,-,-
2026-08-23,新歌榜,62,异常加载中,TF家族/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,异常加载中,2026-08-02,華語,1265qQnOhfo,"20,626"
2026-08-23,新歌榜,63,天之外,薛凯琪,Every Piece of Me,2026-08-11,華語,w1pzJ7jJREg,"1,426"
2026-08-23,新歌榜,64,清风微微,曾舜晞,清风微微,2026-07-24,華語,HCv4EH5plpA,"34,144"
2026-08-23,新歌榜,65,至少相拥没错,MC 张天赋,至少相拥没错,2026-08-19,華語,NhB88CcMGcM,"54,479"
2026-08-23,新歌榜,66,一吻 (Poison Kiss),曾舜晞,一吻 (Poison Kiss),2026-08-15,華語,p-0J0-skPXI,"4,669"
2026-08-23,新歌榜,67,洞房,张云雷,洞房,2026-08-19,華語,W5fjQCOvuR0,"6,609"
2026-08-23,新歌榜,68,秋叶飞过的天,卢润泽,秋叶飞过的天,2026-08-13,華語,vUql6Q6xWBs,77
2026-08-23,新歌榜,69,红颜旧,晚月moon,红颜旧(氛围版),2026-07-29,華語,-,-
2026-08-23,新歌榜,70,Every Time We Touth,Waifu Shop/Pao7oO/Ameriie,Lost Control (高燃进行曲),2026-08-06,西洋,-,-
2026-08-23,新歌榜,71,其实雨也没多大,弹棉花的小花,其实雨也没多大,2026-07-28,華語,aBdb7ifAAuo,410
2026-08-23,新歌榜,72,Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,Think About It,2026-08-07,華語,p-LnAnYPo4I,"22,322"
2026-08-23,新歌榜,73,我把思念说给风,戎大姨,我把思念说给风(深情版),2026-07-27,華語,AfHLALXRBHo,"2,072"
2026-08-23,新歌榜,74,山风不语,正在进行石女士,山风不语,2026-08-18,華語,-,-
2026-08-23,新歌榜,75,为你我受冷风吹,羊羊,为你我受冷风吹,2026-08-05,華語,-,-
2026-08-23,新歌榜,76,拯救我,檀健次,蝉 影视原声带,2026-08-22,華語,yW_tdielcpc,"7,390"
2026-08-23,新歌榜,77,桥边姑娘,轻烟大叔,桥边姑娘,2026-07-28,華語,-,-
2026-08-23,新歌榜,78,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,0RAqPS4JQyQ,"4,835"
2026-08-23,新歌榜,79,如约,周深,如约,2026-07-26,華語,CU60L5ck_Vo,"212,222"
2026-08-23,新歌榜,80,想你的话我再没有说,戎大姨,想你的话我再没有说,2026-07-28,華語,I2d738HRBr4,"3,901"
2026-08-23,新歌榜,81,All Soul Peace,Vnriet/DarK Haye,One Thou Calm (Slap House),2026-07-27,西洋,-,-
2026-08-23,新歌榜,82,禾和何,何浩楠,禾和何,2026-08-19,華語,n2IJN5PmClc,38
2026-08-23,新歌榜,83,竞速游戏,TOP登陆少年组合,竞速游戏,2026-07-25,華語,H7SSEIodiE4,"28,094"
2026-08-23,新歌榜,84,一生能有多少个秋天,刘书云,一生能有多少个秋天,2026-08-07,華語,xm6LpbzFJEs,414
2026-08-23,新歌榜,85,摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,C5aQMjIwjAQ,"4,308"
2026-08-23,新歌榜,86,眸cc,徐靖雯/海绵先生,眸cc,2026-08-10,華語,-,-
2026-08-23,新歌榜,87,吹吹山顶的风,杨小壮,吹吹山顶的风,2026-08-05,華語,relM8XBrdpM,"3,483"
2026-08-23,新歌榜,88,无名氏,张真源,无名氏,2026-08-04,華語,6lRRgMEqb2g,"50,463"
2026-08-23,新歌榜,89,请在我坠落前到来,TF家族/TF家族-官俊臣/TF家族-王烁然/TF家族-杨涵博/TF家族-张奕然/TF家族-聂玮辰/TF家族-魏子宸/TF家族-李煜东,请在我坠落前到来,2026-08-19,華語,ggVO2Ydibus,750
2026-08-23,新歌榜,90,孤独的葡萄酒,卢润泽,孤独的葡萄酒,2026-08-11,華語,-,-
2026-08-23,新歌榜,91,SWEET SOUR,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,NBIu5QpD3X8,"327,577"
2026-08-23,新歌榜,92,你爱我像谁,橘子妹,你爱我像谁,2026-08-06,華語,-,-
2026-08-23,新歌榜,93,讨厌情歌,张艺兴,斗战胜佛,2026-07-03,華語,Lxw5wGrpcYU,"38,267"
2026-08-23,新歌榜,94,知了,陈默之,知了,2024-04-10,華語,thsEf4yOxv0,"156,223"
2026-08-23,新歌榜,95,祈神怜,一颗狼星,祈神怜,2026-08-11,華語,e8cQnoIUSX4,"2,014"
2026-08-23,新歌榜,96,一路上有你,轻烟大叔,一路上有你,2026-08-17,華語,-,-
2026-08-23,新歌榜,97,踏马寻花向自由,轻烟大叔,踏马寻花向自由,2026-08-04,華語,-,-
2026-08-23,新歌榜,98,灯灭故人归,加木措,灯灭故人归,2026-08-03,華語,gax5rhLf3hE,522
2026-08-23,新歌榜,99,Many Lonely Days - Sped,MIKS,Many Lonely Days,2026-07-27,西洋,-,-
2026-08-23,新歌榜,100,petal,Ariana Grande,petal (Explicit),2026-07-31,西洋,afSgBNwmZrQ,"26,284,631"
