抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-23,綜藝新歌榜,1,喜欢你,周深,国乐无双 第12期,2026-08-15,華語,hTYqbBnRyqs,"90,913"
2026-08-23,綜藝新歌榜,2,给我一个理由忘记,丁当/侯明昊,天赐的声音第七季 第10期,2026-08-14,華語,GAdH8VaNkk4,"309,654"
2026-08-23,綜藝新歌榜,3,一半一半,宋亚轩,国乐无双 第12期,2026-08-15,華語,q8NYT7blIAM,"66,319"
2026-08-23,綜藝新歌榜,4,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,華語,zlAjS20q9pE,"1,335,612"
2026-08-23,綜藝新歌榜,5,梦哑,杨丞琳/黄子弘凡,天赐的声音第七季 第10期,2026-08-14,華語,dVg0j-feBo4,"33,400"
2026-08-23,綜藝新歌榜,6,花田错,万妮达Vinida Weng/吴碧霞,歌手2026 第12期,2026-08-08,華語,Hnij47XWTeo,"53,653"
2026-08-23,綜藝新歌榜,7,我们的纪念,杨丞琳/侯明昊,天赐的声音第七季 第9期,2026-08-07,華語,qkKFbP0ZMLU,"348,177"
2026-08-23,綜藝新歌榜,8,天后,付辛博/姜潮,天赐的声音第七季 第10期,2026-08-14,華語,eS60B20HFP4,"79,562"
2026-08-23,綜藝新歌榜,9,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,華語,QPcvwly2pVY,"21,834"
2026-08-23,綜藝新歌榜,10,答案,王铮亮/黄霄雲,天赐的声音第七季 第9期,2026-08-07,華語,htjPa9QhaY8,"124,831"
2026-08-23,綜藝新歌榜,11,没关系,周深,国乐无双 第12期,2026-08-15,華語,yD33NP5Zj_Y,"104,544"
2026-08-23,綜藝新歌榜,12,交个朋友,弹壳,说唱巅峰对决2026 第7期,2026-08-08,華語,KdiYwBvQVnY,"166,081"
2026-08-23,綜藝新歌榜,13,指纹,杨坤/高睿,天赐的声音第七季 第10期,2026-08-14,華語,2CihEcH9SfI,"14,059"
2026-08-23,綜藝新歌榜,14,再见,万妮达Vinida Weng,歌手2026 第12期,2026-08-08,華語,q-IowIzrMLY,"75,328"
2026-08-23,綜藝新歌榜,15,相思,齐豫/毛阿敏,歌手2026 第12期,2026-08-08,華語,ERUH2ClGmpg,"436,939"
2026-08-23,綜藝新歌榜,16,被驯服的象,窦靖童/欧阳娜娜,歌手2026 第12期,2026-08-08,華語,m1DRtCeQHAc,"60,805"
2026-08-23,綜藝新歌榜,17,空白格,黄晓明/刘雨昕,天赐的声音第七季 第10期,2026-08-14,華語,1kQeXfJQVkQ,"25,476"
2026-08-23,綜藝新歌榜,18,呼吸决定,姚晓棠/张星特,天赐的声音第七季 第10期,2026-08-14,華語,lHPWRpJPBQ8,"42,999"
