抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-19,綜藝新歌榜,1,花田错,万妮达Vinida Weng/吴碧霞,歌手2026 第12期,2026-08-08,Hnij47XWTeo,"48,560",華語
2026-08-19,綜藝新歌榜,2,我们的纪念,杨丞琳/侯明昊,天赐的声音第七季 第9期,2026-08-07,qkKFbP0ZMLU,"291,996",華語
2026-08-19,綜藝新歌榜,3,答案,王铮亮/黄霄雲,天赐的声音第七季 第9期,2026-08-07,htjPa9QhaY8,"112,975",華語
2026-08-19,綜藝新歌榜,4,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,zlAjS20q9pE,"1,218,502",華語
2026-08-19,綜藝新歌榜,5,交个朋友,弹壳,说唱巅峰对决2026 第7期,2026-08-08,KdiYwBvQVnY,"145,549",華語
2026-08-19,綜藝新歌榜,6,再见,万妮达Vinida Weng,歌手2026 第12期,2026-08-08,q-IowIzrMLY,"67,833",華語
2026-08-19,綜藝新歌榜,7,相思,齐豫/毛阿敏,歌手2026 第12期,2026-08-08,ERUH2ClGmpg,"436,626",華語
2026-08-19,綜藝新歌榜,8,锈,黄霄雲/TF_ING张子墨,天赐的声音第七季 第8期,2026-07-31,PCbm4Vt6Dh4,"231,301",華語
2026-08-19,綜藝新歌榜,9,被驯服的象,窦靖童/欧阳娜娜,歌手2026 第12期,2026-08-08,m1DRtCeQHAc,"55,148",華語
2026-08-19,綜藝新歌榜,10,无所求必满载而归,张远,歌手2026 第12期,2026-08-08,ucurpb94Xc8,"11,629",華語
2026-08-19,綜藝新歌榜,11,娱乐天空,宋亚轩,国乐无双 第11期,2026-08-08,vFvH7kQiFyA,"10,102",華語
2026-08-19,綜藝新歌榜,12,The Gentlemen (绅士们),弹壳/Vinz-T,说唱巅峰对决2026 第6期,2026-08-01,fUxHPVv5dmw,"349,166",華語
2026-08-19,綜藝新歌榜,13,野草,金志文,国乐无双 第10期,2026-08-01,Fa2ZJ7u4Zrk,"17,653",華語
2026-08-19,綜藝新歌榜,14,笼,吉克隽逸/黄子弘凡,天赐的声音第七季 第9期,2026-08-07,aVpfFCgKdNw,"59,819",華語
2026-08-19,綜藝新歌榜,15,遗失的心跳,周笔畅/喻言,天赐的声音第七季 第9期,2026-08-07,ZZudhk8lcC4,"19,884",華語
2026-08-19,綜藝新歌榜,16,欢喜就好,杨宗纬/岳云鹏,天赐的声音第七季 第9期,2026-08-07,xFylv8r_KPI,"173,209",華語
2026-08-19,綜藝新歌榜,17,开始懂了,陈小春,国乐无双 第10期,2026-08-01,p20EtodL7Ug,"237,102",華語
2026-08-19,綜藝新歌榜,18,一点一滴,张信哲/黄子弘凡,天赐的声音第七季 第8期,2026-07-31,4DGi4BD5ccc,"49,363",華語
2026-08-19,綜藝新歌榜,19,trust me,姚晓棠/Top Barry,天赐的声音第七季 第8期,2026-07-31,aE9h04yMqBw,"167,455",華語
2026-08-19,綜藝新歌榜,20,别怕我伤心,张远,歌手2026 第11期,2026-08-01,CenC5jcnvjs,"446,444",華語
2026-08-19,綜藝新歌榜,21,野心家,杨丞琳/黄霄雲,天赐的声音第七季 第7期,2026-07-24,MJZc-Dg5WeQ,"1,670,992",華語
2026-08-19,綜藝新歌榜,22,小半,王铮亮/谭松韵,天赐的声音第七季 第2期,2026-06-19,AJSvQ8HOzGY,"1,024,940",華語
2026-08-19,綜藝新歌榜,23,第三人称,杨丞琳/王栎鑫,天赐的声音第七季 第8期,2026-07-31,RJaoLKOzn0o,"53,051",華語
2026-08-19,綜藝新歌榜,24,迷人的危险,Ghost (王琳凯)/姚晓棠,音你而来3 第9期,2026-06-05,K5t-1v-IZ9k,"643,640",華語
2026-08-19,綜藝新歌榜,25,猜不透,赵磊/张予曦,天赐的声音第七季 第9期,2026-08-07,xEJ9ZqMVUhg,"36,265",華語
