抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-18,新歌榜,55,异常加载中,TF家族/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,异常加载中,2026-08-02,1265qQnOhfo,"18,577",華語
2026-08-18,新歌榜,56,如约,周深,如约,2026-07-26,CU60L5ck_Vo,"211,625",華語
2026-08-18,新歌榜,57,每个人,周深,每个人 (舒楠监制 官方正式版),2026-08-07,hMRKkipmWT0,"86,231",華語
2026-08-18,新歌榜,58,花落花,陈少熙,花落花,2026-07-29,SKP9steiOM4,"2,816",華語
2026-08-18,新歌榜,59,petal,Ariana Grande,petal (Explicit),2026-07-31,afSgBNwmZrQ,"24,788,491",西洋
2026-08-18,新歌榜,60,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,0RAqPS4JQyQ,972,華語
2026-08-18,新歌榜,61,你我他,en (王翊恩),你我他,2026-07-31,GzkHT-k-Ors,"575,607",華語
2026-08-18,新歌榜,62,一吻 (Poison Kiss),曾舜晞,一吻 (Poison Kiss),2026-08-15,p-0J0-skPXI,"4,669",華語
2026-08-18,新歌榜,63,DON'T STOP,刘耀文,DON'T STOP,2026-08-05,BVRouFkXMY4,"1,309",華語
2026-08-18,新歌榜,64,Silence,TOMORROW X TOGETHER,Setsuna Hanabi,2026-08-16,TqWNFVAEmwU,"426,151",日語
2026-08-18,新歌榜,65,失忆,正在进行石女士,失忆（温柔版）,2026-08-04,yJyDLVR2XrE,862,華語
2026-08-18,新歌榜,66,山风山风等等我,鱼精,山风山风等等我,2026-07-22,_03_7Vi9xOQ,127,華語
2026-08-18,新歌榜,67,爱到最后全凭良善,半吨兄弟,爱到最后全凭良善,2026-08-14,jdJuv3oYIHM,404,華語
2026-08-18,新歌榜,68,唯一的例外,阿YueYue,唯一的例外（电影《不想失去你》片尾曲）,2026-08-13,QISWmlKxJiE,"41,517",華語
2026-08-18,新歌榜,69,FLIRTY,다영 (DAYOUNG)/朴宰范,FLIRTY,2026-08-04,M0v-AeoIsTU,"1,255,863",韓語
2026-08-18,新歌榜,70,你爱我像谁,橘子妹,你爱我像谁,2026-08-06,-,-,華語
2026-08-18,新歌榜,71,人一個,陈小春,人一個,2026-08-16,uWFsAAVCnuA,"18,811",華語
2026-08-18,新歌榜,72,爱旧爱（怪我曾爱你爱的太深）,恩几,爱旧爱（怪我曾爱你爱的太深）,2026-07-23,r01wQDvnNng,"2,572",華語
2026-08-18,新歌榜,73,想你的话我再没有说,戎大姨,想你的话我再没有说,2026-07-28,I2d738HRBr4,"2,760",華語
2026-08-18,新歌榜,74,这城市那么空这回忆那么凶,安北辰,这城市那么空这回忆那么凶,2026-08-03,-,-,華語
2026-08-18,新歌榜,75,来我的岛,刘宇宁,来我的岛,2026-08-03,udTSazfAfEo,"57,991",華語
2026-08-18,新歌榜,76,一生能有多少个秋天,一叶儿知秋,一生能有多少个秋天,2026-08-03,7nb13wYSo0w,"9,855",華語
2026-08-18,新歌榜,77,oh well,Ariana Grande,petal (Explicit),2026-07-31,_lKbPBS5HEQ,"2,046,290",西洋
2026-08-18,新歌榜,78,Boom Boom Boom,BOYNEXTDOOR,Boom Boom Boom,2026-08-17,ntLoF0LnAwY,"757,845",韓語
2026-08-18,新歌榜,79,「最好的地方Ⅱ」演唱会主题曲,王力宏,「最好的地方Ⅱ」演唱会主题曲,2026-08-13,jZPYBo2_pv8,"1,715",華語
2026-08-18,新歌榜,80,爱你太多,刘一手,爱你太多,2026-07-29,3XnCatRiT4o,574,華語
