抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-31,抖音熱歌榜,47,其实,薛之谦,意外,2013-11-11,華語,YT3HI5hyMi4,"7,383,308"
2026-08-31,抖音熱歌榜,48,天外来物,薛之谦,天外来物,2020-12-31,華語,fvkKk5ozyeI,"8,096,190"
2026-08-31,抖音熱歌榜,49,樱花草,Sweety,花言乔语 (精装版),2006-06-23,華語,vYcl7cw8gWo,"12,104,189"
2026-08-31,抖音熱歌榜,50,我们的歌,王力宏,改变自己,2007-07-13,華語,FpPDwP0NWnw,"7,493,141"
2026-08-31,抖音熱歌榜,51,天龙八部之宿敌,许嵩,天龙八部之宿敌,2011-09-21,華語,M2ilhSW3aoQ,"865,644"
2026-08-31,抖音熱歌榜,52,遇见,孙燕姿,The Moment,2003-08-22,華語,zgmnU8BxE2c,"21,950,938"
2026-08-31,抖音熱歌榜,53,十年,陈奕迅,黑白灰,2003-04-15,華語,tjr3SrCg3pc,"13,565,945"
2026-08-31,抖音熱歌榜,54,恶作剧,王蓝茵,恶作剧之吻 电视剧原声带,2005-10-14,華語,VaSjWclJKGE,"22,797,620"
2026-08-31,抖音熱歌榜,55,后会无期,徐良/汪苏泷,不良少年,2011-12-26,華語,iKrMvFYaFzg,"6,588,995"
2026-08-31,抖音熱歌榜,56,离开我的依赖,王艳薇,离开我的依赖,2020-02-17,華語,RFNRzN3jDmk,"33,044,377"
2026-08-31,抖音熱歌榜,57,差一步,大壮,差一步,2017-11-11,華語,lA7-x-TlGjM,"5,965,403"
2026-08-31,抖音熱歌榜,58,奢香夫人,凤凰传奇,最炫民族风,2009-06-02,華語,i6W3qRIH1kc,"2,653,103"
2026-08-31,抖音熱歌榜,59,亲爱的你啊,任素汐,亲爱的你啊,2025-04-24,華語,VnQWBaJJcq0,"4,148,885"
2026-08-31,抖音熱歌榜,60,虚拟,陈粒,小梦大半,2016-07-26,華語,qxjYJVz64LQ,"6,571,344"
2026-08-31,抖音熱歌榜,61,勋章,鹿晗,勋章,2015-10-14,華語,OF5WnhcZnFU,"3,758,872"
2026-08-31,抖音熱歌榜,62,空心,光泽,光泽,2017-01-05,華語,PXnhdl_URro,"19,660,079"
2026-08-31,抖音熱歌榜,63,黄昏,周传雄,Transfer,2000-12-25,華語,6ca_YHZvzls,"75,888,661"
2026-08-31,抖音熱歌榜,64,牵丝戏,银临/Aki阿杰,牵丝戏,2015-01-01,華語,C6YobfNjeqc,"13,393,156"
2026-08-31,抖音熱歌榜,65,倒数,G.E.M. 邓紫棋,另一个童话,2018-08-16,華語,ma7r2HGqwXs,"153,370,683"
2026-08-31,抖音熱歌榜,66,认真的雪,薛之谦,薛之谦,2006-06-09,華語,Un8kwjcpKZA,"17,339,446"
2026-08-31,抖音熱歌榜,67,有何不可,许嵩,自定义,2009-01-10,華語,_2f-7oQIS8M,"6,273,748"
2026-08-31,抖音熱歌榜,68,海阔天空,BEYOND,乐与怒,1993-05-14,華語,qu_FSptjRic,"179,544,241"
