抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-31,新歌榜,1,我要幽默,李宇春,我要幽默,2026-08-28,華語,tJm_TeOY8LA,191
2026-08-31,新歌榜,2,Hope to Remain,严浩翔,Scary Movie Ⅱ: Same Face,2026-08-24,西洋,R1FhekboG9I,"4,805"
2026-08-31,新歌榜,3,请勿打扰,喻言,请勿打扰,2026-08-22,華語,B7DKa-nJxxo,890
2026-08-31,新歌榜,4,莎啦啦,孙颖莎/JKZQ,莎啦啦,2026-08-26,華語,-,-
2026-08-31,新歌榜,5,傻女,王栎鑫,傻女,2026-08-26,華語,8eZl7NVFxlo,317
2026-08-31,新歌榜,6,唯有追赶风的方向 (Only By Chasing the Wind),知更鸟/HOYO-MiX/Chevy,崩坏星穹铁道-唯有追赶风的方向 Only By Chasing the Wind,2026-08-26,西洋,mFaxZdS6nYo,"13,248"
2026-08-31,新歌榜,7,TOP的第一首抒情歌,TOP登陆少年组合,TOP的第一首抒情歌,2026-08-29,華語,wb-B681nqNM,"2,297"
2026-08-31,新歌榜,8,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,西洋,46h0LvDHgIs,"11,262,199"
2026-08-31,新歌榜,9,思念漫过海岸线,欢子,思念漫过海岸线,2026-08-28,華語,SMmvLT8pnnA,256
2026-08-31,新歌榜,10,没有你是漫长雨季,梓渝,梓渝,2026-08-05,華語,upblmi2XwGs,"7,879"
2026-08-31,新歌榜,11,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,UsbRoaH6y-Q,"8,061,709"
2026-08-31,新歌榜,12,MONEYMONEYMONEY,CORTIS,GREENGREEN_playextended,2026-08-23,西洋,OhdvNHmJDsw,"3,894,142"
2026-08-31,新歌榜,13,好的,黄子弘凡,好的,2026-08-29,華語,et9NUVxD5nU,"219,974"
2026-08-31,新歌榜,14,我要你回来 (I wish you come back),TOP登陆少年组合,我要你回来 (I wish you come back),2026-08-28,華語,Pno0eV_qTlI,"5,623"
2026-08-31,新歌榜,15,莫忙,乡野低频,莫忙,2026-08-13,華語,xgQMemPpnmI,"15,028"
2026-08-31,新歌榜,16,此间是少年,梓渝,梓渝,2026-08-05,華語,0_ld2Btgweo,"3,182"
2026-08-31,新歌榜,17,路过晴朗,汪苏泷,路过晴朗,2026-08-21,華語,2TUe-RESXeE,"55,167"
2026-08-31,新歌榜,18,猜不透,张予曦,猜不透,2026-08-26,華語,xEJ9ZqMVUhg,"56,914"
2026-08-31,新歌榜,19,GRLS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,西洋,pHciG9_2xXM,"7,819,377"
2026-08-31,新歌榜,20,PACK IT UP,CORTIS,GREENGREEN_playextended,2026-08-23,西洋,Eg4-vCHc7eQ,"1,264,859"
2026-08-31,新歌榜,21,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,韓語,hGqYdubpcCM,"25,784,335"
2026-08-31,新歌榜,22,擦干眼泪爱你,杨友友/烟嗓船长,擦干眼泪爱你 (合唱版),2026-08-10,華語,NiOVOr1m46Q,139
2026-08-31,新歌榜,23,情网,半吨兄弟,情网（烟嗓版）,2026-08-25,華語,7BtnY-VDMD0,"2,450"
2026-08-31,新歌榜,24,她,刘宇宁,她,2026-08-25,華語,7Buj2xUlZo0,"25,851"
2026-08-31,新歌榜,25,时间漫步,梓渝,梓渝,2026-08-05,華語,8iqJ7dGVW50,"5,512"
2026-08-31,新歌榜,26,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,華語,QPcvwly2pVY,"33,102"
2026-08-31,新歌榜,27,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,華語,-iv04Ej2qac,100
2026-08-31,新歌榜,28,仿佛又在那天醒来,黄星,仿佛又在那天醒来,2026-08-25,華語,8uqJNE9GUPg,"8,497"
2026-08-31,新歌榜,29,RUN IT,梓渝,梓渝,2026-08-05,華語,ovZ4T3Hv7RQ,"79,860"
2026-08-31,新歌榜,30,你不该权衡利弊,李婷雪,你不该权衡利弊,2026-08-17,華語,7IlEG5xPHrQ,"34,228"
2026-08-31,新歌榜,31,山风山风等等我,李晓杰,山风山风等等我,2026-08-18,華語,vNJGaooWa0s,449
2026-08-31,新歌榜,32,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,西洋,h7ITAdTxdxM,"4,308,440"
