抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期
2026-07-31,新歌榜,70,Pretty Girl,RESCENE (리센느),Pretty Girl - Special Single,2026-07-08
2026-07-31,新歌榜,71,纸短情长,橘子妹,纸短情长,2026-07-01
2026-07-31,新歌榜,72,Round We Go (慢慢向前),七元,Round We Go (慢慢向前),2026-07-02
2026-07-31,新歌榜,73,十万片,郭郡BiSang_NX,十万片,2026-07-21
2026-07-31,新歌榜,74,回头太难,半根萝卜,回头太难 (港风女版),2026-07-13
2026-07-31,新歌榜,75,你的眼神,周深深,你的眼神,2026-07-04
2026-07-31,新歌榜,76,一见如故,许嵩,安泊猜想,2026-06-16
2026-07-31,新歌榜,77,窒息 (那天我哭到窒息),何洁,窒息 (那天我哭到窒息),2026-07-25
2026-07-31,新歌榜,78,不是我不小心,周深深,不是我不小心（氛围版）,2026-07-11
2026-07-31,新歌榜,79,Copines（贝林厄姆进行曲）,Grimmmz/Rush Surge,Submerge（带感慢摇版）,2026-07-18
2026-07-31,新歌榜,80,见山,水木年华,见山,2026-07-16
2026-07-31,新歌榜,81,如期,王俊凯,WJK,2026-07-08
2026-07-31,新歌榜,82,全世界陪我出发,TF家族/TF家族-官俊臣/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-王烁然/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-杨涵博/TF家族-张奕然/TF家族-聂玮辰/TF家族-陈思罕/TF家族-魏子宸/TF家族-李煜东/TF家族-陈浚铭,全世界陪我出发,2026-07-06
2026-07-31,新歌榜,83,也许在下雨天（眼泪才不被看见）,向思思,也许在下雨天,2026-07-02
2026-07-31,新歌榜,84,Metal Flower,R.E.D,Metal Flower,2026-07-11
2026-07-31,新歌榜,85,夏天的味道,陆虎,夏天的味道（深蓝色情书版）,2026-07-10
2026-07-31,新歌榜,86,Cold Blooded,严浩翔,Cold Blooded,2026-07-20
2026-07-31,新歌榜,87,可惜我是水瓶座,励志豪,可惜我是水瓶座（R&B版）,2026-07-16
2026-07-31,新歌榜,88,看山,方大树/灯叔,看山,2026-07-02
2026-07-31,新歌榜,89,爱上你我很快乐,洋澜一,爱上你我很快乐,2026-07-16
2026-07-31,新歌榜,90,破晓,王俊凯,WJK,2026-07-08
2026-07-31,新歌榜,91,Sei tu (是你),Camellia/Ellis Vibe,Nentori,2026-07-02
2026-07-31,新歌榜,92,DADADA×担担担,王心凌,DADADA×担担担,2026-07-24
2026-07-31,新歌榜,93,无声潮汐,王俊凯,WJK,2026-07-08
2026-07-31,新歌榜,94,You,Appleby,You,2026-07-08
2026-07-31,新歌榜,95,Stay,王俊凯,WJK,2026-07-08
2026-07-31,新歌榜,96,我怀念的,云汐,我怀念的,2026-07-15
2026-07-31,新歌榜,97,我在等一个人,郑鱼,我在等一个人,2026-07-13
2026-07-31,新歌榜,98,Take my heart,卢润泽,Take my heart（氛围版）,2026-06-29
2026-07-31,新歌榜,99,我不该动情,任夏,我不该动情,2026-06-30
2026-07-31,新歌榜,100,岛屿,棱镜乐队,石头想有糖的温度,2020-08-25
