抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-17,新歌榜,1,贰拾肆,梓渝,梓渝,2026-08-05,zeGLBhDbwt0,"40,014"
2026-08-17,新歌榜,2,山风山风等等我,万海东,山风山风等等我,2026-07-20,dvphcY1G6Ng,"9,830"
2026-08-17,新歌榜,3,最完美的存在,刘芯妤Roselyn,最完美的存在,2026-08-07,-4a45QUT-J0,"89,771"
2026-08-17,新歌榜,4,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,UsbRoaH6y-Q,"3,807,297"
2026-08-17,新歌榜,5,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,-,-
2026-08-17,新歌榜,6,神山GUOFENG,FOX胡天渝,Oriental Esthetics神降,2026-08-03,tzU-MvVXpoA,107
2026-08-17,新歌榜,7,取愿,李星星,《财神窦占龙》 动画原声带,2026-08-11,bLOYvcyVtyw,108
2026-08-17,新歌榜,8,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,hGqYdubpcCM,"23,911,011"
2026-08-17,新歌榜,9,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,JqR0_IFpdcg,"129,725"
2026-08-17,新歌榜,10,我们总是喜欢在夏天讨论永远,时代少年团,我们总是喜欢在夏天讨论永远,2026-08-10,AH2ibOsKgzs,"76,097"
2026-08-17,新歌榜,11,摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,-,-
2026-08-17,新歌榜,12,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,uEdEBhcf4Gs,"35,254"
2026-08-17,新歌榜,13,只要你在身边,沈梦瑶/喵战队,无界,2026-05-02,8BrDe0-FDVo,12
2026-08-17,新歌榜,14,媚人,薛之谦,媚人,2026-07-17,cxm8b1gOeqk,"241,419"
2026-08-17,新歌榜,15,KISS N TELL,aespa,KISS N TELL,2026-07-23,inxzQt78lOk,"8,935,584"
2026-08-17,新歌榜,16,STRANGE,刘雨昕,STRANGE,2026-08-05,J88kOcG7hmc,"1,467"
2026-08-17,新歌榜,17,Crossfire,张艺兴,Crossfire,2026-08-14,Crossfire,675
2026-08-17,新歌榜,18,花落花,陈少熙,花落花,2026-07-29,SKP9steiOM4,"2,512"
2026-08-17,新歌榜,19,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,hgY4ftt3gvk,"8,480"
2026-08-17,新歌榜,20,游向陆地的鱼,梓渝,梓渝,2026-08-05,R-FdIwzlC_s,"46,909"
2026-08-17,新歌榜,21,杀破狼,萧泽,杀破狼,2026-08-13,Dgq9BadXDhw,"6,232"
2026-08-17,新歌榜,22,爱久见人心,赵乃吉,爱久见人心,2026-08-02,1TJ4DXlfcTc,"11,098"
2026-08-17,新歌榜,23,讨厌情歌,张艺兴,斗战胜佛,2026-07-03,Lxw5wGrpcYU,"34,175"
2026-08-17,新歌榜,24,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,-,-
2026-08-17,新歌榜,25,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31,k7SDstVAD78,"1,610,722"
2026-08-17,新歌榜,26,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,h7ITAdTxdxM,"3,500,204"
2026-08-17,新歌榜,27,擦干眼泪爱你,杨友友/烟嗓船长,擦干眼泪爱你 (合唱版),2026-08-10,NiOVOr1m46Q,71
2026-08-17,新歌榜,28,回到小村落 (听着蛐蛐唱着歌),宋盐球,回到小村落（听着蛐蛐唱着歌）,2026-07-21,swObZJl0D-Y,"6,510"
2026-08-17,新歌榜,29,山风山风等等我,七喜,山风山风等等我,2026-07-31,xPaUYFhp_3w,141
2026-08-17,新歌榜,30,Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,Think About It,2026-08-07,p-LnAnYPo4I,"18,769"
2026-08-17,新歌榜,31,Animal,KATSEYE,Animal,2026-07-27,m7k9UMcHbr0,"54,449,918"
2026-08-17,新歌榜,32,少年有种,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,jWSWPa4G8ts,"2,416"
2026-08-17,新歌榜,33,清风微微,曾舜晞,清风微微,2026-07-24,HCv4EH5plpA,"30,897"
2026-08-17,新歌榜,34,唯我论者的独白,马嘉祺,唯我论者的独白,2026-07-27,1x0vBteO4jc,"39,732"
2026-08-17,新歌榜,35,WET,J.Y. Park,WET,2026-07-23,dMf6YlGsv0U,"2,037,688"
2026-08-17,新歌榜,36,左转灯 (1000 Times+1),派伟俊/mac ova seas,BAD IDEA,2026-07-31,kUZZIBciO6A,"11,638,894"
2026-08-17,新歌榜,37,傻鱼,王栎鑫,傻鱼,2026-08-11,H2KEtWOqVJA,973
2026-08-17,新歌榜,38,其实雨也没多大,弹棉花的小花,其实雨也没多大,2026-07-28,-,-
2026-08-17,新歌榜,39,ICONIC HEART,Hearts2Hearts,ICONIC HEART,2026-08-09,chl0R8C4NJ8,"3,691,960"
2026-08-17,新歌榜,40,也许你就在对岸,张杰,也许你就在对岸,2026-07-30,YPy4E04LErU,"9,430"
2026-08-17,新歌榜,41,Ever2Late!,KiiiKiii,WhyKiiiKiii,2026-08-10,vP6NceIuVkM,"246,113"
2026-08-17,新歌榜,42,水为媒,礼越,水为媒,2026-07-24,6fiETnMALLk,"3,857"
2026-08-17,新歌榜,43,一生能有多少个秋天,一叶儿知秋,一生能有多少个秋天,2026-08-03,7nb13wYSo0w,"8,280"
2026-08-17,新歌榜,44,静音恋人 (两颗缠绕的心),邹沛沛,静音恋人,2026-08-12,-Hl1gke4U48,"1,105"
