抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-17,綜藝新歌榜,42,巴拉莱卡 (The Rod),张靓颖/陈楚生,天赐的声音第七季 第1期,2026-06-12,U-ZSLPlaGhA,"253,368"
2026-08-17,綜藝新歌榜,43,讨厌,杨丞琳/欧阳娜娜,天赐的声音第七季 第5期,2026-07-10,gw5ED3eAv5k,"154,500"
2026-08-17,綜藝新歌榜,44,歌曲：梦底,海来阿木/刘浩存,2026中央广播电视总台春节联欢晚会,2026-02-16,vL0kVZoQpEQ,"551,425"
2026-08-17,綜藝新歌榜,45,问爱,Yamy郭颖,说唱巅峰对决2026 第4期,2026-07-18,8tqVS2VpzEI,"231,214"
2026-08-17,綜藝新歌榜,46,是你没选我啊,欢子/黄霄雲,天赐的声音第七季 第3期,2026-06-26,2vpDf4zVuCI,"332,251"
2026-08-17,綜藝新歌榜,47,Talk like me (像我这样说),弹壳,说唱巅峰对决2026 第4期,2026-07-18,l-V4WOvSAfk,"375,928"
2026-08-17,綜藝新歌榜,48,失眠,杨丞琳/en (王翊恩),天赐的声音第七季 第4期,2026-07-03,yM3jz8xVEqo,"214,563"
2026-08-17,綜藝新歌榜,49,尕连手,赵骏,魔力歌先生 第9期,2026-05-08,BgY8FqEM5mQ,"19,545"
2026-08-17,綜藝新歌榜,50,别错过,杨宗纬/姚晓棠,天赐的声音第七季 第6期,2026-07-17,Tc23na0-Wlw,"175,456"
2026-08-17,綜藝新歌榜,51,春泥,金志文,国乐无双 第11期,2026-08-08,w1yfCaZzOCc,"33,298"
2026-08-17,綜藝新歌榜,52,如果你也这样过,尤长靖,歌手2026 第11期,2026-08-01,EEQR8pYtUkQ,"495,773"
2026-08-17,綜藝新歌榜,53,colt.45 (烈驹45号),弹壳,说唱巅峰对决2026 第1期,2026-06-27,2MFEhEgTmn0,"1,524,123"
2026-08-17,綜藝新歌榜,54,依兰爱情故事,岳云鹏/金志文/管乐,天赐的声音第七季 第3期,2026-06-26,mDVbPLkssXI,"89,021"
2026-08-17,綜藝新歌榜,55,半壶纱,郁可唯/金晨,天赐的声音第七季 第6期,2026-07-17,vYS19ebfuAE,"186,845"
2026-08-17,綜藝新歌榜,56,言不由衷,容祖儿,国乐无双 第10期,2026-08-01,yWTHUB49X1A,"1,860,548"
2026-08-17,綜藝新歌榜,57,同花顺,宋亚轩,国乐无双 第5期,2026-06-20,WruTIPGb84U,"141,429"
2026-08-17,綜藝新歌榜,58,Forever (永不凋零),弹壳/BrAnTB白景屹,说唱巅峰对决2026 第3期,2026-07-11,a0DZn9ST0JY,"223,980"
2026-08-17,綜藝新歌榜,59,无人之岛,罗云熙/姚晓棠,天赐的声音第七季 第5期,2026-07-10,Bv115M-BvQg,"5,197,989"
