抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-10,影視金曲榜,1,过海,王赫野/黄龄,过海,2026-07-16,IgjnQV8WJH8,"5,677"
2026-08-10,影視金曲榜,2,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,JqR0_IFpdcg,"122,969"
2026-08-10,影視金曲榜,3,听无声处,周深,九门 影视原声带,2026-08-10,4Csp1xRwxA8,"67,639"
2026-08-10,影視金曲榜,4,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,uEdEBhcf4Gs,"27,859"
2026-08-10,影視金曲榜,5,耀眼的我们,周深,天才，女友 影视原声带,2026-08-04,prjFbOzBVWU,"30,627"
2026-08-10,影視金曲榜,6,红尘慌慌,周深,百花杀 原声音乐专辑,2026-07-28,h3596Dg4HT8,"233,146"
2026-08-10,影視金曲榜,7,来我的岛,刘宇宁,来我的岛,2026-08-03,udTSazfAfEo,"47,550"
2026-08-10,影視金曲榜,8,倒悬之河,徐均朔/阿YueYue,百花杀 原声音乐专辑,2026-07-28,xNVtmoES0WQ,"41,860"
2026-08-10,影視金曲榜,9,奢求,淑元/奥利,奢求,2026-07-31,tMk9RRRbKP4,"8,362"
2026-08-10,影視金曲榜,10,野草（致老狗）,曾舜晞,野草（致老狗）,2026-08-05,Zc8PeZe5Ecc,"1,401"
2026-08-10,影視金曲榜,11,满纸,阿鲲,春山境 电视剧原声专辑,2026-06-14,dqqehb_gEz0,"134,350"
2026-08-10,影視金曲榜,12,缠,那英,这一秒过火 影视原声带,2026-07-18,_AitteIOuMc,"82,987"
2026-08-10,影視金曲榜,13,浮生若梦,周深,云秀行 影视原声带,2026-06-23,IJ8kHZZD8O0,"183,348"
2026-08-10,影視金曲榜,14,"I Knew It, I Knew You",Taylor Swift,"I Knew It, I Knew You",2026-06-05,-,-
2026-08-10,影視金曲榜,15,游游,房东的猫,天才，女友 影视原声带,2026-08-04,viama9Sdh78,"5,674"
2026-08-10,影視金曲榜,16,人间,刘宇宁,南部档案 影视原声带,2026-06-11,awyc5u7s_hg,"125,509"
2026-08-10,影視金曲榜,17,我在意的,单依纯,爱情有烟火 影视原声带,2026-07-03,GKHSYBHak4U,"45,129"
2026-08-10,影視金曲榜,18,一诺,刘宇宁,一诺,2026-08-05,JGGL56GMMsM,"74,626"
2026-08-10,影視金曲榜,19,破晓以后,胡彦斌,破晓以后,2026-07-27,U_2HmXsOqgs,"13,539"
2026-08-10,影視金曲榜,20,千香,周深,千香 影视剧原声音乐专辑,2026-07-15,o9ulZsWpFwE,"190,419"
2026-08-10,影視金曲榜,21,All For You,Eric周兴哲,All For You,2026-07-16,osyH9yWWygA,"12,275,725"
2026-08-10,影視金曲榜,22,怜心,黄霄雲,雀骨 影视原声带,2026-07-15,YlnxaMhFSR0,"94,604"
2026-08-10,影視金曲榜,23,Metal Flower,R.E.D,Metal Flower,2026-07-11,vFzq2TaeLkU,"12,962"
2026-08-10,影視金曲榜,24,同归,曾舜晞,九门 影视原声带,2026-08-10,aQeZ2kpI7J8,"5,308"
2026-08-10,影視金曲榜,25,炙光,张碧晨/侯明昊,雀骨 影视原声带,2026-07-15,83RQld52drA,"172,739"
2026-08-10,影視金曲榜,26,袖里长风,张远,百花杀 原声音乐专辑,2026-07-28,Up45ZAjL8_A,"30,944"
2026-08-10,影視金曲榜,27,落下的光,袁娅维TIA RAY,落下的光,2026-08-04,tqgSk5PMXwA,753
2026-08-10,影視金曲榜,28,一诺成川,侯明昊,雀骨 影视原声带,2026-07-15,L_BElNLdnEE,"109,018"
2026-08-10,影視金曲榜,29,执棋,张靓颖,翘楚 电视剧影视原声带,2026-06-08,yj98tMDi6Xw,"275,830"
2026-08-10,影視金曲榜,30,Blind Spot,토모/원식 (WONSIK),검사실의 제안 OST Part.2,2026-06-26,ETiDRVhexco,"80,767"
2026-08-10,影視金曲榜,31,赤子,周深,问心2 原声OST大碟,2026-06-20,wOpAuisJFVg,"75,821"
2026-08-10,影視金曲榜,32,知我,刘雨昕,雀骨 影视原声带,2026-07-15,awKxszb6PL4,"82,404"
2026-08-10,影視金曲榜,33,Tiger in my love,奥利,Tiger in my love,2026-06-26,vhIfGl5Hr0U,"152,944"
2026-08-10,影視金曲榜,34,想你了,刘瑞琦,想你了 电影原声专辑,2026-07-24,XFGYYNz7gbw,988
2026-08-10,影視金曲榜,35,贴心,梁咏琪,这一秒过火 影视原声带,2026-07-18,dSX7D6XBGKY,"14,768"
2026-08-10,影視金曲榜,36,Be My Light,段奥娟,天才，女友 影视原声带,2026-08-04,Et-oDExde-E,"6,028"
2026-08-10,影視金曲榜,37,渡,周深,渡,2026-06-09,T_6vMCU50t0,"2,298,334"
2026-08-10,影視金曲榜,38,蚱蜢跃入星空,王源,蚱蜢跃入星空,2026-06-19,41MkOkGmSQY,"1,762"
2026-08-10,影視金曲榜,39,时差,Jeffrey董又霖,耀眼 影视原声带,2026-06-02,SI2SPivo8bA,"92,366"
2026-08-10,影視金曲榜,40,Brand New,Mrs. GREEN APPLE,Brand New,2026-07-13,dePs7UPp6GQ,"13,979,687"
2026-08-10,影視金曲榜,41,黑童话,黄龄,人鱼 影视原声专辑,2026-08-04,a24jmkT9vnE,"8,913"
2026-08-10,影視金曲榜,42,烟波,小时姑娘,大唐迷雾 影视原声带,2026-05-24,b9qqFutiJ48,"1,533"
2026-08-10,影視金曲榜,43,Stay With Me,DK,오싹한 연애 OST Part 2,2026-07-26,5cglnHp1mmo,"1,552,527"
2026-08-10,影視金曲榜,44,因果,段奥娟,雀骨 影视原声带,2026-07-15,rQYrp9dzCOA,"37,883"
2026-08-10,影視金曲榜,45,放晴,胡夏,人鱼 影视原声专辑,2026-08-04,810vYNE8okU,168
2026-08-10,影視金曲榜,46,花影,希林娜依高,百花杀 原声音乐专辑,2026-07-28,4bvtmJf3kgM,"34,416"
2026-08-10,影視金曲榜,47,如果宇宙有答案,黄子弘凡,如果宇宙有答案,2026-07-25,4kXZl6yf4-I,681
2026-08-10,影視金曲榜,48,Marionette,제나 (ZENA),검사실의 제안 OST Part.1,2026-06-19,MBVvRUJGyxU,"60,697"
2026-08-10,影視金曲榜,49,兵自风中来,欧豪,兵自风中来 影视原声大碟,2026-07-24,8_mMG39oXs0,"9,015"
2026-08-10,影視金曲榜,50,漫过无尽岁月,张新成,南部档案 影视原声带,2026-06-11,mSyU8k_hRDY,"51,211"
2026-08-10,影視金曲榜,51,见幸福,郁可唯,见幸福,2026-06-11,-Xps4sA6joA,"156,522"
2026-08-10,影視金曲榜,52,别忘了,岑宁儿,想你了 电影原声专辑,2026-07-24,ZpmbCnbVaOY,"2,927"
2026-08-10,影視金曲榜,53,奉陪,陈伟霆,九门 影视原声带,2026-08-10,ljJt5MUWYyo,"5,975"
2026-08-10,影視金曲榜,54,何故,刘宇宁,云秀行 影视原声带,2026-06-23,n5yL35f1IKI,"74,368"
2026-08-10,影視金曲榜,55,繁花流年,希林娜依高,九门 影视原声带,2026-08-10,BLW69Na62E0,"2,913"
2026-08-10,影視金曲榜,56,风与花,何与,百花杀 原声音乐专辑,2026-07-28,_Sjd3NVh1og,"15,837"
2026-08-10,影視金曲榜,57,心世界,周深,心世界,2026-06-06,EW-UO70eVL8,"236,045"
2026-08-10,影視金曲榜,58,未烬之火,沙宝亮,这一秒过火 影视原声带,2026-07-18,-A41w3MHS-4,"27,302"
2026-08-10,影視金曲榜,59,Paper Flower,李遐怡,유부녀 킬러 OST Part 1,2026-08-01,tGyEwvglfxk,"59,974"
