抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-12,新歌榜,1,贰拾肆,梓渝,梓渝,2026-08-05,ahgtHwNlUaI,"4,614"
2026-08-12,新歌榜,2,傻鱼,王栎鑫,傻鱼,2026-08-11,H2KEtWOqVJA,439
2026-08-12,新歌榜,3,STRANGE,刘雨昕,STRANGE,2026-08-05,J88kOcG7hmc,"1,168"
2026-08-12,新歌榜,4,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,UsbRoaH6y-Q,"2,819,074"
2026-08-12,新歌榜,5,我们总是喜欢在夏天讨论永远,时代少年团,我们总是喜欢在夏天讨论永远,2026-08-10,Wdru-Wt1KAg,"38,333"
2026-08-12,新歌榜,6,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,R30DHQSos8I,"936,000"
2026-08-12,新歌榜,7,游向陆地的鱼,梓渝,梓渝,2026-08-05,R-FdIwzlC_s,"34,641"
2026-08-12,新歌榜,8,清风微微,曾舜晞,清风微微,2026-07-24,HCv4EH5plpA,"27,888"
2026-08-12,新歌榜,9,远距离,梁咏琪,远距离,2026-08-05,jMEbbGsPkIo,"12,705"
2026-08-12,新歌榜,10,过海,王赫野/黄龄,过海,2026-07-16,IgjnQV8WJH8,"5,554"
2026-08-12,新歌榜,11,周旋,王以太/艾热AIR,太热爱,2026-07-12,6WPWpadfJfI,"464,720"
2026-08-12,新歌榜,12,山风山风等等我,万海东,山风山风等等我,2026-07-20,dvphcY1G6Ng,"7,278"
2026-08-12,新歌榜,13,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,JqR0_IFpdcg,"121,949"
2026-08-12,新歌榜,14,Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,Think About It,2026-08-07,p-LnAnYPo4I,"4,902"
2026-08-12,新歌榜,15,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,uEdEBhcf4Gs,"26,645"
2026-08-12,新歌榜,16,KISS N TELL,aespa,KISS N TELL,2026-07-23,inxzQt78lOk,"7,842,717"
2026-08-12,新歌榜,17,Lollipop (GISELLE & NINGNING),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,ExJ48uxLyu4,"395,683"
2026-08-12,新歌榜,18,No More Tomorrow,严浩翔,No More Tomorrow,2026-08-03,Ls6y4JbkNa0,"7,027"
2026-08-12,新歌榜,19,Ever2Late!,KiiiKiii,WhyKiiiKiii,2026-08-10,vP6NceIuVkM,"144,833"
2026-08-12,新歌榜,20,媚人,薛之谦,媚人,2026-07-17,cxm8b1gOeqk,"228,363"
2026-08-12,新歌榜,21,爱久见人心,赵乃吉,爱久见人心,2026-08-02,1TJ4DXlfcTc,"7,285"
2026-08-12,新歌榜,22,SWEET SOUR,KiiiKiii,WhyKiiiKiii,2026-08-10,NBIu5QpD3X8,"124,817"
