抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-30,新歌榜,1,傻女,王栎鑫,傻女,2026-08-26,華語,8eZl7NVFxlo,291
2026-08-30,新歌榜,2,Hope to Remain,严浩翔,Scary Movie Ⅱ: Same Face,2026-08-24,西洋,R1FhekboG9I,"4,412"
2026-08-30,新歌榜,3,莎啦啦,孙颖莎/JKZQ,莎啦啦,2026-08-26,華語,-,-
2026-08-30,新歌榜,4,唯有追赶风的方向 (Only By Chasing the Wind),知更鸟/HOYO-MiX/Chevy,崩坏星穹铁道-唯有追赶风的方向 Only By Chasing the Wind,2026-08-26,西洋,mFaxZdS6nYo,"11,414"
2026-08-30,新歌榜,5,请勿打扰,喻言,请勿打扰,2026-08-22,華語,B7DKa-nJxxo,805
2026-08-30,新歌榜,6,我要你回来 (I wish you come back),TOP登陆少年组合,我要你回来 (I wish you come back),2026-08-28,華語,Pno0eV_qTlI,"4,338"
2026-08-30,新歌榜,7,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,西洋,46h0LvDHgIs,"9,798,733"
2026-08-30,新歌榜,8,没有你是漫长雨季,梓渝,梓渝,2026-08-05,華語,upblmi2XwGs,"7,145"
2026-08-30,新歌榜,9,仿佛又在那天醒来,黄星,仿佛又在那天醒来,2026-08-25,華語,8uqJNE9GUPg,"5,423"
2026-08-30,新歌榜,10,你不该权衡利弊,李婷雪,你不该权衡利弊,2026-08-17,華語,7IlEG5xPHrQ,"28,555"
2026-08-30,新歌榜,11,我要幽默,李宇春,我要幽默,2026-08-28,華語,tJm_TeOY8LA,144
2026-08-30,新歌榜,12,MONEYMONEYMONEY,CORTIS,GREENGREEN_playextended,2026-08-23,西洋,OhdvNHmJDsw,"3,546,022"
2026-08-30,新歌榜,13,FALLEN ANGEL,JENNIE,Fallen Angel (Digital EP) [Explicit],2026-08-28,西洋,s466YCiHfKw,"10,600,708"
2026-08-30,新歌榜,14,此间是少年,梓渝,梓渝,2026-08-05,華語,0_ld2Btgweo,"2,983"
2026-08-30,新歌榜,15,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,UsbRoaH6y-Q,"7,927,180"
2026-08-30,新歌榜,16,莫忙,乡野低频,莫忙,2026-08-13,華語,xgQMemPpnmI,"13,157"
2026-08-30,新歌榜,17,猜不透,张予曦,猜不透,2026-08-26,華語,xEJ9ZqMVUhg,"55,301"
2026-08-30,新歌榜,18,时光你等等我,郭芊彤,时光你等等我,2026-07-29,華語,WA65QQQzzE4,"3,082"
2026-08-30,新歌榜,19,HEAVEN,JENNIE,Fallen Angel (Digital EP) [Explicit],2026-08-28,西洋,dkMPft1y21Y,"1,691,589"
2026-08-30,新歌榜,20,混帐,周柏豪,混帐,2026-08-28,華語,NozeuYNO7F4,"86,208"
2026-08-30,新歌榜,21,路过晴朗,汪苏泷,路过晴朗,2026-08-21,華語,2TUe-RESXeE,"39,495"
2026-08-30,新歌榜,22,PACK IT UP,CORTIS,GREENGREEN_playextended,2026-08-23,西洋,Eg4-vCHc7eQ,"1,203,959"
2026-08-30,新歌榜,23,RUN IT,梓渝,梓渝,2026-08-05,華語,ovZ4T3Hv7RQ,"76,825"
2026-08-30,新歌榜,24,SPARK TO FIRE 星火成焰,TOP登陆少年组合,SPARK TO FIRE 星火成焰,2026-08-21,華語,Z6v3Qbn2luk,"2,267"
