抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-30,綜藝新歌榜,41,我不难过,刘雨昕/欧阳娜娜,天赐的声音第七季 第6期,2026-07-17,華語,y_sILJY8wus,"453,681"
2026-08-30,綜藝新歌榜,42,花田错,万妮达Vinida Weng/吴碧霞,歌手2026 第12期,2026-08-08,華語,Hnij47XWTeo,"60,568"
2026-08-30,綜藝新歌榜,43,巴拉莱卡 (The Rod),张靓颖/陈楚生,天赐的声音第七季 第1期,2026-06-12,華語,U-ZSLPlaGhA,"278,270"
2026-08-30,綜藝新歌榜,44,相思,齐豫/毛阿敏,歌手2026 第12期,2026-08-08,華語,ERUH2ClGmpg,"437,562"
2026-08-30,綜藝新歌榜,45,孤雏,AGA,国乐无双 第12期,2026-08-15,其他,ZyORtO7kTaw,"10,092,786"
2026-08-30,綜藝新歌榜,46,野草,金志文,国乐无双 第10期,2026-08-01,華語,Fa2ZJ7u4Zrk,"30,288"
2026-08-30,綜藝新歌榜,47,The Gentlemen (绅士们),弹壳/Vinz-T,说唱巅峰对决2026 第6期,2026-08-01,華語,fUxHPVv5dmw,"458,809"
2026-08-30,綜藝新歌榜,48,trust me,姚晓棠/Top Barry,天赐的声音第七季 第8期,2026-07-31,華語,aE9h04yMqBw,"215,458"
2026-08-30,綜藝新歌榜,49,小美满,宋亚轩/AGA/黄子弘凡/姚晓棠/周深/吴莫愁/金志文/龚琳娜/陈小春,国乐无双 第12期,2026-08-15,華語,l1oSO3yebNw,254
2026-08-30,綜藝新歌榜,50,中毒,王铮亮/光泽,天赐的声音第七季 第10期,2026-08-14,華語,2Ac9ccgBQR0,"14,521"
2026-08-30,綜藝新歌榜,51,别错过,杨宗纬/姚晓棠,天赐的声音第七季 第6期,2026-07-17,華語,Tc23na0-Wlw,"212,495"
2026-08-30,綜藝新歌榜,52,讨厌,杨丞琳/欧阳娜娜,天赐的声音第七季 第5期,2026-07-10,華語,gw5ED3eAv5k,"173,066"
2026-08-30,綜藝新歌榜,53,间距,于冬然/en (王翊恩),间距（《有歌第二季第10期》）,2026-03-06,華語,_CO3onnZOB0,"124,570"
2026-08-30,綜藝新歌榜,54,Forever (永不凋零),弹壳/BrAnTB白景屹,说唱巅峰对决2026 第3期,2026-07-11,華語,a0DZn9ST0JY,"255,548"
2026-08-30,綜藝新歌榜,55,失眠,杨丞琳/en (王翊恩),天赐的声音第七季 第4期,2026-07-03,華語,yM3jz8xVEqo,"240,049"
2026-08-30,綜藝新歌榜,56,再见,万妮达Vinida Weng,歌手2026 第12期,2026-08-08,華語,q-IowIzrMLY,"86,262"
2026-08-30,綜藝新歌榜,57,Chevrolet’78,王赫野,披荆斩棘2026 初舞台,2026-08-16,華語,rSwDyGOPYuc,"9,146"
2026-08-30,綜藝新歌榜,58,猜不透,赵磊/张予曦,天赐的声音第七季 第9期,2026-08-07,華語,xEJ9ZqMVUhg,"55,301"
2026-08-30,綜藝新歌榜,59,爱的主打歌,小沈阳/姚琛/曾辉,披荆斩棘2026  一公,2026-08-22,華語,yow8ndLV32k,122
