抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期
2026-08-04,影視金曲榜,87,爱情没有神话,张靓颖,爱情没有神话 电视剧原声带,2026-05-06
2026-08-04,影視金曲榜,88,Y and I,刘美麟/赵磊,爱情有烟火 影视原声带,2026-07-03
2026-08-04,影視金曲榜,89,从忘记你那天起,衣诺,这一秒过火 影视原声带,2026-07-18
2026-08-04,影視金曲榜,90,光荣的勋章,白举纲,灿如繁星 影视原声带,2026-07-06
2026-08-04,影視金曲榜,91,First And Last,어바웃,참교육 (Soundtrack from the Netflix Series),2026-06-05
2026-08-04,影視金曲榜,92,我真的好想你,张紫宁,爱情有烟火 影视原声带,2026-07-03
2026-08-04,影視金曲榜,93,南楼残樱,秦剑,春山境 电视剧原声专辑,2026-06-14
2026-08-04,影視金曲榜,94,迷心,亚森,迷心（电视剧《迷墙》推广曲）,2026-06-06
2026-08-04,影視金曲榜,95,抱紧紧,陈佩贤 Jesslyn,抱紧紧,2026-05-08
2026-08-04,影視金曲榜,96,추억이란 이름 (Sailing Back To You),Jeebanoff,그대에게 드림 OST Part.2 (Dream to You OST Part.2),2026-07-14
2026-08-04,影視金曲榜,97,터널,丽兹 (LIZ),오싹한 연애 OST Part 1,2026-07-19
2026-08-04,影視金曲榜,98,冲,吉克隽逸,钟馗 电影原声大碟,2026-05-30
2026-08-04,影視金曲榜,99,旧年,刘宇宁,家业 电视原声带,2026-05-29
2026-08-04,影視金曲榜,100,冲线,卢文韬,冲线,2026-05-01
