抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-11,新歌榜,1,贰拾肆,梓渝,梓渝,2026-08-05,-,-,華語
2026-08-11,新歌榜,2,我们总是喜欢在夏天讨论永远,时代少年团,我们总是喜欢在夏天讨论永远,2026-08-10,-,-,華語
2026-08-11,新歌榜,3,游向陆地的鱼,梓渝,梓渝,2026-08-05,-,-,華語
2026-08-11,新歌榜,4,STRANGE,刘雨昕,STRANGE,2026-08-05,-,-,西洋
2026-08-11,新歌榜,5,清风微微,曾舜晞,清风微微,2026-07-24,-,-,華語
2026-08-11,新歌榜,6,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,-,-,韓語
2026-08-11,新歌榜,7,Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,Think About It,2026-08-07,-,-,華語
2026-08-11,新歌榜,8,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,-,-,華語
2026-08-11,新歌榜,9,No More Tomorrow,严浩翔,No More Tomorrow,2026-08-03,-,-,華語
2026-08-11,新歌榜,10,远距离,梁咏琪,远距离,2026-08-05,-,-,華語
2026-08-11,新歌榜,11,过海,王赫野/黄龄,过海,2026-07-16,-,-,華語
2026-08-11,新歌榜,12,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,-,-,華語
2026-08-11,新歌榜,13,周旋,王以太/艾热AIR,太热爱,2026-07-12,-,-,華語
2026-08-11,新歌榜,14,痕迹,何浩楠,痕迹,2026-08-08,-,-,華語
2026-08-11,新歌榜,15,山风山风等等我,万海东,山风山风等等我,2026-07-20,-,-,華語
2026-08-11,新歌榜,16,无名氏,张真源,无名氏,2026-08-04,-,-,華語
2026-08-11,新歌榜,17,KISS N TELL,aespa,KISS N TELL,2026-07-23,-,-,韓語
2026-08-11,新歌榜,18,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,-,-,華語
2026-08-11,新歌榜,19,讨厌情歌,张艺兴,斗战胜佛,2026-07-03,-,-,華語
2026-08-11,新歌榜,20,爱久见人心,赵乃吉,爱久见人心,2026-08-02,-,-,華語
2026-08-11,新歌榜,21,媚人,薛之谦,媚人,2026-07-17,-,-,華語
2026-08-11,新歌榜,22,唯我论者的独白,马嘉祺,唯我论者的独白,2026-07-27,-,-,華語
2026-08-11,新歌榜,23,中国人会飞,Chalky Wong/揽佬SKAI ISYOURGOD,BALDNESS,2026-08-07,-,-,華語
2026-08-11,新歌榜,24,Ever2Late!,KiiiKiii,WhyKiiiKiii,2026-08-10,-,-,日語
2026-08-11,新歌榜,25,Lollipop (GISELLE & NINGNING),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,-,-,韓語
2026-08-11,新歌榜,26,每个人,周深,每个人 (舒楠监制 官方正式版),2026-08-07,-,-,華語
2026-08-11,新歌榜,27,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,-,-,西洋
2026-08-11,新歌榜,28,游京,苏子墨/sunnd,游京(超燃合唱版),2026-07-13,-,-,華語
2026-08-11,新歌榜,29,月像,刘宇,月像·开始奏乐开始舞,2026-08-09,-,-,華語
2026-08-11,新歌榜,30,SWEET SOUR,KiiiKiii,WhyKiiiKiii,2026-08-10,-,-,西洋
2026-08-11,新歌榜,31,DON'T STOP,刘耀文,DON'T STOP,2026-08-05,-,-,華語
2026-08-11,新歌榜,32,攀峰,崔十八/麦麦/贰万ovo/木木墩/鲸/听潮阁,攀峰,2026-08-10,-,-,華語
2026-08-11,新歌榜,33,最完美的存在,刘芯妤Roselyn,最完美的存在,2026-08-07,-,-,華語
2026-08-11,新歌榜,34,金乌 Golden Bird,刘宇/Alan Walker/孙名川Chuanzi Suona,金乌 Golden Bird,2026-08-06,-,-,華語
2026-08-11,新歌榜,35,ICONIC HEART,Hearts2Hearts,ICONIC HEART,2026-08-09,-,-,西洋
2026-08-11,新歌榜,36,Hey Hi,KiiiKiii,WhyKiiiKiii,2026-08-10,-,-,西洋
2026-08-11,新歌榜,37,Candy Pink Magic Hole Flip Phone (나 어떡해),KiiiKiii,WhyKiiiKiii,2026-08-10,-,-,韓語
2026-08-11,新歌榜,38,WET,J.Y. Park,WET,2026-07-23,-,-,韓語
2026-08-11,新歌榜,39,FLIRTY,다영 (DAYOUNG)/朴宰范,FLIRTY,2026-08-04,-,-,韓語
2026-08-11,新歌榜,40,我只要我开心,时代少年团,我只要我开心,2026-07-13,-,-,華語
2026-08-11,新歌榜,41,夏天如约而来 (Summer Sparkle),银河快递 (Galaxy Express),夏天如约而来 (Summer Sparkle) (《全职高手》黄少天官方生贺主题曲),2026-08-10,-,-,華語
2026-08-11,新歌榜,42,你我他,en (王翊恩),你我他,2026-07-31,-,-,華語
2026-08-11,新歌榜,43,如果你也刚好抬头看树,孙天宇,如果你也刚好抬头看树,2026-07-20,-,-,華語
2026-08-11,新歌榜,44,点歌的人2026,海来阿木,点歌的人2026,2026-08-04,-,-,華語
2026-08-11,新歌榜,45,Blue Hour,KiiiKiii,WhyKiiiKiii,2026-08-10,-,-,西洋
2026-08-11,新歌榜,46,petal,Ariana Grande,petal (Explicit),2026-07-31,-,-,西洋
2026-08-11,新歌榜,47,Animal,KATSEYE,Animal,2026-07-27,-,-,西洋
2026-08-11,新歌榜,48,别在伤口撒盐,赵家豪,别在伤口撒盐 (男声版),2026-07-13,-,-,華語
2026-08-11,新歌榜,49,回到小村落 (听着蛐蛐唱着歌),宋盐球,回到小村落（听着蛐蛐唱着歌）,2026-07-21,-,-,華語
2026-08-11,新歌榜,50,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31,-,-,西洋
2026-08-11,新歌榜,51,也许你就在对岸,张杰,也许你就在对岸,2026-07-30,-,-,華語
2026-08-11,新歌榜,52,异常加载中,TF家族/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,异常加载中,2026-08-02,-,-,華語
2026-08-11,新歌榜,53,一直下雨的星期天,印子月,一直下雨的星期天,2026-07-14,-,-,華語
2026-08-11,新歌榜,54,多疑的恋人,王赫野,珍宝 Starlight,2026-06-21,-,-,華語
2026-08-11,新歌榜,55,光阴的故事,轻烟大叔,光阴的故事,2026-07-14,-,-,華語
2026-08-11,新歌榜,56,左转灯 (1000 Times+1),派伟俊/mac ova seas,BAD IDEA,2026-07-31,-,-,華語
2026-08-11,新歌榜,57,后来没有后来 (有些人爱或不爱都会分开),承桓/顾叮当,后来没有后来 (有些人爱或不爱都会分开),2026-08-06,-,-,華語
2026-08-11,新歌榜,58,如约,周深,如约,2026-07-26,-,-,華語
2026-08-11,新歌榜,59,踏马寻花向自由(就别管那么多),徐剑秋,踏马寻花向自由(就别管那么多),2026-07-27,-,-,華語
2026-08-11,新歌榜,60,Bad Boy,万妮达Vinida Weng,Bad Boy,2026-07-11,-,-,華語
2026-08-11,新歌榜,61,竞速游戏,TOP登陆少年组合,竞速游戏,2026-07-25,-,-,華語
2026-08-11,新歌榜,62,其实雨也没多大,弹棉花的小花,其实雨也没多大,2026-07-28,-,-,華語
2026-08-11,新歌榜,63,爱你太多,刘一手,爱你太多,2026-07-29,-,-,華語
2026-08-11,新歌榜,64,倘若你爱一人,王唯旖,倘若你爱一人,2026-07-14,-,-,華語
2026-08-11,新歌榜,65,Pretty Much（半夏心动）,赵希予,Pretty Much（半夏心动）,2026-07-17,-,-,華語
2026-08-11,新歌榜,66,来我的岛,刘宇宁,来我的岛,2026-08-03,-,-,華語
2026-08-11,新歌榜,67,后来没有后来 (有些人爱或不爱都会分开),郑鱼/顾叮当,后来没有后来 (有些人爱或不爱都会分开),2026-07-22,-,-,華語
2026-08-11,新歌榜,68,吹吹山顶的风,杨小壮,吹吹山顶的风,2026-08-05,-,-,華語
2026-08-11,新歌榜,69,野草（致老狗）,曾舜晞,野草（致老狗）,2026-08-05,-,-,華語
2026-08-11,新歌榜,70,我在等一个人,郑鱼,我在等一个人,2026-07-13,-,-,華語
2026-08-11,新歌榜,71,愿我,加木措,愿我,2026-07-13,-,-,華語
2026-08-11,新歌榜,72,尚能独舞,侧田,尚能独舞,2026-08-07,-,-,華語
2026-08-11,新歌榜,73,水为媒,礼越,水为媒,2026-07-24,-,-,華語
2026-08-11,新歌榜,74,听说你当初找过我,吕口口,听说当初你找过我,2026-07-18,-,-,華語
2026-08-11,新歌榜,75,海海海,白允y,海海海(不能停止我对你的爱）,2026-07-22,-,-,華語
2026-08-11,新歌榜,76,失重色,世勋,失重色,2026-07-29,-,-,華語
2026-08-11,新歌榜,77,第57次取消发送,羊羊,第57次取消发送,2026-08-07,-,-,華語
2026-08-11,新歌榜,78,桥边姑娘,轻烟大叔,桥边姑娘,2026-07-28,-,-,華語
2026-08-11,新歌榜,79,爱旧爱（怪我曾爱你爱的太深）,恩几,爱旧爱（怪我曾爱你爱的太深）,2026-07-23,-,-,華語
2026-08-11,新歌榜,80,放弃的界限,张敬轩,放弃的界限,2026-07-30,-,-,華語
2026-08-11,新歌榜,81,kiss me,Ariana Grande,petal (Explicit),2026-07-31,-,-,西洋
