抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-21,抖音熱歌榜,1,明天过后,张杰,听！我们的歌,2020-07-23,華語,ZA0uGRffojo,"1,395,993"
2026-08-21,抖音熱歌榜,2,晴天,周杰伦,叶惠美,2003-07-31,華語,DYptgVvkVLQ,"95,650,609"
2026-08-21,抖音熱歌榜,3,我好想你,苏打绿,秋：故事（苏打绿版）,2024-11-08,華語,P_pyfLArjQg,"78,836,695"
2026-08-21,抖音熱歌榜,4,红尘客栈,周杰伦,十二新作,2012-12-28,華語,L6joGUdc6y4,"45,141,217"
2026-08-21,抖音熱歌榜,5,Always Online,林俊杰,JJ陆,2008-10-18,華語,-gqfAzw6FQo,"8,194,198"
2026-08-21,抖音熱歌榜,6,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,華語,TvSLCxXyrBA,"54,340,485"
2026-08-21,抖音熱歌榜,7,恋人,李荣浩,黑马,2024-10-18,華語,5RlEWndW0bE,"5,302,744"
2026-08-21,抖音熱歌榜,8,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,華語,itjyryJ-8IU,"26,898,592"
2026-08-21,抖音熱歌榜,9,唯一,G.E.M. 邓紫棋,T.I.M.E.,2023-11-26,華語,xXr4Z7HAZCE,"33,075,079"
2026-08-21,抖音熱歌榜,10,雨爱,杨丞琳,雨爱,2010-01-01,華語,oec9R5ypf-o,"39,834,127"
2026-08-21,抖音熱歌榜,11,富士山下,陈奕迅,What's Going On...?,2006-11-23,華語,JDpRnPef5qQ,"30,295,937"
2026-08-21,抖音熱歌榜,12,我怀念的,孙燕姿,逆光,2007-03-22,華語,G7uSHzyVAwg,"42,113,924"
2026-08-21,抖音熱歌榜,13,差一步,大壮,差一步,2017-11-11,華語,lA7-x-TlGjM,"5,896,243"
2026-08-21,抖音熱歌榜,14,下完这场雨,后弦,下完这场雨,2017-01-13,華語,lttm50z2-2s,"3,243,749"
2026-08-21,抖音熱歌榜,15,我在你身后,李飘飘,我在你身后,2020-08-11,華語,fRSVMk8yiFs,"671,071"
2026-08-21,抖音熱歌榜,16,开始懂了,孙燕姿,我要的幸福,2000-12-09,華語,h5eRbbOnPRc,"11,110,800"
2026-08-21,抖音熱歌榜,17,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,華語,ATblV50Odx8,"66,599,394"
2026-08-21,抖音熱歌榜,18,夜曲,周杰伦,十一月的萧邦,2005-11-01,華語,6Q0Pd53mojY,"104,654,021"
