抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-21,影視金曲榜,46,落下的光,袁娅维TIA RAY,落下的光,2026-08-04,華語,tqgSk5PMXwA,"1,526"
2026-08-21,影視金曲榜,47,你听见了吗,康子奇,天才，女友 影视原声带,2026-08-04,華語,zjpiO8EhmB0,"8,677"
2026-08-21,影視金曲榜,48,成全,井胧,雀骨 影视原声带,2026-07-15,華語,h6rcI296mSI,"25,957"
2026-08-21,影視金曲榜,49,奉陪,陈伟霆,九门 影视原声带,2026-08-10,華語,ljJt5MUWYyo,"10,473"
2026-08-21,影視金曲榜,50,见幸福,郁可唯,见幸福,2026-06-11,華語,-Xps4sA6joA,"167,365"
2026-08-21,影視金曲榜,51,袖里长风,张远,百花杀 原声音乐专辑,2026-07-28,華語,Up45ZAjL8_A,"40,835"
2026-08-21,影視金曲榜,52,추억이란 이름 (Sailing Back To You),Jeebanoff,그대에게 드림 OST Part.2 (Dream to You OST Part.2),2026-07-14,韓語,XWm35wuGqvY,"46,897"
2026-08-21,影視金曲榜,53,Tiger in my love,奥利,Tiger in my love,2026-06-26,西洋,vhIfGl5Hr0U,"179,843"
2026-08-21,影視金曲榜,54,繁花流年,希林娜依高,九门 影视原声带,2026-08-10,華語,BLW69Na62E0,"5,563"
2026-08-21,影視金曲榜,55,山河荒,阿云嘎,九门 影视原声带,2026-08-10,華語,QR3gtJhpgp0,"7,780"
2026-08-21,影視金曲榜,56,END+ing,MINNIE,오싹한 연애 OST Part 6,2026-08-09,韓語,Z411zFDb2Dk,"154,431"
2026-08-21,影視金曲榜,57,黄沙骨,费宇涛,花开锦绣 影视原声带,2026-08-20,華語,u8iPXKbwOsc,"2,809"
2026-08-21,影視金曲榜,58,心世界,周深,心世界,2026-06-06,華語,EW-UO70eVL8,"247,177"
2026-08-21,影視金曲榜,59,照心,段奥娟,南部档案 影视原声带,2026-06-11,華語,-bzOKKOzEFs,"26,752"
2026-08-21,影視金曲榜,60,Brand New,Mrs. GREEN APPLE,Brand New,2026-07-13,日語,dePs7UPp6GQ,"17,966,488"
2026-08-21,影視金曲榜,61,人间聚散,房东的猫,问心2 原声OST大碟,2026-06-20,華語,GEEXrDHsveU,"43,645"
2026-08-21,影視金曲榜,62,游游,房东的猫,天才，女友 影视原声带,2026-08-04,華語,viama9Sdh78,"17,973"
2026-08-21,影視金曲榜,63,未烬之火,沙宝亮,这一秒过火 影视原声带,2026-07-18,華語,-A41w3MHS-4,"34,108"
2026-08-21,影視金曲榜,64,最圆满,刘 洋,最圆满（电影《不想失去你》插曲）,2026-08-13,華語,SQKa3457cc8,203
2026-08-21,影視金曲榜,65,漫过无尽岁月,张新成,南部档案 影视原声带,2026-06-11,華語,mSyU8k_hRDY,"54,876"
2026-08-21,影視金曲榜,66,蚱蜢跃入星空,王源,蚱蜢跃入星空,2026-06-19,華語,41MkOkGmSQY,"1,883"
2026-08-21,影視金曲榜,67,孤光,张新成,南部档案 影视原声带,2026-06-11,華語,aN4OnHZchmQ,"67,754"
2026-08-21,影視金曲榜,68,吻合,袁娅维TIA RAY/张远,吻合,2026-06-16,華語,6ZI8JD54-dY,"103,628"
2026-08-21,影視金曲榜,69,Stay With Me,DK,오싹한 연애 OST Part 2,2026-07-26,韓語,5cglnHp1mmo,"1,679,770"
2026-08-21,影視金曲榜,70,モンストロ,Ado,モンストロ,2026-08-07,日語,4IKHox-DKrM,"3,759,773"
2026-08-21,影視金曲榜,71,上岸,任然,千香 影视剧原声音乐专辑,2026-07-15,華語,uon3hUO0eI8,"12,770"
2026-08-21,影視金曲榜,72,人生自定义,那英,小芳 电视剧影视原声带,2026-07-13,華語,IeZjH-TRqbY,"4,830"
2026-08-21,影視金曲榜,73,何故,刘宇宁,云秀行 影视原声带,2026-06-23,華語,n5yL35f1IKI,"78,757"
2026-08-21,影視金曲榜,74,想你了,刘瑞琦,想你了 电影原声专辑,2026-07-24,華語,XFGYYNz7gbw,"1,012"
2026-08-21,影視金曲榜,75,执棋,张靓颖,翘楚 电视剧影视原声带,2026-06-08,華語,yj98tMDi6Xw,"289,802"
2026-08-21,影視金曲榜,76,耀眼,刘宇宁,耀眼 影视原声带,2026-06-02,華語,pmiR74HbSjI,"237,060"
2026-08-21,影視金曲榜,77,奢求,淑元/奥利,奢求,2026-07-31,華語,tMk9RRRbKP4,"12,661"
2026-08-21,影視金曲榜,78,一路荣光,黄霄雲,云秀行 影视原声带,2026-06-23,華語,Oa7bcygFWUY,"71,952"
2026-08-21,影視金曲榜,79,贴心,梁咏琪,这一秒过火 影视原声带,2026-07-18,華語,dSX7D6XBGKY,"17,149"
2026-08-21,影視金曲榜,80,All I Can Say Is,LOUIS of LNGSHOT,오싹한 연애 OST Part 5,2026-08-08,西洋,FgUtOcBJoVI,"381,337"
2026-08-21,影視金曲榜,81,寸断,张远,千香 影视剧原声音乐专辑,2026-07-15,華語,NGsMs7MGjUs,"21,048"
2026-08-21,影視金曲榜,82,Marionette,제나 (ZENA),검사실의 제안 OST Part.1,2026-06-19,韓語,MBVvRUJGyxU,"68,568"
2026-08-21,影視金曲榜,83,夜鷹 - Yodaka,米津玄師,夜鷹 - Yodaka,2026-07-13,日語,83dumZPbq-o,"9,743"
2026-08-21,影視金曲榜,84,年少,康子奇,南部档案 影视原声带,2026-06-11,華語,zvhe1uzuqeU,"20,344"
2026-08-21,影視金曲榜,85,渡,周深,渡,2026-06-09,華語,T_6vMCU50t0,"2,303,000"
