抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-15,影視金曲榜,1,路过晴朗,汪苏泷,早春晴朗 影视原声带,2026-09-01,001Mu0Lw3X3LnQ,華語,2TUe-RESXeE,"245,585"
2026-09-15,影視金曲榜,2,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,001TBn1W4Wg2QM,華語,7Buj2xUlZo0,"182,122"
2026-09-15,影視金曲榜,3,我们不散,周深,生逢其时 影视原声大碟,2026-09-15,00203KEv0gDIFp,華語,3GrnbLGfCkI,"10,577"
2026-09-15,影視金曲榜,4,此刻,袁娅维TIA RAY,早春晴朗 影视原声带,2026-09-01,002N9Y7U1dHP4I,華語,pPWj5zpyeG8,"204,791"
2026-09-15,影視金曲榜,5,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,000R5lKk0KJBgG,華語,JqR0_IFpdcg,"260,519"
2026-09-15,影視金曲榜,6,You Should Know,李长庚,早春晴朗 影视原声带,2026-09-01,004b2lxr21ETld,其它,LbV_j9AgQag,"718,508"
2026-09-15,影視金曲榜,7,过海,王赫野/黄龄,过海,2026-07-16,003DEzAQ3HSB9l,華語,IgjnQV8WJH8,"67,769"
2026-09-15,影視金曲榜,8,终会再见,刘宇宁,终会再见,2026-09-06,004dvvxf0IdJ74,華語,8kMOH9TJRWo,"51,040"
2026-09-15,影視金曲榜,9,阿亓,檀健次,空枪 电影原声带,2026-09-04,0038HI6z00ZnHS,華語,AnSZOVHHgjc,"2,625"
2026-09-15,影視金曲榜,10,好的,黄子弘凡,好的,2026-08-29,000qw3B41TxC8E,華語,ki8RVe9R8DI,"2,748"
2026-09-15,影視金曲榜,11,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,003zLeSq0V2ECp,華語,uEdEBhcf4Gs,"74,004"
2026-09-15,影視金曲榜,12,来我的岛,刘宇宁,来我的岛,2026-08-03,002hAbQf14wVkt,華語,udTSazfAfEo,"88,189"
2026-09-15,影視金曲榜,13,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,000GL9102hzc2Q,華語,xBOmrRTzi9M,"53,871"
2026-09-15,影視金曲榜,14,炙光,张碧晨/侯明昊,雀骨 影视原声带,2026-07-15,000cuQPZ0n0D1B,華語,83RQld52drA,"352,258"
2026-09-15,影視金曲榜,15,一诺,刘宇宁,花开锦绣 影视原声带,2026-08-20,003AogSY2WGKrW,華語,JGGL56GMMsM,"209,626"
2026-09-15,影視金曲榜,16,摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,004LfF9N0Kfg6y,華語,C5aQMjIwjAQ,"17,079"
2026-09-15,影視金曲榜,17,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,001tFFAR2dWXiI,華語,hgY4ftt3gvk,"66,358"
2026-09-15,影視金曲榜,18,Lady Snow,陈婧霏,早春晴朗 影视原声带,2026-09-01,001m38pn3ax6cR,西洋,HadLHjh4Ihw,"155,529"
2026-09-15,影視金曲榜,19,耀眼的我们,周深,天才，女友 影视原声带,2026-08-04,002JZCyb4ORwy7,華語,prjFbOzBVWU,"56,162"
2026-09-15,影視金曲榜,20,拯救我,檀健次,蝉 影视原声带,2026-08-22,000Pwpoo0ofOYT,華語,08uejFCB-i4,"22,445"
2026-09-15,影視金曲榜,21,怜心,黄霄雲,雀骨 影视原声带,2026-07-15,002nb6R72hJmXD,華語,YlnxaMhFSR0,"179,313"
2026-09-15,影視金曲榜,22,回到夏天,关晓彤,生逢其时 影视原声大碟,2026-09-15,001RpeUH2ugYTl,華語,2ZzoNW8qddQ,423
2026-09-15,影視金曲榜,23,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,004UzgJt0YR8kB,華語,0RAqPS4JQyQ,"21,299"
2026-09-15,影視金曲榜,24,去你的岛,金玟岐,去你的岛,2026-08-09,002VaLNk4QcPPE,華語,6xgkCXq7os8,"3,666"
