抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-15,新歌榜,1,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,001TBn1W4Wg2QM,華語,7Buj2xUlZo0,"182,122"
2026-09-15,新歌榜,2,失忆,李佳薇,失忆,2026-09-05,004DtEju33F124,華語,x-oZXNIlJu0,"26,426"
2026-09-15,新歌榜,3,I Love You But I Gotta Let You Go (NINGNING Solo),aespa,SYNK : COMPLaeXITY - 2026 Special Digital Single,2026-09-14,0010bg4l1LWTmv,韓語,If1HVSSs4Ts,"388,347"
2026-09-15,新歌榜,4,思念若是一首诗,万妮达Vinida Weng,思念若是一首诗,2026-09-08,000gRK0i44cAYG,華語,g7NjCbxYQUI,"39,527"
2026-09-15,新歌榜,5,此间是少年,梓渝,梓渝,2026-08-05,003YH7VB1zA0hP,華語,0_ld2Btgweo,"5,575"
2026-09-15,新歌榜,6,信,张月,月章,2026-09-14,003mfwSS42lDZD,華語,IymtQbGwn18,"1,717"
2026-09-15,新歌榜,7,笨蛋,汪苏泷/五月天 阿信,笨蛋,2026-09-09,002B0d2H4VRqQs,華語,j5Kk7dzUj6A,"7,028,778"
2026-09-15,新歌榜,8,此刻,袁娅维TIA RAY,早春晴朗 影视原声带,2026-09-01,002N9Y7U1dHP4I,華語,pPWj5zpyeG8,"204,791"
2026-09-15,新歌榜,9,再一次见面,周深,再一次见面,2026-09-06,0021HGmn1wHoOJ,華語,ezy0WMuqWwo,"109,665"
2026-09-15,新歌榜,10,路过晴朗,汪苏泷,早春晴朗 影视原声带,2026-09-01,001Mu0Lw3X3LnQ,華語,2TUe-RESXeE,"245,585"
2026-09-15,新歌榜,11,说文解字,灯叔/方大树,说文解字,2026-08-29,000bCM2f3nhooK,華語,45OKCZb0Zlk,"23,642"
2026-09-15,新歌榜,12,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,003sbk7o3sytRU,西洋,46h0LvDHgIs,"19,562,005"
2026-09-15,新歌榜,13,冰箱没有鸡蛋,马嘉祺,心室,2026-09-07,003rucaJ1vkeYx,華語,XU-c7XSFJFw,"22,892"
2026-09-15,新歌榜,14,해줘 (就骗我一次),沈佳润Nina,WHY NOT ME?,2026-08-30,002z4ttk1mUUb4,華語,-,-
2026-09-15,新歌榜,15,16 Bit (KARINA Solo),aespa,SYNK : COMPLaeXITY - 2026 Special Digital Single,2026-09-14,000OhJpT0qSFXW,韓語,MD36f_hPXHc,"311,026"
2026-09-15,新歌榜,16,破局者,张杰,破局者,2026-09-12,001uop2Z4LajQ6,華語,vZMVrZuZfU8,"1,923"
2026-09-15,新歌榜,17,Saddle Up (WINTER Solo),aespa,SYNK : COMPLaeXITY - 2026 Special Digital Single,2026-09-14,001o8tFg35JbFV,韓語,qCOvn2GVn6g,"275,188"
2026-09-15,新歌榜,18,甲乙丙丁,李佳薇,甲乙丙丁 (粤语版),2026-09-03,000KrmLU1imE68,華語,YhiQDARUJ7Y,"8,311,793"
2026-09-15,新歌榜,19,世界如此,田栩宁,世界如此,2026-09-11,004c8lwy1OB6qe,華語,z843vmVrfmQ,"6,209"
2026-09-15,新歌榜,20,删了一百遍,A-Lin,删了一百遍,2026-09-01,000Q8gRW2WkkDS,華語,HzpDg83IElA,"276,860"
2026-09-15,新歌榜,21,落空 ​,羊羊,落空 ​,2026-09-03,0044rXbs2ZALDz,華語,-,-
2026-09-15,新歌榜,22,互删 (我走以后),江辰,互删 (我走以后),2026-08-29,000c6NsT1go9hy,華語,dq-FAOsQKGg,"21,997"
2026-09-15,新歌榜,23,我不难过,en (王翊恩),我不难过,2026-09-03,0038DoVG1Lg3kE,華語,WuS9D82hSV4,"114,678"
