抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-07,綜藝新歌榜,1,锈,黄霄雲/TF_ING张子墨,天赐的声音第七季 第8期,2026-07-31,-,-
2026-08-07,綜藝新歌榜,2,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,-,-
2026-08-07,綜藝新歌榜,3,The Gentlemen (绅士们),弹壳/Vinz-T,说唱巅峰对决2026 第6期,2026-08-01,-,-
2026-08-07,綜藝新歌榜,4,一点一滴,张信哲/黄子弘凡,天赐的声音第七季 第8期,2026-07-31,-,-
2026-08-07,綜藝新歌榜,5,别怕我伤心,张远,歌手2026 第11期,2026-08-01,-,-
2026-08-07,綜藝新歌榜,6,野心家,杨丞琳/黄霄雲,天赐的声音第七季 第7期,2026-07-24,-,-
2026-08-07,綜藝新歌榜,7,誓言,窦靖童,歌手2026 第11期,2026-08-01,-,-
2026-08-07,綜藝新歌榜,8,二十二,宋亚轩,国乐无双 第10期,2026-08-01,-,-
2026-08-07,綜藝新歌榜,9,第三人称,杨丞琳/王栎鑫,天赐的声音第七季 第8期,2026-07-31,-,-
2026-08-07,綜藝新歌榜,10,trust me,姚晓棠/Top Barry,天赐的声音第七季 第8期,2026-07-31,-,-
2026-08-07,綜藝新歌榜,11,开始懂了,陈小春,国乐无双 第10期,2026-08-01,-,-
2026-08-07,綜藝新歌榜,12,如果你也这样过,尤长靖,歌手2026 第11期,2026-08-01,-,-
2026-08-07,綜藝新歌榜,13,野草,金志文,国乐无双 第10期,2026-08-01,-,-
2026-08-07,綜藝新歌榜,14,小半,王铮亮/谭松韵,天赐的声音第七季 第2期,2026-06-19,-,-
2026-08-07,綜藝新歌榜,15,迷人的危险,Ghost (王琳凯)/姚晓棠,音你而来3 第9期,2026-06-05,-,-
2026-08-07,綜藝新歌榜,16,我不难过,刘雨昕/欧阳娜娜,天赐的声音第七季 第6期,2026-07-17,-,-
2026-08-07,綜藝新歌榜,17,借过一下,陈小春,国乐无双 第3期,2026-06-06,-,-
2026-08-07,綜藝新歌榜,18,月光与吻痕,杨宗纬/欢子/喻言,天赐的声音第七季 第7期,2026-07-24,-,-
2026-08-07,綜藝新歌榜,19,问爱,Yamy郭颖,说唱巅峰对决2026 第4期,2026-07-18,-,-
2026-08-07,綜藝新歌榜,20,街角的晚风,曾舜晞/姚晓棠,天赐的声音第七季 第1期,2026-06-12,-,-
2026-08-07,綜藝新歌榜,21,苹果香,乌兰图雅/白小白,天赐的声音第七季 第8期,2026-07-31,-,-
