抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-07,新歌榜,1,游向陆地的鱼,梓渝,梓渝,2026-08-05,R-FdIwzlC_s,"35,120"
2026-08-07,新歌榜,2,STRANGE,刘雨昕,STRANGE,2026-08-05,J88kOcG7hmc,"1,172"
2026-08-07,新歌榜,3,金乌 Golden Bird,刘宇/Alan Walker/孙名川Chuanzi Suona,金乌 Golden Bird,2026-08-06,pjw0EksP5oc,"2,343"
2026-08-07,新歌榜,4,过海,王赫野/黄龄,过海,2026-07-16,IgjnQV8WJH8,"5,558"
2026-08-07,新歌榜,5,No More Tomorrow,严浩翔,No More Tomorrow,2026-08-03,Ls6y4JbkNa0,"7,027"
2026-08-07,新歌榜,6,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,JqR0_IFpdcg,"122,045"
2026-08-07,新歌榜,7,野草（致老狗）,曾舜晞,野草（致老狗）,2026-08-05,Zc8PeZe5Ecc,"1,304"
2026-08-07,新歌榜,8,你我怎么两清(甲乙丙丁),半糖记,你我怎么两清(甲乙丙丁),2026-07-08,-,-
2026-08-07,新歌榜,9,周旋,王以太/艾热AIR,太热爱,2026-07-12,6WPWpadfJfI,"465,556"
2026-08-07,新歌榜,10,唯我论者的独白,马嘉祺,唯我论者的独白,2026-07-27,1x0vBteO4jc,"36,579"
2026-08-07,新歌榜,11,山风山风等等我,万海东,山风山风等等我,2026-07-20,dvphcY1G6Ng,"7,276"
2026-08-07,新歌榜,12,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,uEdEBhcf4Gs,"26,723"
2026-08-07,新歌榜,13,无名氏,张真源,无名氏,2026-08-04,6lRRgMEqb2g,"38,337"
2026-08-07,新歌榜,14,也许你就在对岸,张杰,也许你就在对岸,2026-07-30,YPy4E04LErU,"7,643"
2026-08-07,新歌榜,15,DON'T STOP,刘耀文,DON'T STOP,2026-08-05,BVRouFkXMY4,"1,101"
2026-08-07,新歌榜,16,KISS N TELL,aespa,KISS N TELL,2026-07-23,inxzQt78lOk,"7,853,486"
2026-08-07,新歌榜,17,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,h7ITAdTxdxM,"3,125,883"
2026-08-07,新歌榜,18,讨厌情歌,张艺兴,斗战胜佛,2026-07-03,04EJCS9F8cA,723
2026-08-07,新歌榜,19,媚人,薛之谦,媚人,2026-07-17,cxm8b1gOeqk,"228,575"
2026-08-07,新歌榜,20,镜中人:Mirror to me,Capper/周震南,子弹与花期Bullet&Bloom,2026-06-21,8wNJQxVjFEI,"3,535"
2026-08-07,新歌榜,21,petal,Ariana Grande,petal (Explicit),2026-07-31,afSgBNwmZrQ,"21,481,093"
2026-08-07,新歌榜,22,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31,k7SDstVAD78,"1,395,025"
2026-08-07,新歌榜,23,踏马寻花向自由,半吨兄弟,踏马寻花向自由,2026-07-07,-bVRxta_96I,"40,862"
2026-08-07,新歌榜,24,多疑的恋人,王赫野,珍宝 Starlight,2026-06-21,HQLV_zq-MZk,"1,655"
2026-08-07,新歌榜,25,失重色,世勋,失重色,2026-07-29,s_dLEabS-mw,"236,702"
2026-08-07,新歌榜,26,WET,J.Y. Park,WET,2026-07-23,dMf6YlGsv0U,"1,774,121"
2026-08-07,新歌榜,27,别回头 别停留 往前走,苏子墨,别回头 别停留 往前走（宿命版）,2026-07-16,-,-
2026-08-07,新歌榜,28,我曾,菜园子不CAi,我曾,2026-07-14,gUDdbjBZvC8,"4,633"
2026-08-07,新歌榜,29,游京,苏子墨/sunnd,游京(超燃合唱版),2026-07-13,-,-
2026-08-07,新歌榜,30,光阴的故事,轻烟大叔,光阴的故事,2026-07-14,IjUGvBR-PIU,327
2026-08-07,新歌榜,31,Hope,王力宏,Hope,2026-08-04,pZCxXaiW_lQ,"236,438"
2026-08-07,新歌榜,32,异常加载中,TF家族/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,异常加载中,2026-08-02,1265qQnOhfo,"14,067"
2026-08-07,新歌榜,33,kiss me,Ariana Grande,petal (Explicit),2026-07-31,b-9gJ1Gc8rE,"2,870,166"
2026-08-07,新歌榜,34,Animal,KATSEYE,Animal,2026-07-27,m7k9UMcHbr0,"46,053,222"
2026-08-07,新歌榜,35,别哭 我最爱的人,周深深,别哭 我最爱的人（氛围版）,2026-07-10,5hpCLQhHOWI,43
2026-08-07,新歌榜,36,踏马寻花向自由(就别管那么多),徐剑秋,踏马寻花向自由(就别管那么多),2026-07-27,-,-
2026-08-07,新歌榜,37,如约,周深,如约,2026-07-26,CU60L5ck_Vo,"210,367"
2026-08-07,新歌榜,38,红颜旧,周深深,红颜旧（氛围版）,2026-07-10,F3eLllpbK80,66
2026-08-07,新歌榜,39,都有这一天,老中青民谣/小巷先生,都有这一天,2026-07-14,ZwTX6ERygrg,106
2026-08-07,新歌榜,40,清明上河图（同花顺进行曲）,周深深,清明上河图（同花顺进行曲）,2026-07-18,1fIrDx4jQCQ,192
2026-08-07,新歌榜,41,这场雨下完就忘了你,戎大姨,这场雨下完就忘了你,2026-07-11,PXXcAoi_VQg,86
2026-08-07,新歌榜,42,左转灯 (1000 Times+1),派伟俊/mac ova seas,BAD IDEA,2026-07-31,IWB0xk9lR88,"9,686,861"
2026-08-07,新歌榜,43,Pretty Much（半夏心动）,赵希予,Pretty Much（半夏心动）,2026-07-17,-,-
2026-08-07,新歌榜,44,Badi Badi,王俊凯,WJK,2026-07-08,Ta9HWjNTJ8c,"19,838"
2026-08-07,新歌榜,45,我只要我开心,时代少年团,我只要我开心,2026-07-13,ISN_veOMtpM,"45,967"
2026-08-07,新歌榜,46,说了再见,弦子,说了再见,2026-08-02,7wqNuafSKog,"4,979"
