抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-09-02,新歌榜,1,天生刺猬,张月,天生刺猬,2026-08-31,華語,HaL5Y1j2bbo,"4,297"
2026-09-02,新歌榜,2,异形,李昊,异形,2026-09-01,華語,RYGJYgUi9Bo,219
2026-09-02,新歌榜,3,删了一百遍,A-Lin,删了一百遍,2026-09-01,華語,HzpDg83IElA,"9,203"
2026-09-02,新歌榜,4,昨天，今天,莫文蔚,昨天，今天,2026-08-25,華語,Z92SE7ZSTRg,"15,468"
2026-09-02,新歌榜,5,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,西洋,46h0LvDHgIs,"15,420,534"
2026-09-02,新歌榜,6,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,華語,7Buj2xUlZo0,"55,475"
2026-09-02,新歌榜,7,没有你是漫长雨季,梓渝,梓渝,2026-08-05,華語,upblmi2XwGs,"10,329"
2026-09-02,新歌榜,8,VIBE,展轩,VIBE,2026-08-31,華語,SHGoXIGYihg,"1,063"
2026-09-02,新歌榜,9,路过晴朗,汪苏泷,早春晴朗 影视原声带,2026-09-01,華語,2TUe-RESXeE,"103,535"
2026-09-02,新歌榜,10,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,UsbRoaH6y-Q,"8,452,024"
2026-09-02,新歌榜,11,唯有追赶风的方向 (Only By Chasing the Wind),知更鸟/HOYO-MiX/Chevy,崩坏星穹铁道-唯有追赶风的方向 Only By Chasing the Wind,2026-08-26,西洋,mFaxZdS6nYo,"19,317"
2026-09-02,新歌榜,12,薛定谔的雨,希林娜依高,薛定谔的雨,2026-08-31,華語,cTONGicNHXU,48
2026-09-02,新歌榜,13,情网,半吨兄弟,情网（烟嗓版）,2026-08-25,華語,7BtnY-VDMD0,"2,774"
2026-09-02,新歌榜,14,好的,黄子弘凡,好的,2026-08-29,華語,et9NUVxD5nU,"220,432"
2026-09-02,新歌榜,15,莫忙,乡野低频,莫忙,2026-08-13,華語,xgQMemPpnmI,"21,144"
2026-09-02,新歌榜,16,傻女,王栎鑫,傻女,2026-08-26,華語,8eZl7NVFxlo,459
2026-09-02,新歌榜,17,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,華語,QPcvwly2pVY,"37,418"
2026-09-02,新歌榜,18,GRLS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,西洋,pHciG9_2xXM,"8,156,855"
2026-09-02,新歌榜,19,My Jealousy,于梓贝,My Jealousy(粤语版),2026-08-21,西洋,-,-
2026-09-02,新歌榜,20,Hope to Remain,严浩翔,Scary Movie Ⅱ: Same Face,2026-08-24,西洋,R1FhekboG9I,"6,611"
2026-09-02,新歌榜,21,说文解字,灯叔/方大树,说文解字,2026-08-29,華語,45OKCZb0Zlk,"6,324"
2026-09-02,新歌榜,22,MONEYMONEYMONEY,CORTIS,GREENGREEN_playextended,2026-08-23,西洋,OhdvNHmJDsw,"4,569,494"
2026-09-02,新歌榜,23,我要幽默,李宇春,我要幽默,2026-08-28,華語,tJm_TeOY8LA,264
2026-09-02,新歌榜,24,不是我不小心,半吨兄弟,不是我不小心,2026-08-23,華語,PmU7ydq30ZE,9
2026-09-02,新歌榜,25,此刻,袁娅维TIA RAY,早春晴朗 影视原声带,2026-09-01,華語,pPWj5zpyeG8,"23,661"
2026-09-02,新歌榜,26,不要问风往哪吹,杨友友/烟嗓船长,不要问风往哪吹(合唱版),2026-08-29,華語,z4n5ADyhijY,63
2026-09-02,新歌榜,27,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,韓語,hGqYdubpcCM,"26,165,963"
2026-09-02,新歌榜,28,回到小村落,吕口口,回到小村落（女声版）,2026-08-21,華語,Pvk0Iq7soAg,236
2026-09-02,新歌榜,29,此间是少年,梓渝,梓渝,2026-08-05,華語,0_ld2Btgweo,"3,788"
2026-09-02,新歌榜,30,顺其自然,国产阿发,顺其自然,2026-08-19,華語,2fGDe6QVypA,"81,956"
2026-09-02,新歌榜,31,海角七号,赵乃吉,海角七号,2026-08-28,華語,hJ3aMhhd05M,"3,616"
2026-09-02,新歌榜,32,莎啦啦,孙颖莎/JKZQ,莎啦啦,2026-08-26,華語,-,-
2026-09-02,新歌榜,33,请勿打扰,喻言,请勿打扰,2026-08-22,華語,B7DKa-nJxxo,"1,195"
2026-09-02,新歌榜,34,踏马寻花向自由,轻烟大叔,踏马寻花向自由,2026-08-04,華語,-,-
2026-09-02,新歌榜,35,贰拾肆,梓渝,梓渝,2026-08-05,華語,zeGLBhDbwt0,"78,722"
2026-09-02,新歌榜,36,打开2.0,黄霄雲,打开2.0,2026-08-30,華語,KiEXI8y4RmA,"10,396"
2026-09-02,新歌榜,37,擦干眼泪爱你,杨友友/烟嗓船长,擦干眼泪爱你 (合唱版),2026-08-10,華語,NiOVOr1m46Q,143
2026-09-02,新歌榜,38,时间漫步,梓渝,梓渝,2026-08-05,華語,8iqJ7dGVW50,"6,941"
2026-09-02,新歌榜,39,混帐,周柏豪,混帐,2026-08-28,華語,NozeuYNO7F4,"145,392"
2026-09-02,新歌榜,40,RUN IT,梓渝,梓渝,2026-08-05,華語,ovZ4T3Hv7RQ,"88,453"
2026-09-02,新歌榜,41,想你的我像一只猫,黄灿灿,想你的我像一只猫,2026-08-31,華語,RucJMj5-d94,"1,821"
2026-09-02,新歌榜,42,TOP的第一首抒情歌,TOP登陆少年组合,TOP的第一首抒情歌,2026-08-29,華語,wb-B681nqNM,"4,665"
2026-09-02,新歌榜,43,呆头鸟,礼越,呆头鸟,2026-08-15,華語,I5u4kx4EoqM,"7,166"
2026-09-02,新歌榜,44,你不该权衡利弊,李婷雪,你不该权衡利弊,2026-08-17,華語,7IlEG5xPHrQ,"55,011"
2026-09-02,新歌榜,45,山风不语,正在进行石女士,山风不语,2026-08-18,華語,rLIFDSRzO5M,4
2026-09-02,新歌榜,46,连带保证人,姚晓棠,连带保证人,2026-08-31,華語,k1rtFz1oRCA,"13,442"
2026-09-02,新歌榜,47,耗尽浪漫,BZ1/吴岱林,耗尽浪漫,2026-08-24,華語,-VVBysKO1DE,222
2026-09-02,新歌榜,48,山风山风等等我,吕口口,山风山风等等我,2026-08-06,華語,NCKRAlzlH7M,43
2026-09-02,新歌榜,49,思念漫过海岸线,欢子,思念漫过海岸线,2026-08-28,華語,SMmvLT8pnnA,571
2026-09-02,新歌榜,50,SLEEP,The Kid LAROI,SLEEP,2026-08-28,西洋,AYdciDsNv4E,"977,541"
2026-09-02,新歌榜,51,致亲爱的自己,梓渝,梓渝,2026-08-05,華語,-sgLTL_8Wwg,"5,407"
2026-09-02,新歌榜,52,渝人码头,梓渝,梓渝,2026-08-05,華語,QH7D9S0XhZs,"4,421"
2026-09-02,新歌榜,53,PACK IT UP,CORTIS,GREENGREEN_playextended,2026-08-23,西洋,Eg4-vCHc7eQ,"1,390,923"
2026-09-02,新歌榜,54,Setsuna Hanabi,TOMORROW X TOGETHER,Setsuna Hanabi,2026-08-16,日語,Z5pGz8fkaDQ,"1,741,176"
2026-09-02,新歌榜,55,Training Season (London Sessions),Dua Lipa,Training Season's Over,2026-08-28,西洋,3DcoC8p9az8,"99,950,516"
2026-09-02,新歌榜,56,驶向夏日的隧道,陈少熙,驶向夏日的隧道,2026-08-31,華語,0icf4cmYyG4,106
2026-09-02,新歌榜,57,游向陆地的鱼,梓渝,梓渝,2026-08-05,華語,R-FdIwzlC_s,"64,643"
2026-09-02,新歌榜,58,闯,梓渝,梓渝,2026-08-05,華語,LmBWpdMxWgU,"24,695"
2026-09-02,新歌榜,59,如果你也刚好抬头望,王巨星,如果你也刚好抬头望,2026-08-18,華語,Cqce0ZmxDJA,"1,468"
2026-09-02,新歌榜,60,只为爱与自由,大张伟,只为爱与自由,2026-08-22,華語,VyfOmU7QUH8,127
2026-09-02,新歌榜,61,不回头的人,梓渝,梓渝,2026-08-05,華語,hG6H-Gi4lNU,"3,814"
2026-09-02,新歌榜,62,我们总是喜欢在夏天讨论永远,时代少年团,加冠,2026-08-25,華語,AH2ibOsKgzs,"102,719"
2026-09-02,新歌榜,63,借一阵自由晚风,郑鱼,借一阵自由晚风,2026-08-08,華語,-,-
2026-09-02,新歌榜,64,孤独的葡萄酒,卢润泽,孤独的葡萄酒,2026-08-11,華語,07dcSqTvqC8,284
2026-09-02,新歌榜,65,如果累了就回故乡,酷酷里/面妹孔佳奇,如果累了就回故乡,2026-08-13,華語,TlIciP4_aMA,438
2026-09-02,新歌榜,66,Stay With Me -破碎氛围感,拖鞋pd/Andree Son/Ameriie,You‘re a Cipher-空灵进行曲,2026-08-03,西洋,-,-
2026-09-02,新歌榜,67,等风来等花开,曲肖冰/凤璃,等风来等花开,2026-08-05,華語,-,-
2026-09-02,新歌榜,68,旧记忆,黄子韬/刘宇宁,旧记忆,2026-08-20,華語,VvDUInqyDuQ,"56,918"
2026-09-02,新歌榜,69,最遗憾的朋友,承桓,最遗憾的朋友,2026-08-18,華語,hkeIg4BBsfk,"101,697"
2026-09-02,新歌榜,70,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,華語,xBOmrRTzi9M,"33,964"
2026-09-02,新歌榜,71,Little Songs(无人知晓的小歌),七元,Little Songs(无人知晓的小歌),2026-08-07,華語,zxwR7ZG4bH4,70
2026-09-02,新歌榜,72,这城市那么空这回忆那么凶,安北辰,这城市那么空这回忆那么凶,2026-08-03,華語,-,-
2026-09-02,新歌榜,73,出卖,轻烟大叔,出卖,2026-08-26,華語,-,-
2026-09-02,新歌榜,74,杀破狼,萧泽,杀破狼,2026-08-13,華語,Dgq9BadXDhw,"66,228"
2026-09-02,新歌榜,75,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,華語,-iv04Ej2qac,118
2026-09-02,新歌榜,76,命运好幽默让爱的人都沉默,周深深,命运好幽默让爱的人都沉默,2026-08-15,華語,-,-
2026-09-02,新歌榜,77,你爱我究竟有几分,阿美呀,你爱我究竟有几分,2026-08-17,華語,DG_W8HDujxU,538
2026-09-02,新歌榜,78,BiiiG,BIGBANG,BiiiG,2026-08-19,韓語,L8ZnXgbyUuc,"13,792,122"
2026-09-02,新歌榜,79,仿佛又在那天醒来,黄星,仿佛又在那天醒来,2026-08-25,華語,8uqJNE9GUPg,"21,628"
2026-09-02,新歌榜,80,飞向别人的海,Big Cole/晚月moon,飞向别人的海,2026-08-12,華語,-,-
2026-09-02,新歌榜,81,SPARK TO FIRE 星火成焰,TOP登陆少年组合,SPARK TO FIRE 星火成焰,2026-08-21,華語,Z6v3Qbn2luk,"2,725"
2026-09-02,新歌榜,82,爱久见人心,赵乃吉,爱久见人心,2026-08-02,華語,1TJ4DXlfcTc,"28,007"
2026-09-02,新歌榜,83,Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,Think About It,2026-08-07,華語,p-LnAnYPo4I,"25,715"
2026-09-02,新歌榜,84,Be Fine Hot Cold-高燃旋律,拖鞋pd/Andree Son/野马.,Spot Light-聚光灯闪耀-女声Live,2026-08-04,華語,-,-
2026-09-02,新歌榜,85,你的眼睛背叛你的心,卢润泽,卢润泽翻唱合集,2026-07-25,華語,-,-
2026-09-02,新歌榜,86,知了,我是小力气,知了,2026-08-25,華語,7mUGw_PbexQ,"2,801"
2026-09-02,新歌榜,87,我不该动情,吕口口,我不该动情,2026-08-12,華語,B4hRfZy2ZVg,57
2026-09-02,新歌榜,88,静音恋人 (两颗缠绕的心),邹沛沛,静音恋人,2026-08-12,華語,-Hl1gke4U48,"2,075"
2026-09-02,新歌榜,89,Money Much（钞级夏天）,赵希予,Money Much（钞级夏天）,2026-08-15,華語,-,-
2026-09-02,新歌榜,90,FALLEN ANGEL,JENNIE,Fallen Angel (Digital EP) [Explicit],2026-08-28,西洋,s466YCiHfKw,"17,969,383"
2026-09-02,新歌榜,91,ICONIC HEART,Hearts2Hearts,ICONIC HEART,2026-08-09,西洋,chl0R8C4NJ8,"7,562,436"
2026-09-02,新歌榜,92,故香,张艺兴,故香,2026-08-22,華語,EDpcOGXmZ_A,"26,833"
2026-09-02,新歌榜,93,Empty,Sasha Alex Sloan,Empty,2026-08-21,西洋,jv9GMCgWJhs,"367,827"
2026-09-02,新歌榜,94,我要你回来 (I wish you come back),TOP登陆少年组合,我要你回来 (I wish you come back),2026-08-28,華語,Pno0eV_qTlI,"9,996"
2026-09-02,新歌榜,95,Pay That Toll,OneRepublic,Pay That Toll,2026-08-28,西洋,mzFnjFy0puY,"823,501"
2026-09-02,新歌榜,96,烟火,赵乃吉,烟火,2026-08-22,華語,eF_8o-NUYdQ,"1,873,389"
2026-09-02,新歌榜,97,螺旋 - RASEN - Acoustic Ver. -,9Lana,螺旋 - RASEN - Acoustic Ver. -,2026-08-23,日語,aD9R2R8Fix4,"139,200"
2026-09-02,新歌榜,98,Crossfire,张艺兴,Crossfire,2026-08-14,西洋,3ZbdF6mRmHY,"1,717"
2026-09-02,新歌榜,99,吹吹山顶的风,杨小壮,吹吹山顶的风,2026-08-05,華語,relM8XBrdpM,"5,727"
2026-09-02,新歌榜,100,别说我的眼泪你无所谓,周深深,别说我的眼泪你无所谓,2026-08-19,華語,-,-
