抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-13,綜藝新歌榜,1,Dancing With Your Ghost (与你的幻影共舞),张靓颖/黄子弘凡,天赐的声音第七季 第12期,2026-09-04,0045pmLK2eEr18,西洋,Qlc13FMGKgc,"31,117"
2026-09-13,綜藝新歌榜,2,甲乙丙丁 (你我怎么两清),张碧晨/侯明昊,天赐的声音第七季 第11期,2026-08-21,001yKMAF26Wg6A,華語,7H1ObJvb7Hc,"1,738,194"
2026-09-13,綜藝新歌榜,3,读心术,欧阳娜娜/姚晓棠,天赐的声音第七季 第12期,2026-09-04,0020E3rn1tCnnF,華語,Cm2ue6JYauY,"148,274"
2026-09-13,綜藝新歌榜,4,侧脸,黄霄雲/刘端端,天赐的声音第七季 第12期,2026-09-04,004RDaL83R2a1H,華語,2v1YURVY_rA,"200,232"
2026-09-13,綜藝新歌榜,5,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,000qBZgr2uL9wX,華語,zlAjS20q9pE,"2,134,208"
2026-09-13,綜藝新歌榜,6,Boss Life (狂放人生),弹壳,说唱巅峰对决2026 第11期,2026-09-05,001FqGGS1c2uX6,華語,BAo_GmiBog0,"274,196"
2026-09-13,綜藝新歌榜,7,听闻爱情,张信哲/杨丞琳,天赐的声音第七季 第12期,2026-09-04,0045wRvE1pQTUN,華語,sQyN3O8LuWw,"21,618"
2026-09-13,綜藝新歌榜,8,你的眼神,张彬彬/王赫野/管健嘉晨,披荆斩棘2026 二公,2026-09-05,002Vm12y0xGrdl,華語,WdY_Jl0xR1k,"1,327"
2026-09-13,綜藝新歌榜,9,循迹,王铮亮/李佳薇,天赐的声音第七季 第11期,2026-08-21,001w24Dl03KSqt,華語,tQfQ5RONDno,"175,212"
2026-09-13,綜藝新歌榜,10,颜如玉2.0,李大奔BENZO/严浩翔/Rapeter,说唱巅峰对决2026 第9期,2026-08-22,004GCD0Y38yopk,華語,caC5IgU0JLY,"66,352"
2026-09-13,綜藝新歌榜,11,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,0040Tlxh4YNKr3,華語,QPcvwly2pVY,"45,846"
2026-09-13,綜藝新歌榜,12,爆了,古巨基/黄子弘凡,天赐的声音第七季 第12期,2026-09-04,003Jffiv2U9e7O,華語,yjuLkHirCp8,"17,653"
2026-09-13,綜藝新歌榜,13,我恨我爱你,张碧晨/余佳运,天赐的声音第七季 第12期,2026-09-04,0007HP3n3eHanX,華語,Fr9kkQ6db0A,"119,339"
2026-09-13,綜藝新歌榜,14,哀人i,余文乐/艾热AIR/王以太,披荆斩棘2026  一公,2026-08-22,000t0bMC1Iirsa,華語,axxMKKc5GJM,"16,472"
2026-09-13,綜藝新歌榜,15,"You Are,We Are (你我同行)",张碧晨,天赐的声音第七季 第12期,2026-09-04,003w0LZr3JQwaO,華語,znUpOxlhU_M,"3,030"
2026-09-13,綜藝新歌榜,16,野心家,杨丞琳/黄霄雲,天赐的声音第七季 第7期,2026-07-24,000h856j4boYlf,華語,MJZc-Dg5WeQ,"1,885,593"
2026-09-13,綜藝新歌榜,17,街角的晚风,曾舜晞/姚晓棠,天赐的声音第七季 第1期,2026-06-12,002AzLZe0SL2nv,華語,bLvvnIB9MCY,"1,115,455"
2026-09-13,綜藝新歌榜,18,借过一下,陈小春,国乐无双 第3期,2026-06-06,001nsTl40PmvMo,華語,RTXUDa2f48w,"2,164,647"
2026-09-13,綜藝新歌榜,19,迷人的危险,Ghost (王琳凯)/姚晓棠,音你而来3 第9期,2026-06-05,000KHMkG02tKM2,華語,K5t-1v-IZ9k,"761,074"
2026-09-13,綜藝新歌榜,20,樱花草,黄子弘凡/姚晓棠,天赐的声音第七季 第11期,2026-08-21,004UQqKK1huYWy,華語,Gms1sdNwoC0,"416,212"
2026-09-13,綜藝新歌榜,21,交个朋友,弹壳,说唱巅峰对决2026 第7期,2026-08-08,001iqZ091ASR89,華語,KdiYwBvQVnY,"284,938"
2026-09-13,綜藝新歌榜,22,小半,王铮亮/谭松韵,天赐的声音第七季 第2期,2026-06-19,003MoA7q4DOuG4,華語,AJSvQ8HOzGY,"1,213,180"
2026-09-13,綜藝新歌榜,23,一半一半,宋亚轩,国乐无双 第12期,2026-08-15,002NcyC73DdChW,華語,q8NYT7blIAM,"137,732"
2026-09-13,綜藝新歌榜,24,colt.45 (烈驹45号),弹壳,说唱巅峰对决2026 第1期,2026-06-27,003inbbd2llluQ,華語,2MFEhEgTmn0,"1,706,899"
2026-09-13,綜藝新歌榜,25,天后,付辛博/姜潮,天赐的声音第七季 第10期,2026-08-14,000y4KP62CXyvR,華語,eS60B20HFP4,"156,508"
2026-09-13,綜藝新歌榜,26,开始懂了,陈小春,国乐无双 第10期,2026-08-01,001dinly47ehoL,華語,p20EtodL7Ug,"361,654"
2026-09-13,綜藝新歌榜,27,The Gentlemen (绅士们),弹壳/Vinz-T,说唱巅峰对决2026 第6期,2026-08-01,000YaMKi0XvyTY,華語,fUxHPVv5dmw,"603,064"
2026-09-13,綜藝新歌榜,28,我不难过,刘雨昕/欧阳娜娜,天赐的声音第七季 第6期,2026-07-17,000XeMVb0noHF3,華語,y_sILJY8wus,"608,714"
2026-09-13,綜藝新歌榜,29,一格格,曾舜晞/Mike 曾比特,天赐的声音第七季 第12期,2026-09-04,002hfbQW1b8u5T,華語,_TPKqbv2_Hk,"58,077"
2026-09-13,綜藝新歌榜,30,锈,黄霄雲/TF_ING张子墨,天赐的声音第七季 第8期,2026-07-31,002JA4VZ0pp7M9,華語,PCbm4Vt6Dh4,"427,984"
2026-09-13,綜藝新歌榜,31,失忆,李佳薇/庄心妍,天赐的声音第七季 第12期,2026-09-04,001RqypQ0f40S8,華語,__JgR79AqR8,"76,779"
2026-09-13,綜藝新歌榜,32,1993,辉子,说唱巅峰对决2026 第10期,2026-08-29,002EfZId1BNK9j,華語,NRaRnYwkE9E,"158,970"
2026-09-13,綜藝新歌榜,33,HowToDance (摇就完了),Yamy郭颖,说唱巅峰对决2026 第11期,2026-09-05,00227tUk1zCddp,華語,r-pEQ83ZBa0,"90,638"
2026-09-13,綜藝新歌榜,34,是非题,王赫野,音你而来3 第1期,2026-04-10,0047eiJI0p7hUW,華語,sc9LdPzku6Y,"1,703,118"
2026-09-13,綜藝新歌榜,35,走马,阿云嘎/米卡/颜安,披荆斩棘2026  一公,2026-08-22,004EaDCK3GKb2c,華語,B5trO9i01r4,"4,836"
