抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-29,新歌榜,1,Hope to Remain,严浩翔,Scary Movie Ⅱ: Same Face,2026-08-24,西洋,R1FhekboG9I,"4,138"
2026-08-29,新歌榜,2,唯有追赶风的方向 (Only By Chasing the Wind),知更鸟/HOYO-MiX/Chevy,崩坏星穹铁道-唯有追赶风的方向 Only By Chasing the Wind,2026-08-26,西洋,mFaxZdS6nYo,"9,060"
2026-08-29,新歌榜,3,傻女,王栎鑫,傻女,2026-08-26,華語,8eZl7NVFxlo,249
2026-08-29,新歌榜,4,没有你是漫长雨季,梓渝,梓渝,2026-08-05,華語,upblmi2XwGs,"6,600"
2026-08-29,新歌榜,5,请勿打扰,喻言,请勿打扰,2026-08-22,華語,B7DKa-nJxxo,721
2026-08-29,新歌榜,6,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,西洋,46h0LvDHgIs,"8,779,803"
2026-08-29,新歌榜,7,此间是少年,梓渝,梓渝,2026-08-05,華語,0_ld2Btgweo,"2,776"
2026-08-29,新歌榜,8,莎啦啦,孙颖莎/JKZQ,莎啦啦,2026-08-26,華語,-,-
2026-08-29,新歌榜,9,MONEYMONEYMONEY,CORTIS,GREENGREEN_playextended,2026-08-23,西洋,OhdvNHmJDsw,"3,231,480"
2026-08-29,新歌榜,10,时光你等等我,郭芊彤,时光你等等我,2026-07-29,華語,WA65QQQzzE4,"2,841"
2026-08-29,新歌榜,11,猜不透,张予曦,猜不透,2026-08-26,華語,xEJ9ZqMVUhg,"53,633"
2026-08-29,新歌榜,12,여름의 속도,WINTER,여름의 속도,2026-08-27,韓語,YTeFLKMnwjg,"2,805,517"
2026-08-29,新歌榜,13,仿佛又在那天醒来,黄星,仿佛又在那天醒来,2026-08-25,華語,8uqJNE9GUPg,"4,402"
2026-08-29,新歌榜,14,SPARK TO FIRE 星火成焰,TOP登陆少年组合,SPARK TO FIRE 星火成焰,2026-08-21,華語,Z6v3Qbn2luk,"2,158"
2026-08-29,新歌榜,15,你不该权衡利弊,李婷雪,你不该权衡利弊,2026-08-17,華語,7IlEG5xPHrQ,"23,493"
2026-08-29,新歌榜,16,莫忙,乡野低频,莫忙,2026-08-13,華語,xgQMemPpnmI,"11,230"
2026-08-29,新歌榜,17,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,UsbRoaH6y-Q,"7,803,048"
