抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-20,抖音熱歌榜,50,空心,光泽,光泽,2017-01-05,PXnhdl_URro,"19,462,857"
2026-08-20,抖音熱歌榜,51,第57次取消发送,菲菲公主（陆绮菲）,第57次取消发送,2025-02-10,gHk8MIx6nfY,"17,527,159"
2026-08-20,抖音熱歌榜,52,虚拟,陈粒,小梦大半,2016-07-26,qxjYJVz64LQ,"6,465,316"
2026-08-20,抖音熱歌榜,53,青花,周传雄,蓝色土耳其,2007-10-24,WfYO_Q2n-Vk,"3,356,681"
2026-08-20,抖音熱歌榜,54,愿与愁,林俊杰,重拾_快乐,2023-04-21,MISqtaNt1vg,"6,848,152"
2026-08-20,抖音熱歌榜,55,奢香夫人,凤凰传奇,最炫民族风,2009-06-02,i6W3qRIH1kc,"2,649,433"
2026-08-20,抖音熱歌榜,56,有何不可,许嵩,自定义,2009-01-10,_2f-7oQIS8M,"6,240,040"
2026-08-20,抖音熱歌榜,57,一直很安静,阿桑,仙剑奇侠传 电视剧原声带,2005-01-21,XQgXzPFZbzA,"6,231,025"
2026-08-20,抖音熱歌榜,58,离开我的依赖,王艳薇,离开我的依赖,2020-02-17,RFNRzN3jDmk,"32,208,703"
2026-08-20,抖音熱歌榜,59,感谢你曾来过,Ayo97/周思涵,卧龙与酒,2020-03-26,hVlmlDwhpWY,"107,702,575"
2026-08-20,抖音熱歌榜,60,天外来物,薛之谦,天外来物,2020-12-31,fvkKk5ozyeI,"7,948,261"
2026-08-20,抖音熱歌榜,61,心墙,郭静,在树上唱歌,2009-05-22,VhCRokYVF1I,"31,923,860"
2026-08-20,抖音熱歌榜,62,会呼吸的痛,梁静茹,崇拜,2007-11-09,TY3nj5ANRrk,"11,979,049"
2026-08-20,抖音熱歌榜,63,我好像在哪见过你,薛之谦,初学者,2016-07-18,4krYbNuNdPo,"7,551,889"
2026-08-20,抖音熱歌榜,64,勋章,鹿晗,勋章,2015-10-14,OF5WnhcZnFU,"3,755,399"
2026-08-20,抖音熱歌榜,65,Come Back To Me,Utada,This Is The One (Japanese version),2009-12-23,CKPA8L5ZpqU,"33,993,164"
2026-08-20,抖音熱歌榜,66,此生不换,青鸟飞鱼,仙剑奇侠传三 电视剧原声带,2009-06-18,yz80TCsFDaA,"1,716,953"
2026-08-20,抖音熱歌榜,67,倒数,G.E.M. 邓紫棋,另一个童话,2018-08-16,ma7r2HGqwXs,"153,147,554"
2026-08-20,抖音熱歌榜,68,牵丝戏,银临/Aki阿杰,牵丝戏,2015-01-01,C6YobfNjeqc,"13,387,754"
2026-08-20,抖音熱歌榜,69,来不及爱你,h3R3刘清云,来不及爱你,2023-07-30,CtppsmagVVs,"895,633"
2026-08-20,抖音熱歌榜,70,海阔天空,BEYOND,乐与怒,1993-05-14,qu_FSptjRic,"178,900,132"
2026-08-20,抖音熱歌榜,71,最好的我,龚芝怡/房祖名,55:38:07,2010-05-14,0zmmHNGHRds,"4,464,256"
2026-08-20,抖音熱歌榜,72,可不可以,张紫豪,可不可以,2018-05-03,hgIDXTmmgDg,"149,432,058"
2026-08-20,抖音熱歌榜,73,恶作剧,王蓝茵,恶作剧之吻 电视剧原声带,2005-10-14,VaSjWclJKGE,"22,591,638"
2026-08-20,抖音熱歌榜,74,十年,陈奕迅,黑白灰,2003-04-15,tjr3SrCg3pc,"13,450,957"
2026-08-20,抖音熱歌榜,75,指纹,杜宣达,指纹,2021-11-02,oAxs4Ou1N_M,"18,013,492"
2026-08-20,抖音熱歌榜,76,Letting Go,蔡健雅,说到爱,2011-11-18,SMXWjumui5s,"20,999,422"
2026-08-20,抖音熱歌榜,77,十面埋伏,陈奕迅,Live For Today,2003-07-22,7t2wtSSIF1I,"6,106,371"
2026-08-20,抖音熱歌榜,78,如果可以,韦礼安,如果可以,2021-11-05,8MG--WuNW1Y,"206,317,772"
2026-08-20,抖音熱歌榜,79,不将就,李荣浩,有理想,2016-01-22,a9ot-Fa9KHk,"32,661,742"
2026-08-20,抖音熱歌榜,80,葡萄成熟时,陈奕迅,U 87,2005-06-07,NCsVnmmNA3E,"11,037,246"
2026-08-20,抖音熱歌榜,81,一样的月光,徐佳莹,LaLa首张创作专辑,2009-05-29,J28oOfvNVD8,"9,895,532"
2026-08-20,抖音熱歌榜,82,爱的回归线,陈韵若/陈每文,爱情公寓3 电视剧原声带,2012-07-31,SYZFnqPXLGI,"138,579"
2026-08-20,抖音熱歌榜,83,你瞒我瞒,陈柏宇,Close Up,2009-05-13,JWcuUHVD4Ng,"40,940,570"
2026-08-20,抖音熱歌榜,84,认真的雪,薛之谦,薛之谦,2006-06-09,Un8kwjcpKZA,"17,317,387"
2026-08-20,抖音熱歌榜,85,泡沫,G.E.M. 邓紫棋,Xposed,2012-07-05,mGeiABBB5f8,"18,967,040"
2026-08-20,抖音熱歌榜,86,别怕变老,王以太/艾热AIR,幸存者的负罪感 (Explicit),2021-09-09,97--ipTEtJs,"5,377,864"
2026-08-20,抖音熱歌榜,87,到时说爱我,茜拉 (Shila Amzah),心旅,2016-04-30,4C8E7KA7kxE,"1,839,016"
2026-08-20,抖音熱歌榜,88,不遗憾,李荣浩,你的婚礼 电影原声带,2021-05-08,u5ZsoP8FZUQ,"25,377,245"
2026-08-20,抖音熱歌榜,89,如果爱忘了,汪苏泷/单依纯,声生不息·家年华 第12期,2024-02-17,40iCGaUhTbE,"29,620,058"
2026-08-20,抖音熱歌榜,90,句号,G.E.M. 邓紫棋,摩天动物园,2019-12-27,7XlqcS6B7WA,"66,486,856"
2026-08-20,抖音熱歌榜,91,刻在我心底的名字,卢广仲,刻在我心底的名字,2020-08-25,m78lJuzftcc,"81,330,009"
2026-08-20,抖音熱歌榜,92,雨天,孙燕姿,My Story 2006 新歌+精选,2006-09-21,n3-ZMNOeL6M,"6,491,049"
2026-08-20,抖音熱歌榜,93,幻听,许嵩,梦游计,2012-07-11,IdI4JOqlvVU,"3,789,664"
2026-08-20,抖音熱歌榜,94,夏夜最后的烟火,颜人中,夏夜最后的烟火,2024-01-01,SVdZy0uZBUg,"13,088,553"
2026-08-20,抖音熱歌榜,95,Beauty And A Beat,Justin Bieber/Nicki Minaj,Believe (Deluxe Edition),2012-01-01,Ys7-6_t7OEQ,"1,345,598,286"
2026-08-20,抖音熱歌榜,96,红豆,王菲,唱游,1998-10-02,5wmfXve11rM,"51,631,612"
2026-08-20,抖音熱歌榜,97,至少还有你,林忆莲,林忆莲's,2000-01-18,pQlAWZLOpgo,"41,924,904"
2026-08-20,抖音熱歌榜,98,爱情讯息,郭静,下一个天亮,2008-05-09,t7Q-MkGfdHg,"1,579,590"
2026-08-20,抖音熱歌榜,99,就是爱你,陶喆,太平盛世,2005-01-21,EvIXazCYOls,"9,290,770"
2026-08-20,抖音熱歌榜,100,你要的全拿走,胡彦斌,覅忒好,2018-01-26,9HDHnU-Vl0g,"60,033,056"
