video_id,yt_title,baseline_views,baseline_date,歌名,歌手,Initial Views,Initial Date
h3596Dg4HT8,红尘慌慌（《百花杀》影视剧主题曲/片尾曲）,220950.0,2026-08-11,-,-,-,-
qu_FSptjRic,BEYOND【海闊天空】Music Video (粵) (HD),178388156.0,2026-08-11,-,-,-,-
vBTC8F3onuM,旧年（《家业》电视剧情感主题曲）,131711.0,2026-08-11,-,-,-,-
tYWufUugeUc,莫文蔚 Karen Mok【陰天 Overcast】Official Music Video,16643047.0,2026-08-11,-,-,-,-
kBQ3Vs05XOI,【影視劇ost】袁婭維TIA RAY | 等雨停下《迷墙》電視劇主題曲 Maze Wall OST #郭京飛 #任素汐 #lyrics,4412.0,2026-08-11,-,-,-,-
awKxszb6PL4,知我（《雀骨》影视剧心动曲）,79748.0,2026-08-11,-,-,-,-
sRKFWX1CAwE,【纯享版】#周柏豪 和#欢子 粤语全新演绎陈奕迅《爱情转移》！ 周柏豪一开口就是粤语情歌“天花板“！#天赐的声音7 EP4 20260703,145294.0,2026-08-11,-,-,-,-
owhc05vrXeU,尚能独舞,2108.0,2026-08-11,-,-,-,-
B2mcoN1lHPY,colt.45 (烈驹45号) (Live),82935.0,2026-08-11,-,-,-,-
jjZXc_LJ2YY,李佳薇 - 甲乙丙丁 (你我怎么两清)『你我 怎么两清 怎么忍心，怎么做回甲乙丙丁。』【动态歌词MV】,945287.0,2026-08-11,-,-,-,-
t5EsOq3E6bI,Blue Hour,66606.0,2026-08-11,-,-,-,-
Nd3MdEgENt4,好想好想,297.0,2026-08-11,-,-,-,-
jAI0LeyASwI,Sunburst,270943.0,2026-08-11,-,-,-,-
p-LnAnYPo4I,Think About It,3294.0,2026-08-11,-,-,-,-
UbhiNvrPNa8,王艳薇 - 离开我的依赖『我来不及道声不安，有点混乱有点缓慢。』【4k无损|动态歌词 Lyrics】,16592225.0,2026-08-11,-,-,-,-
h5eRbbOnPRc,孫燕姿 Sun Yan-Zi - 開始懂了 Realize (official 官方完整版MV),11042983.0,2026-08-11,-,-,-,-
-t1495nGo-Q,香烟与吻痕 (我在月光下许过情真),13231.0,2026-08-11,-,-,-,-
4jfnIoNvv1Y,自由的夏天 (《耀眼》电视剧片尾曲),13052.0,2026-08-11,-,-,-,-
HQLV_zq-MZk,多疑的恋人,1626.0,2026-08-11,-,-,-,-
RdKggjhWkjE,心碎双面胶,28872.0,2026-08-11,-,-,-,-
_p-Qh8TjqCI,Glue,386.0,2026-08-11,-,-,-,-
dqqehb_gEz0,满纸,129869.0,2026-08-11,-,-,-,-
Xdwzj-lVuDg,上场 (《功夫女足》角色推广曲),872.0,2026-08-11,-,-,-,-
udTSazfAfEo,来我的岛 (电影《去你的岛》主题曲),41862.0,2026-08-11,-,-,-,-
J5ozd4WVNpM,水木年华 - 见山 || Thấy Núi,360.0,2026-08-11,-,-,-,-
3bgjq4KHKug,【影視劇ost】鄧典 | 做自己的英雄《兵自風中來》影視劇插曲 Soldiers Come from the Wind OST #歐豪 #藍盈瑩 #lyrics #兵自風中來,689.0,2026-08-11,-,-,-,-
3XnCatRiT4o,刘一手 - 爱你太多 || Yêu Em Quá Nhiều - Lưu Nhất Thủ,465.0,2026-08-11,-,-,-,-
og-CV-fV9K0,到此为止,1083859.0,2026-08-11,-,-,-,-
W81ZwYqe6zs,Faouzia - UNETHICAL,1513314.0,2026-08-11,-,-,-,-
awyc5u7s_hg,人间（《南部档案》影视剧跨海翻山曲）,123025.0,2026-08-11,-,-,-,-
EQBkiZKP-DA,【音你而来3·纯享】姚晓棠&袁一琦《第一次爱的人》『失去愛我們就要就要    一點點慢慢的死掉』 #Live #姚晓棠#袁一琦#lyrics,39090.0,2026-08-11,-,-,-,-
hDU4GB1PTxc,"Taylor Swift - I Knew It, I Knew You (from Toy Story 5)",21519434.0,2026-08-11,-,-,-,-
l683jMFJ2Dc,温岚 - 《夏天的风》 [歌词],11771.0,2026-08-11,-,-,-,-
klCd4FKdTWc,Don't break my heart (heartbroken),1799120.0,2026-08-11,-,-,-,-
vq7PL13-Fns,【纯享版】#王菀之 《爱人错过》音综唱跳首秀！之之姐唱跳舞台重磅亮相 旋律轻快动人 舞步灵动自然 全开麦唱跳“杀疯了”！#国乐无双 EP9 20260725,52167.0,2026-08-11,-,-,-,-
WZNr8nPFJVw,Ariana Grande - bad thing (bunny hop) (official visualizer),1585176.0,2026-08-11,-,-,-,-
UBsqcePKPPc,你的眼神 (Type Beat版),64294.0,2026-08-11,-,-,-,-
d1rWv8VeQO0,TWS (투어스) 'SODA SODA' Official MV,8217099.0,2026-08-11,-,-,-,-
BgY8FqEM5mQ,尕连手 (Live),18894.0,2026-08-11,-,-,-,-
4ARN2y5bQs8,【HD】王俊凱《讓我留在你身邊》歌詞字幕 / 完整高清音質「我願意安靜的活在每個有你的角落...」Wang Jun Kai - Let Me Stay With You,225372.0,2026-08-11,-,-,-,-
mDVbPLkssXI,【纯享版】最特别的情歌 #岳云鹏 #管乐 #金志文 惊喜合唱《依兰爱情故事》！曲艺与民谣完美相融 温暖又俏皮！#天赐的声音7 EP3 20260626,81053.0,2026-08-11,-,-,-,-
MQDAM-luCK8,王俊凯 Karry — ｜醒着｜【天已破晓 而我却依然 醒著】,1797.0,2026-08-11,-,-,-,-
dujujkbPEPg,问流光（《良陈美锦》电视剧插曲）,109430.0,2026-08-11,-,-,-,-
8Klhr9-tZ2k,Marionette,56133.0,2026-08-11,-,-,-,-
47ZjO-K_3V4,【纯享版】原唱刘凤瑶携《窝囊废》炸翻天赐舞台！派克特Rap高能输出 李琦曾一鸣张玮全员爆发 现场燃到头皮发麻 #天赐的声音7 EP4 20260703,70360.0,2026-08-11,-,-,-,-
yCpXjLibQZw,Ariana Grande - freak (official visualizer),1435576.0,2026-08-11,-,-,-,-
UAqa0DG7csU,【纯享版】王铮亮天赐首次唱跳《半点心》！携手灼海豚掀起港风回忆杀 复古律动一开口梦回黄金年代 #天赐的声音7 EP8 20260731,6834.0,2026-08-11,-,-,-,-
AJSvQ8HOzGY,【纯享版】#王铮亮 #谭松韵 甜蜜献唱《小半》！温暖治愈的旋律一响起 心动值瞬间飙升！#天赐的声音7 EP2 20260619,963270.0,2026-08-11,-,-,-,-
PXnhdl_URro,光澤 - 空心『雖然知道愛都有翅膀 因為太愛所以會原諒，漆黑空心也想被釋放 奈何思念比恨更頑強。』【動態歌詞MV】,19345811.0,2026-08-11,-,-,-,-
