抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-12,綜藝新歌榜,25,春,王铮亮/黄龄/陈文非,天赐的声音第七季 第7期,2026-07-24,DRYPvbRFmXk,"12,530"
2026-08-12,綜藝新歌榜,26,Talk like me (像我这样说),弹壳,说唱巅峰对决2026 第4期,2026-07-18,0LeOlx0u_vE,"61,574"
2026-08-12,綜藝新歌榜,27,酒鬼的歌,李宇春,国乐无双 第10期,2026-08-01,wwdm5AHp0Nw,"1,761"
2026-08-12,綜藝新歌榜,28,言不由衷,黄子弘凡/Rapeter,天赐的声音第七季 第7期,2026-07-24,EEHVG_c4kgo,"76,972"
2026-08-12,綜藝新歌榜,29,讨厌,杨丞琳/欧阳娜娜,天赐的声音第七季 第5期,2026-07-10,gw5ED3eAv5k,"146,577"
2026-08-12,綜藝新歌榜,30,巴拉莱卡 (The Rod),张靓颖/陈楚生,天赐的声音第七季 第1期,2026-06-12,Z3p21uGH_jU,"30,786"
2026-08-12,綜藝新歌榜,31,歌曲：人间共鸣,李健,2026中央广播电视总台春节联欢晚会,2026-02-16,OvkRPDUVuSk,"379,971"
2026-08-12,綜藝新歌榜,32,他真的对你好吗,付豪,魔力歌先生 第1期,2026-03-13,AHJwzZUHwqc,"2,875,271"
2026-08-12,綜藝新歌榜,33,唤醒我,万妮达Vinida Weng,歌手2026 第11期,2026-08-01,N_AgrXXy244,"803,660"
2026-08-12,綜藝新歌榜,34,锁,张靓颖/曾舜晞,天赐的声音第七季 第2期,2026-06-19,jTPeg10b3KI,"215,336"
2026-08-12,綜藝新歌榜,35,言不由衷,容祖儿,国乐无双 第10期,2026-08-01,yWTHUB49X1A,"1,852,716"
2026-08-12,綜藝新歌榜,36,第一次做人,张远,歌手2026 第10期,2026-07-25,7DPSsBrkeQw,"287,914"
2026-08-12,綜藝新歌榜,37,歌曲：快乐小马,王安宇/黄子弘凡/范丞丞/胡先煦,2026中央广播电视总台春节联欢晚会,2026-02-16,YZ1SbZoiAko,"169,630"
2026-08-12,綜藝新歌榜,38,是你没选我啊,欢子/黄霄雲,天赐的声音第七季 第3期,2026-06-26,2vpDf4zVuCI,"321,799"
2026-08-12,綜藝新歌榜,39,歌曲：别来无恙,任素汐/毛不易,2026中央广播电视总台春节联欢晚会,2026-02-16,mrBFVtVS69k,"240,531"
2026-08-12,綜藝新歌榜,40,哪凉快哪去,刘凤瑶/张玮/曾一鸣/李琦/派克特/蒋一帆,天赐的声音第七季 第8期,2026-07-31,324tP6l2r4U,"4,211"
2026-08-12,綜藝新歌榜,41,小人物,辉子,说唱巅峰对决2026 第5期,2026-07-25,RzpdmPIhcdc,"62,741"
2026-08-12,綜藝新歌榜,42,爱的主打歌,刘宇,国乐无双 第9期,2026-07-25,GRwfm2WL83M,"102,905"
2026-08-12,綜藝新歌榜,43,失眠,杨丞琳/en (王翊恩),天赐的声音第七季 第4期,2026-07-03,yM3jz8xVEqo,"203,248"
2026-08-12,綜藝新歌榜,44,半壶纱,郁可唯/金晨,天赐的声音第七季 第6期,2026-07-17,vYS19ebfuAE,"170,775"
2026-08-12,綜藝新歌榜,45,敬昨天敬今天敬明天,李大奔BENZO/SHarK,说唱巅峰对决2026 第6期,2026-08-01,_ivYo5vxOAQ,"31,520"
2026-08-12,綜藝新歌榜,46,colt.45 (烈驹45号),弹壳,说唱巅峰对决2026 第1期,2026-06-27,NTdFAeGTmV0,"640,086"
2026-08-12,綜藝新歌榜,47,依兰爱情故事,岳云鹏/金志文/管乐,天赐的声音第七季 第3期,2026-06-26,mDVbPLkssXI,"82,563"
2026-08-12,綜藝新歌榜,48,电子布洛芬,AThree/那奇沃夫,说唱巅峰对决2026 第6期,2026-08-01,6C1hjh8zXTk,"34,928"
2026-08-12,綜藝新歌榜,49,歌曲：梦底,海来阿木/刘浩存,2026中央广播电视总台春节联欢晚会,2026-02-16,vL0kVZoQpEQ,"549,207"
2026-08-12,綜藝新歌榜,50,无人之岛,罗云熙/姚晓棠,天赐的声音第七季 第5期,2026-07-10,O4B9YOoY158,"808,460"
2026-08-12,綜藝新歌榜,51,Dats Me (通通是我),Top Barry,说唱巅峰对决2026 第5期,2026-07-25,m6jb1G1arYE,"62,387"
2026-08-12,綜藝新歌榜,52,白自在,胡彦斌,歌手2026 第11期,2026-08-01,WKw9rbKMjCc,"32,748"
